=== 数据记录开始于 2025-12-25 18:44:49 ===
(-1281.00, 0.00)
(309.59, 190.90)
(309.59, 190.90)
(-75.06, -92.38)
(-52.73, -84.07)
(160.15, -8.82)
(170.41, -19.34)
(146.13, -16.48)
(-191.26, 121.44)
(-191.26, 121.44)
(-175.92, 135.24)
(-175.92, 135.24)
(-371.79, 125.50)
(-371.79, 125.50)
(-835.46, 95.09)
(-444.21, 111.66)
(-424.13, 111.49)
(-425.61, 110.98)
(-429.75, 108.45)
(-61.85, 99.22)
(-63.08, 97.07)
(-63.54, 96.49)
(-89.10, 86.84)
(302.50, 46.48)
(307.29, 29.35)
(349.78, 41.24)
(396.83, 60.37)
(547.52, 98.56)
(628.64, 74.75)
(616.06, 65.98)
(-393.91, 17.00)
(-390.99, -20.34)
(-249.24, 2.93)
(-75.90, 45.68)
(-77.67, 44.92)
(154.85, 25.42)
(181.36, -6.61)
(332.46, -9.93)
(395.82, -0.48)
(519.04, 0.73)
(561.67, 1.51)
(558.00, 0.41)
(670.43, 0.25)
(675.49, 2.39)
(-222.98, -4.77)
(-730.16, -92.08)
(-680.83, -127.61)
(-780.38, -126.71)
(-785.49, -99.35)
(-757.29, -80.62)
(30.94, 21.57)
(19.54, 19.56)
(-77.04, -25.38)
(-131.21, -66.53)
(48.19, -14.18)
(204.21, -61.71)
(203.27, -27.30)
(-52.79, -47.62)
(-317.41, -96.27)
(-318.82, -109.44)
(-507.01, -74.35)
(-510.81, -79.28)
(-72.81, -61.49)
(-71.14, -60.52)
(-40.30, -59.51)
(169.68, -48.55)
(167.62, -48.97)
(393.40, -53.93)
(401.21, -53.01)
(366.25, -62.99)
(-58.51, -227.71)
(-115.33, -273.58)
(-79.60, -287.63)
(-76.33, -160.38)
(-313.53, 35.02)
(-499.40, 44.46)
(-458.08, 27.36)
(-442.47, 19.39)
(-458.58, 17.00)
(-462.05, -5.11)
(-691.42, 5483.26)
(-839.93, 5033.02)
(-1184.00, 6428.10)
