=== 数据记录开始于 2025-12-26 21:00:13 ===
(-1281.00, 0.00)
(88.38, 84.60)
(91.88, 77.78)
(93.43, 79.57)
(92.55, 78.62)
(89.83, 82.44)
(184.70, 113.72)
(243.43, 130.95)
(55.79, 133.46)
(-334.48, 124.77)
(-326.29, 118.81)
(-535.75, 142.97)
(-563.27, 157.53)
(-551.07, 116.81)
(-499.92, 47.08)
(250.45, 47.54)
(259.91, 54.57)
(259.83, 61.43)
(266.35, 58.44)
(115.69, -18.89)
(62.89, -56.47)
(-297.33, -41.86)
(-387.59, -35.31)
(-633.38, -13.14)
(-667.51, -2.08)
(-584.71, -29.54)
(437.32, 4.62)
(504.81, 25.38)
(571.60, 67.98)
(582.29, 68.46)
(777.24, 82.23)
(784.86, 79.27)
(-18.05, -19.71)
(-24.90, -37.20)
(-176.74, -41.51)
(-291.78, -67.42)
(-292.34, -65.86)
(-89.34, -139.81)
(-75.47, -159.36)
(53.59, -148.52)
(141.76, -139.76)
(460.84, -5.05)
(525.02, 7.65)
(528.63, 17.94)
(537.51, 22.33)
(295.63, 21.63)
(-20.61, -21.77)
(-27.76, 47.97)
(-9.78, 142.75)
(-287.78, 49.33)
(-271.64, -10.87)
(-584.11, 38735.36)
(411.33, -20.66)
(367.19, 49.18)
(364.39, 73.08)
(342.51, 66.90)
(336.27, 60.99)
(348.23, 64.10)
(361.16, 65.85)
(360.37, 56.63)
(270.22, 21.59)
(248.30, 19.16)
(245.78, 16.56)
(36.81, 104.70)
(3.78, 175.33)
(6.20, 162.02)
(8.77, 162.33)
(-4.32, 177.79)
(-9.80, 177.28)
(-8.76, 178.79)
(-8.11, 180.87)
(-3.30, 186.50)
(-3.52, 185.55)
(-6.59, 182.42)
(-8.36, 180.75)
(-9.70, 180.18)
(-8.10, 180.68)
(-7.42, 180.51)
(-8.75, 179.16)
(-7.84, 178.77)
(-5.78, 177.43)
(-4.32, 177.80)
(-4.54, 181.02)
(-3.29, 180.90)
(-2.50, 178.96)
(-3.23, 177.06)
(-2.98, 177.07)
(-1.90, 180.31)
(-1.09, 182.65)
(-3.11, 183.12)
(-5.71, 184.68)
(-2.87, 186.59)
(-7.74, 188.05)
(-5.08, 190.34)
(-2.45, 191.43)
(-0.80, 191.89)
(3.15, 193.89)
(5.19, 195.46)
(4.48, 197.18)
(5.97, 196.70)
(-5.10, 195.25)
(-15.38, 194.24)
(-15.55, 192.61)
(-11.34, 191.37)
(-10.02, 188.71)
(-10.58, 186.87)
(-10.93, 183.63)
(-11.47, 176.02)
(-15.16, 175.05)
(-25.90, 170.32)
(-26.42, 169.17)
(-22.10, 171.58)
(-16.19, 176.02)
(-15.53, 177.79)
(-15.79, 177.38)
(-17.41, 174.45)
(-20.26, 173.06)
(-19.73, 176.05)
(-19.85, 178.06)
(-21.35, 178.81)
(84.98, 153.78)
(17.47, 162.52)
(11.72, 176.82)
(10.09, 178.40)
(10.80, 179.36)
(12.73, 180.35)
(6.18, 181.17)
(-7.61, 185.40)
(-13.68, 189.20)
(-16.81, 191.30)
(-16.03, 192.03)
(-15.53, 191.54)
(-18.98, 191.29)
(-20.30, 190.11)
(-17.30, 190.25)
(-15.21, 191.47)
(-14.56, 193.13)
(-16.51, 193.78)
(-20.84, 187.74)
(-20.09, 187.10)
(-20.46, 185.27)
(-18.85, 183.86)
(-16.96, 181.25)
(-15.62, 177.76)
(-16.02, 175.48)
(-14.74, 173.89)
(-13.48, 172.99)
(-14.44, 171.72)
(-13.98, 171.20)
(-10.64, 173.27)
(-9.27, 174.41)
(-12.07, 174.76)
(-12.23, 175.17)
(-10.48, 174.62)
(-9.71, 174.72)
(-8.36, 180.47)
(-9.22, 183.65)
(-8.65, 189.81)
(-8.22, 193.54)
(-9.51, 196.51)
(-10.54, 197.94)
(-9.78, 199.80)
(-10.11, 201.76)
(-12.57, 202.06)
(-13.02, 199.96)
(-13.12, 196.87)
(-13.47, 195.84)
(-14.69, 195.52)
(-15.20, 193.23)
(-15.75, 190.06)
(-15.58, 186.95)
(-16.81, 184.54)
(-16.19, 186.69)
(-15.77, 185.90)
(-15.26, 184.82)
(-14.00, 185.81)
(-10.26, 185.09)
(-9.28, 185.53)
(-9.98, 186.39)
(-9.80, 187.18)
(-9.01, 187.58)
(-9.42, 188.02)
(-9.84, 187.74)
(-10.14, 187.47)
(-10.52, 188.40)
(-11.60, 189.65)
(-17.35, 156.30)
(-833.57, 53805.10)
(-821.31, 53598.87)
(-831.92, 54945.51)
(53.21, -209.72)
(-21.77, 152.82)
(-24.86, 144.90)
(-22.14, 150.21)
(-20.77, 158.85)
(-17.75, 157.48)
(-18.39, 159.50)
(-18.74, 162.57)
(-18.26, 159.61)
(-18.41, 159.37)
(-21.74, 172.81)
(-21.88, 180.32)
(-24.59, 183.51)
(-21.74, 174.63)
(-21.84, 175.43)
(-21.57, 169.67)
(-16.45, 162.41)
(-14.82, 156.96)
(-13.03, 148.85)
(-8.73, 147.58)
(-5.25, 153.21)
(-9.19, 161.44)
(-8.81, 158.65)
(-7.12, 152.19)
(-9.88, 153.59)
(-9.10, 153.93)
(-8.51, 127.95)
(-641.72, 62260.34)
(-606.61, 60522.31)
(-578.97, 58848.42)
(-659.25, 57950.04)
(-644.39, 60297.75)
(29.66, -16.72)
(-724.73, 60007.76)
(-742.57, 58686.64)
(-733.47, 57651.16)
(-64.58, -184.39)
(22.27, 53.34)
(-30.47, 127.12)
(-48.25, 136.94)
(-12.45, 165.72)
(-4.10, 165.23)
(-2.58, 186.16)
(-0.79, 188.80)
(2.49, 187.08)
(-1.97, 186.94)
(2.75, 188.95)
(8.30, 190.14)
(6.81, 193.44)
(0.57, 192.77)
(-3.74, 171.93)
(-5.02, 166.27)
(-2.96, 161.55)
(-6.46, 177.51)
(-12.02, 184.71)
(-13.84, 187.70)
(-14.03, 191.18)
(-16.50, 189.93)
(-21.58, 187.95)
(-19.64, 181.12)
(-16.34, 174.52)
(-19.11, 171.81)
(-24.14, 169.99)
(-19.44, 168.64)
(-17.85, 167.51)
(-16.42, 165.62)
(-12.75, 166.79)
(-11.63, 168.27)
