=== 数据记录开始于 2025-12-26 20:48:13 ===
(-1281.00, 0.00)
(-1466.32, -10759.16)
(-1249.12, -10333.85)
(-1262.14, -10448.72)
(-1281.26, -10616.60)
(-1273.44, -10435.29)
(-1271.97, -10308.33)
(-1381.66, -10881.57)
(-1469.52, -11390.63)
(-1434.02, -11229.88)
(-1438.09, -11090.37)
(-1462.08, -11162.01)
(-1470.04, -11288.33)
(100.23, 226.22)
(23.49, 584.74)
(-291.83, 989.43)
(-292.48, 1016.35)
(-198.39, 924.36)
(966.34, 252.83)
(-316.13, 170.35)
(-309.09, 176.89)
(420.00, 192.86)
(90.70, 268.88)
(0.33, 186.12)
(-3.62, 183.53)
(-11.74, 179.16)
(8.79, 121.97)
(-8.88, 146.14)
(-21.26, 140.64)
(-1498.88, -11996.38)
(-11.53, 77.54)
(-36.04, 130.61)
(-43.85, 135.01)
(-132.43, 129.18)
(-1617.21, -12879.48)
(-30.74, 46.35)
(-90.33, 171.62)
(48.29, -267.02)
(-9.06, 30.68)
(-16.48, 13.51)
(-24.49, 26.85)
(-43.49, 25.69)
(-34.52, 40.36)
(-28.92, 31.52)
(-12.79, 36.00)
(-10.07, 33.94)
(98.99, 101.19)
(85.14, 95.40)
(91.88, 95.55)
(91.61, 83.20)
(155.81, -160.91)
(56.99, 100.59)
(55.79, 45.94)
(62.42, 101.10)
(50.84, 101.11)
(46.90, 97.74)
(59.47, 74.74)
(42.73, 81.32)
(44.05, 74.29)
(49.98, 69.18)
(60.85, 60.98)
(61.33, 63.61)
(66.63, 69.87)
(65.45, 72.45)
(59.14, 81.57)
(46.85, 84.89)
(13.13, 87.95)
(-2136.74, -15821.21)
(24.54, 107.07)
(10.28, 96.94)
(0.09, 88.79)
(1.64, 80.19)
(3.10, 87.14)
(6.70, 90.03)
(14.31, 96.52)
(11.73, 115.97)
(1.95, 122.27)
(-22.80, 97.62)
(49.36, 29.60)
(-2900.35, -18465.48)
(215.30, -283.39)
(74.69, 88.32)
(58.70, 98.60)
(56.25, 95.23)
(55.87, 96.68)
(40.56, 97.14)
(64.60, 81.80)
(78.46, 89.56)
(70.21, 84.76)
(81.94, 78.53)
(86.73, 70.73)
(96.86, 72.35)
(72.03, 77.55)
