=== 数据记录开始于 2025-12-31 14:11:04 ===
(59.70, 166.53)
(59.19, 166.48)
(59.59, 168.28)
(64.27, 169.87)
(77.56, 172.85)
(75.90, 169.07)
(61.23, 168.24)
(55.58, 170.00)
(56.03, 183.69)
(57.23, 180.95)
(55.10, 178.45)
(53.76, 179.30)
(50.98, 180.90)
(47.27, 175.95)
(41.56, 176.57)
(41.46, 177.80)
(40.16, 178.35)
(39.17, 177.49)
(37.50, 177.72)
(35.07, 174.54)
(35.55, 173.52)
(37.80, 172.61)
(40.33, 170.89)
(39.33, 170.49)
(42.28, 172.09)
(43.66, 172.40)
(51.67, 172.33)
(54.64, 174.56)
(55.95, 176.67)
(55.94, 175.16)
(56.51, 173.68)
(59.24, 175.00)
(59.81, 185.93)
(61.95, 190.15)
(67.53, 197.06)
(74.64, 201.36)
(73.24, 197.68)
(71.99, 194.54)
(73.07, 192.03)
(72.05, 190.47)
(58.06, 187.38)
(48.53, 188.76)
(34.39, 190.65)
(30.28, 192.01)
(31.48, 195.40)
(33.69, 196.80)
(32.98, 195.30)
(27.83, 195.74)
(17.07, 196.81)
(16.12, 197.10)
(12.06, 197.61)
(8.74, 195.68)
(5.91, 193.62)
(6.93, 192.69)
(7.27, 191.50)
(7.07, 190.28)
(8.76, 190.26)
(6.96, 189.81)
(11.67, 189.18)
(11.97, 188.46)
(10.42, 180.63)
(13.68, 166.47)
(14.22, 166.04)
(13.74, 166.27)
(15.02, 166.01)
(21.17, 165.46)
(-166.02, 81.51)
(-141.30, 65.46)
(-147.02, 74.08)
(508.37, 51.44)
(509.29, 40.16)
(497.03, 73.42)
(555.22, 100.66)
(577.17, 11.69)
(5179.80, -29827.70)
(5543.60, -31252.30)
(-133.39, -35.65)
(6868.86, -37633.94)
(-198.07, 151.02)
(-200.00, 159.68)
(-193.66, 136.54)
(-13114.42, 72684.79)
(-9901.81, 52337.64)
(-9278.72, 46779.10)
(116.44, 107.88)
(80.51, 55.23)
(67.52, 87.49)
(82.04, 90.92)
(118.63, 83.34)
(137.80, 71.39)
(95.47, 85.36)
(145.48, 29.55)
(-4686.01, 24848.20)
(-5039.84, 26736.56)
(140.65, -62.04)
(-5220.52, 27468.59)
(98.37, 24.88)
(28.10, 135.66)
(122.03, 139.93)
(-4.59, 122.59)
(-3.84, 125.63)
(-63.08, 117.11)
(-100.32, 84.34)
(-107.81, 84.31)
(225.29, 52.34)
(263.70, -179.26)
(267.40, -150.88)
(264.72, -138.59)
(266.95, -150.90)
(244.79, -134.05)
(246.49, -125.14)
(250.13, -124.37)
(-118.91, -54.52)
(-169.58, -24.28)
(-187.65, -22.42)
(-191.65, -24.26)
(-146.69, -26.95)
(-120.85, -18.07)
(-89.83, 2.32)
(-4331.48, 22340.85)
(-4327.99, 22490.07)
(316.04, -359.63)
(437.41, -4.88)
(394.15, 75.39)
(274.34, 80.79)
(274.57, 76.61)
(176.26, 108.78)
(-81.23, 110.05)
(-75.00, 116.13)
(-77.71, 79.88)
(-83.46, 78.21)
(308.37, 48.81)
(302.40, 43.90)
(294.37, 41.71)
(-4685.04, 25628.39)
(-4487.25, 25153.51)
(-4521.35, 25162.56)
(175.95, -106.96)
(-4752.13, 25654.21)
(-4675.88, 24959.87)
(23.43, 73.21)
(38.47, 118.56)
(37.90, 138.68)
(131.61, 157.49)
(498.71, 27.65)
