=== 数据记录开始于 2026-01-05 18:28:03 ===
=== 数据记录开始于 2026/1/5 18:28:03 ===
Timestamp: 2026/01/05 18:28:03
Experimenter: 刘玉杰
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 0/metal, 3, gt, 3, 2.924
1, 45/metal, gt, 3, 3, 8.280
2, 15/metal, gt, 6, gt, 0.984
3, 45/metal, 6, gt, gt, 6.167
4, 30/0, 3, 1, 3, 0.747
5, 0/0, 1, 6, 6, 0.583
6, 0/metal, gt, 6, gt, 1.767
7, 30/metal, gt, 6, gt, 0.761
8, 15/0, 6, 3, 3, 0.861
9, 45/metal, 6, 3, 3, 0.945
10, 45/0, 3, 6, 3, 0.713
11, 30/metal, 1, gt, gt, 1.078
12, 15/metal, gt, 1, 1, 0.887
13, 0/0, gt, 3, gt, 2.778
14, 30/0, 6, gt, 6, 0.907
15, 0/0, 1, gt, gt, 1.172
16, 15/0, 1, 6, 6, 0.758
17, 0/metal, 1, 6, 6, 0.682
18, 30/0, gt, 6, gt, 1.497
19, 30/metal, 6, 3, 3, 0.697
20, 0/metal, gt, 3, 3, 0.970
21, 15/metal, gt, 3, 3, 1.202
22, 45/0, 1, gt, gt, 1.859
23, 15/metal, 6, 3, 3, 1.057
24, 45/0, 3, 6, 6, 0.655
25, 0/0, 6, 1, 6, 0.959
26, 0/metal, 6, gt, 6, 2.077
27, 0/0, 3, 6, 6, 0.507
28, 15/metal, 3, gt, gt, 0.913
29, 45/metal, 1, gt, gt, 0.531
30, 45/metal, gt, 1, gt, 0.752
31, 0/0, gt, 1, gt, 0.713
32, 30/0, 3, 6, 6, 0.729
33, 15/0, 6, 1, 1, 0.739
34, 15/metal, 1, gt, gt, 0.871
35, 45/metal, 1, 3, 3, 0.363
36, 15/metal, 1, 6, 6, 1.507
37, 30/0, 1, 3, 3, 1.192
38, 0/metal, 3, 1, 3, 1.605
39, 45/0, 3, 1, 1, 1.761
40, 45/metal, gt, 6, gt, 0.515
41, 45/0, gt, 1, gt, 1.050
42, 45/0, gt, 3, gt, 0.682
43, 0/metal, 3, 6, 6, 0.773
44, 15/0, 3, 1, 3, 0.677
45, 30/metal, 3, 1, 3, 0.973
46, 0/0, 6, 3, 6, 0.994
47, 0/metal, 3, 1, 3, 0.809
48, 15/metal, 6, 1, 1, 0.462
49, 45/metal, 6, 3, 3, 0.703
50, 0/metal, 6, 3, 6, 1.363
51, 30/metal, 6, gt, gt, 0.760
52, 30/0, 1, gt, 1, 0.902
53, 15/0, gt, 6, 6, 0.454
54, 30/0, 1, 6, 6, 0.841
55, 30/0, gt, 3, gt, 0.912
56, 45/0, 6, gt, gt, 0.749
57, 30/metal, 3, gt, gt, 0.593
58, 30/0, 6, 3, 6, 1.206
59, 15/0, 1, 3, 3, 0.629
60, 15/metal, 6, 3, 6, 0.548
61, 45/0, 3, gt, gt, 0.700
62, 30/metal, 3, 6, 3, 0.368
63, 0/0, 3, 1, 3, 0.582
64, 15/metal, 3, 1, 3, 0.804
65, 30/metal, 6, 1, 6, 0.579
66, 15/metal, gt, 6, 6, 0.687
67, 0/metal, gt, 1, gt, 0.742
68, 0/0, 3, gt, gt, 2.511
69, 45/0, 6, 1, 6, 0.768
70, 45/metal, gt, 3, gt, 2.150
71, 0/0, 3, 1, 1, 0.609
72, 30/0, 6, 1, 6, 0.645
73, 30/metal, 1, gt, 1, 2.827
74, 15/0, 6, 3, 6, 1.347
75, 0/0, gt, 6, 6, 0.571
76, 45/0, 1, 6, 6, 0.574
77, 45/metal, 6, 1, 6, 0.463
78, 30/0, 3, gt, gt, 0.691
79, 0/metal, 1, 6, 6, 0.495
80, 0/0, gt, 6, 6, 0.887
81, 30/metal, 3, gt, 3, 2.103
82, 30/0, gt, 1, gt, 0.662
83, 45/metal, 1, 6, 1, 1.201
84, 45/0, gt, 6, 6, 0.421
85, 15/0, 3, gt, gt, 0.445
86, 0/metal, 1, gt, gt, 0.457
87, 45/metal, 3, 1, 3, 0.602
88, 15/0, 1, gt, gt, 0.651
89, 15/metal, 1, 3, 1, 17.186
90, 15/0, gt, 1, 1, 0.909
91, 45/0, 3, 1, 1, 1.795
92, 30/metal, 3, 1, 3, 0.555
93, 15/0, 3, gt, gt, 0.753
94, 30/metal, 6, 1, 1, 6.068
95, 15/0, gt, 6, 6, 1.852
=== 数据记录结束于 2026/1/5 18:40:53 ===
=== 数据记录结束于 2026-01-05 18:40:53 ===
