=== 数据记录开始于 2026-01-05 15:33:22 ===
=== 数据记录开始于 2026/1/5 15:33:22 ===
Timestamp: 2026/01/05 15:33:22
Experimenter: 安梦园
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 15/0, 3, 1, 3, 5.979
1, 15/metal, 6, 1, 1, 1.130
2, 45/metal, 3, gt, gt, 1.582
3, 15/0, 3, gt, gt, 0.677
4, 45/0, 6, 1, 1, 1.070
5, 30/0, gt, 1, 1, 0.725
6, 45/metal, gt, 6, gt, 0.584
7, 30/0, 1, 6, 1, 0.585
8, 15/0, gt, 6, 6, 1.288
9, 0/0, 1, gt, gt, 1.666
10, 0/0, 1, 3, 1, 0.472
11, 0/metal, 6, gt, 6, 5.890
12, 45/metal, 1, gt, 1, 0.809
13, 0/0, gt, 1, 1, 0.435
14, 45/0, 3, 1, 1, 0.433
15, 30/metal, 6, 1, 1, 0.706
16, 45/metal, 1, 6, 6, 3.707
17, 30/metal, 3, 1, 3, 0.394
18, 30/0, 6, 3, 6, 0.850
19, 30/metal, 3, gt, 3, 0.691
20, 30/metal, 3, 6, 3, 0.573
21, 45/0, gt, 6, 6, 0.705
22, 45/metal, 3, 1, 3, 0.900
23, 0/metal, 3, 6, 3, 3.614
24, 30/metal, gt, 1, 1, 0.544
25, 30/metal, 1, 3, 1, 0.664
26, 15/0, gt, 1, 1, 0.803
27, 30/0, 6, 3, 3, 0.830
28, 15/metal, 1, 3, 1, 0.644
29, 15/metal, gt, 3, 3, 0.749
30, 15/0, 1, 6, 1, 0.574
31, 15/metal, 3, 6, 3, 0.621
32, 15/metal, 3, 1, 1, 1.946
33, 0/metal, 1, 6, 1, 0.495
34, 45/0, 3, 6, 6, 0.586
35, 45/metal, 1, 6, 1, 2.178
36, 45/0, 3, gt, 3, 0.646
37, 0/metal, 1, 6, 1, 0.438
38, 30/metal, 3, gt, 3, 0.550
39, 30/metal, 6, 3, 3, 0.692
40, 45/0, 3, 6, 3, 0.511
41, 30/metal, 6, 1, 1, 0.623
42, 45/0, 3, gt, gt, 1.029
43, 30/0, 1, gt, 1, 0.764
44, 30/0, 6, gt, gt, 0.373
45, 0/metal, 3, 1, 3, 6.210
46, 0/0, 1, 6, 6, 1.155
47, 45/0, gt, 6, gt, 0.727
48, 30/metal, gt, 6, 6, 0.688
49, 0/0, 6, 1, 6, 0.659
50, 30/0, 3, gt, gt, 1.582
51, 0/metal, 6, 3, 3, 0.626
52, 15/metal, gt, 6, 6, 0.838
53, 15/0, 3, 6, 6, 2.098
54, 30/0, 3, gt, gt, 0.592
55, 30/metal, 6, gt, gt, 0.470
56, 30/0, 1, 6, 1, 0.990
57, 45/metal, gt, 3, gt, 0.572
58, 15/0, 3, 1, 3, 0.524
59, 45/0, gt, 1, 1, 0.415
60, 30/0, gt, 6, gt, 0.547
61, 30/0, 3, 1, 1, 1.282
62, 15/metal, 1, 6, 1, 0.647
63, 15/metal, 6, gt, gt, 2.826
64, 15/0, 1, gt, 1, 0.707
65, 15/0, gt, 6, gt, 2.221
66, 0/metal, gt, 1, gt, 2.711
67, 45/metal, 1, gt, gt, 0.669
68, 0/metal, gt, 6, 6, 0.581
69, 15/0, 6, 3, 3, 0.412
70, 0/metal, 3, gt, 3, 0.432
71, 0/0, 1, 3, 3, 0.281
72, 0/0, 3, gt, gt, 0.348
73, 0/0, 3, 6, 6, 0.344
74, 45/0, 1, gt, 1, 0.401
75, 15/0, gt, 3, 3, 0.322
76, 45/0, 3, 1, 1, 1.630
77, 0/0, gt, 6, 6, 0.089
78, 45/metal, 3, 1, 1, 0.539
79, 0/metal, 1, 3, 1, 1.328
80, 45/metal, 3, 6, 6, 0.533
81, 30/0, 3, 1, 1, 0.582
82, 45/0, 6, 1, 1, 1.070
83, 15/metal, gt, 1, 1, 0.452
84, 0/0, 3, gt, gt, 0.481
85, 15/metal, gt, 3, 3, 0.368
86, 0/metal, gt, 1, gt, 0.645
87, 15/metal, 3, 6, 6, 0.600
88, 15/metal, 1, gt, gt, 0.644
89, 0/0, 6, gt, gt, 0.491
90, 45/metal, gt, 6, 6, 1.110
91, 0/0, 3, 6, 6, 0.713
92, 0/metal, 3, gt, gt, 0.846
93, 45/metal, 3, 6, 6, 0.806
94, 30/metal, 1, gt, gt, 1.013
95, 15/0, 1, 6, 1, 1.889
=== 数据记录结束于 2026/1/5 15:45:42 ===
=== 数据记录结束于 2026-01-05 15:45:42 ===
