=== 数据记录开始于 2026-01-05 19:18:59 ===
=== 数据记录开始于 2026/1/5 19:18:59 ===
Timestamp: 2026/01/05 19:18:59
Experimenter: 李成哲
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 45/0, 1, 6, 1, 4.672
1, 0/metal, 6, 3, 6, 0.777
2, 45/0, 1, 3, 1, 1.599
3, 45/metal, gt, 3, gt, 0.641
4, 45/metal, 1, 6, 6, 0.641
5, 15/0, 3, 1, 1, 0.498
6, 30/0, 6, gt, gt, 0.667
7, 45/0, 3, 1, 3, 0.567
8, 0/0, 3, 1, 3, 0.532
9, 30/0, 3, gt, gt, 0.555
10, 15/0, 1, 3, 1, 0.486
11, 30/metal, 6, gt, gt, 0.612
12, 15/metal, 1, gt, gt, 0.583
13, 45/metal, 6, gt, gt, 0.949
14, 45/0, 1, gt, gt, 0.563
15, 15/0, 1, gt, 1, 0.675
16, 30/metal, 6, 1, 6, 0.707
17, 15/metal, 6, gt, gt, 0.920
18, 30/metal, 6, 1, 6, 0.576
19, 15/0, 3, 6, 3, 0.704
20, 45/metal, gt, 1, gt, 0.714
21, 30/0, 6, 1, 6, 0.575
22, 0/0, 1, 6, 6, 0.627
23, 15/0, 3, 6, 6, 0.621
24, 30/0, 3, 1, 1, 0.538
25, 0/0, 6, 3, 6, 0.597
26, 30/0, 3, 1, 3, 0.579
27, 15/metal, 1, 6, 6, 0.576
28, 30/0, 3, 6, 3, 0.631
29, 0/metal, 1, 3, 3, 0.631
30, 0/metal, 6, gt, 6, 0.608
31, 15/metal, gt, 3, gt, 0.491
32, 15/0, 6, gt, 6, 0.543
33, 45/metal, 6, gt, gt, 0.560
34, 30/metal, 3, 1, 3, 0.498
35, 45/0, 1, 6, 1, 0.472
36, 30/0, 1, gt, gt, 0.501
37, 30/metal, gt, 1, gt, 0.409
38, 15/metal, 1, 3, 3, 0.472
39, 0/0, 3, gt, 3, 0.772
40, 15/0, 1, 6, 6, 0.735
41, 30/0, gt, 1, gt, 0.514
42, 45/0, gt, 3, gt, 0.559
43, 0/0, 1, gt, gt, 0.483
44, 45/metal, 3, 6, 6, 0.451
45, 30/metal, 3, 6, 6, 0.394
46, 0/0, gt, 6, 6, 0.583
47, 0/0, 1, 6, 6, 0.488
48, 15/0, 3, gt, 3, 0.672
49, 45/metal, 1, 6, 6, 0.428
50, 0/metal, 6, 1, 6, 0.527
51, 45/0, gt, 6, gt, 0.505
52, 30/metal, 1, gt, gt, 0.477
53, 45/0, 6, gt, gt, 0.462
54, 0/metal, gt, 3, 3, 0.438
55, 15/metal, 6, 3, 6, 0.469
56, 0/0, 3, 1, 3, 0.523
57, 0/0, 6, 3, 6, 0.635
58, 15/metal, 1, 6, 6, 0.591
59, 45/0, 6, 3, 6, 0.439
60, 0/0, 6, gt, 6, 0.695
61, 0/metal, 3, 6, 6, 0.727
62, 0/metal, 1, 6, 6, 0.741
63, 45/0, gt, 3, gt, 0.435
64, 30/0, 6, gt, gt, 0.489
65, 30/metal, 3, gt, gt, 0.507
66, 15/metal, 1, 3, 3, 0.527
67, 45/0, gt, 1, gt, 0.920
68, 15/0, 3, gt, gt, 0.644
69, 30/metal, 6, 3, 6, 0.648
70, 45/metal, gt, 3, gt, 0.484
71, 15/metal, gt, 6, 6, 0.421
72, 0/0, gt, 1, gt, 1.079
73, 45/metal, 1, gt, gt, 0.435
74, 15/0, 6, gt, 6, 0.498
75, 15/0, 1, 6, 6, 0.442
76, 30/0, 6, 3, 3, 0.427
77, 0/metal, 1, 3, 3, 0.491
78, 0/metal, 1, gt, gt, 0.485
79, 0/metal, gt, 6, 6, 0.459
80, 30/0, 1, 6, 1, 0.493
81, 0/metal, gt, 1, gt, 0.698
82, 45/metal, 1, 3, 3, 0.625
83, 15/0, gt, 1, gt, 0.600
84, 45/metal, 3, 6, 6, 0.718
85, 15/metal, 6, 3, 6, 0.732
86, 30/0, gt, 3, gt, 0.985
87, 15/metal, gt, 3, 3, 0.439
88, 30/metal, 6, gt, 6, 0.415
89, 30/metal, 1, 3, 3, 0.634
90, 45/0, 6, 3, 6, 0.340
91, 0/metal, 3, gt, gt, 0.529
92, 30/metal, gt, 3, gt, 0.549
93, 45/metal, 3, 1, 3, 0.494
94, 0/0, gt, 3, gt, 0.474
95, 15/metal, 1, gt, gt, 0.445
=== 数据记录结束于 2026/1/5 19:30:27 ===
=== 数据记录结束于 2026-01-05 19:30:27 ===
