=== 数据记录开始于 2026-01-05 12:29:08 ===
=== 数据记录开始于 2026/1/5 12:29:08 ===
Timestamp: 2026/01/05 12:29:08
Experimenter: 李新月
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 30/0, 6, 1, 1, 4.310
1, 45/0, 6, 3, 6, 4.802
2, 15/metal, 1, 6, 1, 1.356
3, 30/metal, 1, gt, gt, 0.814
4, 45/0, 3, gt, 3, 1.474
5, 15/metal, gt, 1, gt, 1.190
6, 15/metal, 3, 6, 3, 1.060
7, 30/0, gt, 6, 6, 1.485
8, 0/0, 3, 1, 3, 1.347
9, 15/0, 1, gt, 1, 1.535
10, 0/0, 1, gt, 1, 2.960
11, 15/metal, 3, 1, 1, 0.977
12, 15/0, 6, 1, 6, 1.191
13, 45/metal, 3, 1, 3, 1.559
14, 30/0, 6, gt, 6, 2.102
15, 15/metal, gt, 1, gt, 1.279
16, 45/metal, 3, gt, gt, 0.809
17, 15/metal, gt, 6, gt, 1.743
18, 30/metal, gt, 6, gt, 1.377
19, 45/0, gt, 6, gt, 1.445
20, 15/0, gt, 1, 1, 1.291
21, 45/0, gt, 1, gt, 2.708
22, 45/metal, 6, 3, 3, 0.836
23, 15/0, 6, 1, 1, 1.239
24, 0/0, 3, gt, 3, 1.026
25, 45/metal, 6, 1, 6, 1.113
26, 30/metal, gt, 3, 3, 0.940
27, 30/metal, 1, 3, 3, 1.529
28, 15/0, gt, 3, 3, 2.001
29, 45/0, 1, 3, 1, 0.886
30, 0/0, 6, 1, 6, 0.647
31, 15/metal, gt, 6, gt, 0.656
32, 0/0, gt, 6, 6, 0.962
33, 30/metal, 6, 1, 1, 0.545
34, 0/0, gt, 6, gt, 1.933
35, 45/metal, 3, 6, 3, 1.296
36, 30/0, gt, 3, 3, 1.435
37, 30/0, 6, 1, 6, 1.301
38, 0/0, 1, 6, 6, 1.646
39, 45/metal, gt, 6, gt, 0.567
40, 30/0, 3, gt, 3, 0.845
41, 30/0, 1, gt, gt, 1.188
42, 0/0, 3, 6, 6, 1.681
43, 45/metal, 1, 3, 3, 0.798
44, 30/metal, 6, gt, gt, 1.023
45, 0/0, 6, 3, 6, 1.190
46, 15/0, 3, 1, 1, 0.970
47, 15/metal, 3, gt, 3, 1.584
48, 30/metal, 6, 1, 1, 0.818
49, 0/metal, 6, gt, gt, 2.259
50, 0/metal, 3, 6, 6, 0.881
51, 45/0, 1, gt, 1, 0.650
52, 15/metal, 6, 3, 3, 0.985
53, 0/0, 1, 3, 3, 0.913
54, 15/metal, 1, 6, 1, 1.377
55, 15/0, gt, 3, gt, 1.747
56, 0/metal, gt, 6, gt, 2.493
57, 0/metal, 6, 1, 6, 1.411
58, 0/metal, gt, 3, 3, 2.959
59, 30/metal, 3, 1, 3, 1.704
60, 45/metal, gt, 1, gt, 3.286
61, 45/0, 6, gt, 6, 2.225
62, 30/0, 6, 3, 6, 1.173
63, 45/metal, gt, 3, 3, 0.994
64, 45/0, 6, 1, 6, 1.399
65, 15/0, 6, 3, 6, 2.117
66, 0/metal, 3, gt, gt, 2.754
67, 0/metal, 1, 6, 6, 1.840
68, 0/metal, 3, 1, 3, 0.756
69, 15/0, 6, 3, 3, 0.876
70, 0/0, 1, gt, gt, 2.197
71, 30/metal, gt, 1, gt, 1.546
72, 0/metal, 6, 3, 6, 1.613
73, 45/0, 3, 1, 1, 2.405
74, 45/0, 6, 3, 6, 1.197
75, 0/metal, gt, 1, 1, 12.960
76, 30/metal, 3, 6, 3, 1.649
77, 30/0, 1, 3, 1, 1.889
78, 15/0, gt, 6, 6, 2.229
79, 45/metal, 6, 1, 6, 1.227
80, 0/metal, 3, 1, 3, 1.880
81, 15/metal, gt, 3, gt, 1.467
82, 15/metal, 1, 3, 3, 1.054
83, 45/metal, 6, gt, gt, 0.924
84, 30/metal, gt, 3, gt, 0.952
85, 30/metal, 6, 3, 6, 2.734
86, 30/0, 6, 3, 6, 1.187
87, 30/0, gt, 1, 1, 1.201
88, 15/0, 3, 1, 1, 1.734
89, 45/0, 3, gt, gt, 1.118
90, 0/metal, 1, gt, gt, 1.417
91, 45/0, 1, 6, 1, 0.797
92, 45/metal, gt, 1, gt, 0.764
93, 15/0, gt, 6, gt, 1.724
94, 0/0, 3, gt, gt, 1.844
95, 30/0, 1, 3, 1, 1.295
=== 数据记录结束于 2026/1/5 12:43:32 ===
=== 数据记录结束于 2026-01-05 12:43:32 ===
