=== 数据记录开始于 2026-01-05 11:58:47 ===
=== 数据记录开始于 2026/1/5 11:58:47 ===
Timestamp: 2026/01/05 11:58:47
Experimenter: 李晓玥
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 30/0, 6, 3, 3, 3.718
1, 15/0, 1, 6, 1, 0.973
2, 15/0, 6, gt, gt, 0.720
3, 15/0, gt, 3, 3, 2.312
4, 0/metal, 3, 1, 3, 0.787
5, 45/metal, 3, 1, 1, 0.445
6, 30/0, 3, gt, 3, 0.386
7, 15/metal, 3, 6, 6, 0.485
8, 15/metal, 1, gt, 1, 0.450
9, 30/0, 3, 1, 3, 0.400
10, 0/metal, 1, 6, 6, 0.285
11, 30/0, 6, 1, 6, 0.376
12, 45/metal, gt, 3, 3, 0.255
13, 0/0, 3, 1, 3, 0.317
14, 0/metal, 6, 3, 6, 1.430
15, 0/metal, gt, 3, 3, 2.633
16, 45/metal, 6, gt, 6, 0.262
17, 0/0, 6, 3, 6, 0.258
18, 30/metal, 6, 1, 6, 0.231
19, 45/metal, 6, 1, 6, 0.368
20, 15/metal, 3, 1, 3, 0.326
21, 15/0, 1, 3, 3, 0.356
22, 15/metal, gt, 1, gt, 0.359
23, 45/0, 1, 6, 6, 0.302
24, 45/metal, gt, 6, gt, 0.293
25, 45/0, 3, 6, 3, 0.269
26, 0/0, 1, gt, 1, 0.276
27, 45/metal, 6, 3, 6, 0.335
28, 45/0, 3, gt, 3, 0.513
29, 45/0, 1, gt, 1, 0.315
30, 30/metal, 3, 1, 3, 0.458
31, 15/0, 3, 6, 6, 0.365
32, 0/metal, 1, gt, gt, 2.631
33, 0/0, 1, gt, gt, 0.239
34, 30/metal, 3, 6, 6, 0.317
35, 15/0, 3, 1, 1, 0.361
36, 30/0, 1, gt, 1, 0.566
37, 15/0, gt, 3, 3, 0.800
38, 30/metal, 1, gt, gt, 0.717
39, 30/0, 6, 3, 3, 0.532
40, 30/metal, 6, gt, gt, 0.559
41, 45/0, gt, 1, 1, 0.366
42, 45/metal, gt, 1, gt, 0.346
43, 15/0, gt, 1, 1, 0.441
44, 0/0, 3, 6, 3, 0.457
45, 0/metal, gt, 1, gt, 0.298
46, 0/metal, 1, 6, 6, 0.837
47, 15/metal, 1, 3, 3, 0.416
48, 30/metal, 6, 1, 6, 0.384
49, 45/0, 6, 1, 6, 0.358
50, 30/metal, 6, 3, 6, 0.326
51, 0/0, 3, gt, 3, 0.376
52, 15/metal, 6, 1, 6, 0.330
53, 0/0, gt, 6, gt, 0.517
54, 30/metal, 3, gt, gt, 0.274
55, 30/0, gt, 6, 6, 0.342
56, 15/0, 6, gt, gt, 0.225
57, 30/metal, 1, 3, 3, 0.468
58, 0/0, 6, 1, 6, 0.336
59, 45/0, 3, 1, 3, 0.531
60, 15/metal, 3, 6, 6, 2.968
61, 45/metal, 1, gt, gt, 0.438
62, 30/metal, 6, gt, gt, 0.446
63, 45/metal, 1, 3, 3, 0.251
64, 45/0, 3, gt, 3, 0.368
65, 0/metal, 3, 6, 3, 0.653
66, 45/0, gt, 6, 6, 0.325
67, 0/metal, gt, 3, 3, 0.746
68, 15/0, 6, 3, 3, 1.408
69, 30/0, 1, 6, 1, 0.313
70, 0/0, 3, 1, 3, 0.407
71, 15/metal, 3, gt, gt, 1.998
72, 15/0, 1, 6, 6, 0.266
73, 15/0, 1, gt, 1, 0.375
74, 15/metal, gt, 3, gt, 0.553
75, 30/0, 1, 3, 3, 0.997
76, 15/metal, 1, 6, 6, 0.477
77, 45/metal, gt, 3, 3, 0.508
78, 30/0, 1, gt, 1, 0.389
79, 30/0, gt, 3, 3, 0.311
80, 45/metal, 6, 3, 6, 0.227
81, 0/0, 6, gt, 6, 0.696
82, 45/0, 3, 6, 3, 0.537
83, 0/metal, 1, 3, 3, 0.285
84, 15/metal, gt, 6, gt, 0.376
85, 0/metal, 6, gt, 6, 0.337
86, 30/0, gt, 6, 6, 0.615
87, 30/metal, gt, 3, gt, 0.279
88, 30/metal, gt, 1, gt, 0.282
89, 45/metal, 1, 6, 6, 0.546
90, 0/0, 1, 6, 6, 0.542
91, 15/metal, 6, gt, gt, 0.338
92, 45/0, gt, 6, 6, 0.280
93, 0/0, 3, gt, 3, 0.366
94, 45/0, 1, 3, 1, 0.619
95, 0/metal, gt, 6, 6, 0.420
=== 数据记录结束于 2026/1/5 12:11:21 ===
=== 数据记录结束于 2026-01-05 12:11:21 ===
