=== 数据记录开始于 2026-01-05 21:02:39 ===
=== 数据记录开始于 2026/1/5 21:02:39 ===
Timestamp: 2026/01/05 21:02:39
Experimenter: 李红叶
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 45/metal, 6, 1, 1, 12.222
1, 30/metal, 3, gt, gt, 0.628
2, 30/metal, 3, gt, gt, 8.042
3, 45/0, gt, 1, gt, 1.251
4, 45/metal, gt, 6, gt, 24.655
5, 15/metal, 6, gt, 6, 0.635
6, 30/0, 6, 3, 3, 0.519
7, 30/metal, 6, gt, 6, 0.474
8, 0/0, 1, 3, 3, 0.551
9, 30/0, 3, 1, 3, 0.716
10, 30/0, 3, 6, 3, 0.809
11, 15/metal, 1, gt, gt, 0.605
12, 30/metal, 3, 1, 3, 0.759
13, 30/0, gt, 6, gt, 0.370
14, 15/metal, gt, 6, 6, 1.033
15, 15/0, gt, 6, 6, 0.290
16, 45/0, 3, gt, gt, 0.828
17, 15/metal, 1, 3, 3, 0.611
18, 45/metal, 3, 6, 3, 0.678
19, 0/0, 3, gt, gt, 5.115
20, 30/metal, 3, 6, 6, 0.708
21, 15/metal, 1, 6, 1, 0.789
22, 45/0, 1, gt, 1, 0.668
23, 15/0, 3, 1, 1, 0.418
24, 45/0, 3, 1, 3, 0.347
25, 0/metal, gt, 3, gt, 1.137
26, 15/0, 1, 6, 1, 1.026
27, 0/0, 1, gt, gt, 1.249
28, 0/0, 6, 3, 3, 0.059
29, 0/metal, gt, 6, gt, 0.982
30, 45/0, 3, 1, 3, 1.313
31, 15/0, gt, 1, 1, 0.616
32, 15/metal, 3, 6, 3, 0.767
33, 30/0, 3, gt, gt, 0.547
34, 45/metal, 1, gt, 1, 1.224
35, 0/metal, 1, gt, gt, 0.762
36, 30/0, 1, 6, 6, 0.950
37, 45/metal, 3, gt, 3, 0.704
38, 30/metal, 1, gt, gt, 0.510
39, 45/0, gt, 6, gt, 0.785
40, 0/0, 3, 1, 1, 0.847
41, 30/0, 1, 3, 1, 0.443
42, 15/0, 6, 1, 6, 0.952
43, 0/0, 1, 6, 6, 1.080
44, 45/metal, gt, 6, 6, 0.704
45, 15/metal, 3, 6, 6, 0.599
46, 15/metal, gt, 1, gt, 0.882
47, 0/metal, 1, 3, 3, 1.868
48, 0/metal, 3, gt, gt, 0.844
49, 15/0, 6, 3, 3, 1.127
50, 15/metal, 3, gt, gt, 1.327
51, 15/0, 3, 1, 1, 0.699
52, 45/metal, 3, 6, 6, 0.688
53, 45/metal, 1, 3, 3, 0.887
54, 45/0, 6, 1, 6, 0.438
55, 0/metal, 6, gt, gt, 0.136
56, 0/0, 1, gt, gt, 1.315
57, 0/0, gt, 6, 6, 0.627
58, 30/metal, gt, 6, gt, 0.783
59, 30/metal, gt, 1, gt, 1.098
60, 45/0, gt, 3, gt, 0.623
61, 30/metal, 3, 6, 6, 1.537
62, 30/0, 6, gt, gt, 0.944
63, 0/0, 1, 6, 6, 0.783
64, 15/metal, 1, 6, 1, 0.842
65, 30/0, 1, 6, 1, 0.772
66, 45/metal, gt, 3, gt, 4.008
67, 0/metal, 3, 6, 6, 0.874
68, 30/metal, 6, 1, 6, 0.773
69, 30/0, gt, 1, gt, 0.753
70, 15/0, 1, gt, gt, 0.673
71, 45/0, 3, 6, 3, 0.410
72, 30/0, 3, gt, gt, 0.573
73, 15/metal, gt, 3, gt, 0.421
74, 45/metal, 1, 6, 6, 0.430
75, 15/0, gt, 3, gt, 0.610
76, 30/metal, 6, 1, 6, 0.756
77, 0/metal, gt, 1, gt, 0.488
78, 0/0, 3, gt, gt, 0.869
79, 0/metal, 3, 6, 3, 0.469
80, 15/0, gt, 6, 6, 0.640
81, 30/metal, 1, 3, 1, 0.685
82, 0/0, gt, 6, 6, 0.736
83, 45/0, gt, 6, gt, 0.430
84, 15/metal, 1, 3, 3, 0.851
85, 45/0, 3, 6, 3, 0.408
86, 0/metal, 1, 6, 1, 1.377
87, 45/0, 6, 1, 6, 0.725
88, 0/metal, 3, 1, 1, 0.596
89, 30/0, 1, gt, gt, 0.512
90, 15/0, 3, 6, 6, 0.456
91, 15/0, gt, 3, gt, 1.223
92, 45/metal, gt, 1, gt, 0.539
93, 0/metal, 6, 1, 6, 1.003
94, 45/metal, 3, 1, 3, 0.556
95, 0/0, 6, 3, 3, 1.151
=== 数据记录结束于 2026/1/5 21:17:20 ===
=== 数据记录结束于 2026-01-05 21:17:20 ===
