=== 数据记录开始于 2026-01-05 18:04:41 ===
=== 数据记录开始于 2026/1/5 18:04:41 ===
Timestamp: 2026/01/05 18:04:41
Experimenter: 查昕
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 15/metal, 3, 6, 6, 0.683
1, 0/metal, 6, 1, 6, 0.607
2, 15/0, gt, 1, 1, 0.774
3, 45/0, gt, 6, 6, 3.592
4, 0/0, 3, 6, 6, 0.677
5, 30/metal, 3, 6, 6, 0.843
6, 45/0, gt, 3, gt, 0.644
7, 45/0, 6, 3, 3, 0.737
8, 0/metal, 6, gt, 6, 0.645
9, 0/0, 3, 6, 3, 0.361
10, 15/0, 3, 6, 3, 0.460
11, 0/0, 3, 1, 1, 0.506
12, 45/metal, gt, 6, gt, 0.309
13, 15/metal, 1, gt, 1, 0.341
14, 0/metal, 3, gt, 3, 0.398
15, 0/0, 1, gt, 1, 0.285
16, 30/metal, 3, 1, 3, 0.444
17, 0/metal, 3, 6, 3, 0.594
18, 30/0, 3, gt, gt, 0.511
19, 15/0, gt, 3, 3, 0.275
20, 15/0, 3, 1, 1, 0.388
21, 15/0, 6, 1, 1, 0.570
22, 15/0, 3, 6, 3, 0.312
23, 0/0, gt, 3, 3, 0.353
24, 30/metal, gt, 6, gt, 1.803
25, 15/metal, 3, gt, 3, 0.366
26, 30/0, 3, 6, 6, 2.201
27, 15/metal, 6, 1, 1, 0.669
28, 30/0, 1, 3, 1, 0.267
29, 45/metal, 3, 6, 6, 0.958
30, 15/metal, gt, 3, 3, 0.400
31, 30/0, 6, gt, 6, 1.747
32, 0/0, gt, 1, gt, 0.287
33, 30/metal, gt, 3, gt, 0.576
34, 0/metal, gt, 1, gt, 1.047
35, 15/metal, 6, 1, 1, 0.327
36, 30/metal, 1, gt, gt, 0.646
37, 15/0, gt, 1, 1, 0.268
38, 15/0, gt, 6, 6, 0.233
39, 30/0, gt, 3, 3, 0.563
40, 30/0, 1, 6, 1, 2.336
41, 45/metal, 6, 3, 3, 0.910
42, 15/0, 3, gt, 3, 0.421
43, 45/0, 1, 6, 6, 0.477
44, 30/metal, 6, 1, 1, 0.119
45, 30/0, 1, gt, gt, 2.233
46, 15/metal, 3, 6, 6, 0.420
47, 45/metal, 1, gt, gt, 0.353
48, 45/0, 1, gt, gt, 0.741
49, 45/0, 6, gt, 6, 0.344
50, 15/metal, 3, 1, 1, 0.276
51, 0/0, 6, 1, 1, 0.318
52, 30/metal, 3, 6, 3, 0.150
53, 0/metal, 3, gt, gt, 0.520
54, 45/0, 3, 6, 3, 1.016
55, 0/metal, 6, gt, gt, 1.369
56, 30/metal, gt, 1, 1, 0.274
57, 15/metal, 6, gt, 6, 2.697
58, 45/metal, gt, 3, 3, 0.812
59, 30/metal, 1, 6, 6, 0.578
60, 45/metal, 1, 6, 6, 0.673
61, 30/metal, 6, gt, 6, 1.527
62, 45/metal, gt, 1, 1, 0.710
63, 0/metal, 3, 1, 3, 0.351
64, 45/0, 6, 1, 1, 0.648
65, 30/metal, 3, 1, 1, 0.454
66, 0/0, 3, gt, 3, 0.264
67, 45/0, 3, gt, gt, 0.259
68, 15/0, 1, 6, 6, 0.956
69, 15/metal, 6, gt, 6, 1.679
70, 30/0, 1, gt, 1, 0.276
71, 0/0, gt, 6, 6, 0.774
72, 0/0, 3, 1, 3, 2.385
73, 0/metal, 1, gt, 1, 0.349
74, 45/metal, 1, 6, 6, 0.666
75, 0/0, 1, 6, 1, 1.034
76, 15/0, gt, 6, gt, 0.699
77, 30/0, 1, 3, 3, 0.703
78, 30/0, 6, gt, gt, 4.053
79, 0/metal, 6, 1, 1, 0.907
80, 15/metal, 3, 1, 3, 2.178
81, 15/metal, 1, gt, 1, 0.277
82, 45/0, 1, gt, 1, 0.742
83, 15/0, 1, 3, 3, 0.200
84, 30/metal, 3, gt, 3, 0.121
85, 45/metal, 3, 1, 1, 0.383
86, 0/0, gt, 6, 6, 0.342
87, 0/metal, 3, 6, 3, 0.340
88, 30/0, 3, 6, 3, 2.696
89, 45/0, 3, 1, 3, 0.764
90, 45/metal, gt, 3, 3, 0.278
91, 45/0, 1, 3, 3, 0.677
92, 30/0, 6, 1, 1, 0.712
93, 45/metal, 3, 1, 1, 0.276
94, 0/metal, 3, 1, 3, 0.327
95, 45/metal, gt, 6, 6, 0.380
=== 数据记录结束于 2026/1/5 18:16:46 ===
=== 数据记录结束于 2026-01-05 18:16:46 ===
