=== 数据记录开始于 2026-01-05 14:21:18 ===
=== 数据记录开始于 2026/1/5 14:21:18 ===
Timestamp: 2026/01/05 14:21:18
Experimenter: 梁健翔
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 30/metal, 3, gt, gt, 1.663
1, 15/0, 3, 1, 1, 2.840
2, 0/0, 1, 6, 1, 3.862
3, 0/metal, 3, 6, 3, 0.888
4, 15/0, 6, gt, 6, 0.597
5, 15/0, gt, 6, 6, 0.871
6, 45/0, 3, 6, 6, 0.913
7, 0/metal, gt, 1, gt, 0.740
8, 30/metal, gt, 3, gt, 0.771
9, 30/metal, 3, 1, 3, 0.621
10, 30/0, 6, 3, 6, 2.017
11, 45/metal, 3, 1, 1, 0.716
12, 30/metal, 6, 3, 3, 0.606
13, 0/metal, 1, 6, 6, 0.603
14, 30/metal, 6, 1, 6, 0.772
15, 15/metal, 3, gt, gt, 0.716
16, 0/0, 1, gt, 1, 0.431
17, 15/metal, 1, gt, gt, 0.386
18, 15/metal, 1, gt, gt, 0.411
19, 15/0, 1, 6, 1, 0.326
20, 0/metal, 1, gt, gt, 0.551
21, 0/metal, 1, 6, 6, 0.532
22, 30/0, 1, 3, 1, 0.370
23, 15/metal, 3, 1, 3, 0.422
24, 45/metal, 3, 6, 3, 0.352
25, 15/metal, 3, 1, 3, 0.840
26, 45/metal, gt, 6, gt, 2.244
27, 15/metal, 1, 6, 6, 0.681
28, 0/0, 1, gt, 1, 0.479
29, 0/0, 6, gt, gt, 0.605
30, 15/0, gt, 3, 3, 0.296
31, 30/0, 3, 1, 1, 0.305
32, 30/0, 1, gt, 1, 0.267
33, 0/0, 3, 6, 3, 0.893
34, 30/0, 6, 1, 1, 0.323
35, 0/metal, gt, 6, gt, 0.685
36, 15/metal, 3, 6, 6, 0.364
37, 45/0, gt, 6, gt, 0.329
38, 30/0, 6, gt, 6, 0.498
39, 30/metal, 6, gt, gt, 0.488
40, 0/0, gt, 3, 3, 0.576
41, 15/metal, gt, 3, gt, 0.854
42, 30/0, 3, gt, 3, 1.653
43, 30/0, gt, 6, 6, 1.497
44, 45/metal, gt, 6, gt, 0.912
45, 0/0, 6, 3, 6, 0.651
46, 0/0, 3, 1, 3, 0.484
47, 0/metal, 3, gt, gt, 0.742
48, 0/metal, 6, 3, 6, 0.554
49, 45/0, 1, 3, 3, 0.368
50, 15/metal, gt, 6, gt, 0.856
51, 15/0, 3, 6, 3, 0.413
52, 0/metal, 3, 1, 3, 0.496
53, 45/metal, gt, 1, gt, 0.585
54, 0/0, 6, gt, 6, 0.540
55, 15/metal, 6, 3, 6, 1.306
56, 45/metal, 3, 6, 6, 0.389
57, 30/metal, gt, 1, gt, 0.518
58, 30/metal, 3, 6, 6, 0.554
59, 15/0, 1, gt, 1, 0.419
60, 45/0, gt, 6, gt, 0.424
61, 15/metal, 1, 6, 6, 0.327
62, 30/0, 1, gt, 1, 0.499
63, 45/metal, gt, 1, gt, 0.774
64, 45/0, gt, 1, 1, 0.822
65, 30/0, 3, gt, 3, 1.219
66, 45/0, 6, 1, 6, 1.979
67, 45/metal, 6, 1, 1, 0.615
68, 45/0, 3, gt, 3, 0.646
69, 15/0, 6, 1, 6, 0.459
70, 30/metal, gt, 6, gt, 0.577
71, 45/metal, 3, gt, gt, 0.413
72, 30/metal, 1, gt, gt, 0.404
73, 30/metal, 3, 1, 3, 0.486
74, 45/0, 6, 1, 1, 0.664
75, 45/metal, 1, 6, 1, 0.594
76, 30/0, 6, 3, 6, 0.377
77, 30/0, 6, 1, 6, 0.567
78, 45/metal, gt, 3, gt, 0.616
79, 45/0, gt, 3, 3, 2.699
80, 45/0, 3, 1, 3, 0.551
81, 45/0, 6, 3, 6, 0.525
82, 0/metal, 3, 1, 3, 0.414
83, 45/metal, 3, 1, 3, 0.554
84, 0/0, 3, gt, 3, 0.423
85, 0/metal, gt, 6, gt, 0.402
86, 15/0, 6, 3, 6, 0.568
87, 15/0, 3, gt, 3, 0.409
88, 15/metal, 6, gt, gt, 0.580
89, 0/0, 1, 6, 6, 0.486
90, 15/0, gt, 1, 1, 0.453
91, 0/metal, 3, gt, gt, 0.513
92, 30/metal, 1, 6, 6, 0.384
93, 45/0, gt, 1, 1, 0.352
94, 0/0, 3, 1, 3, 0.573
95, 15/0, 1, 3, 3, 0.398
=== 数据记录结束于 2026/1/5 14:36:56 ===
=== 数据记录结束于 2026-01-05 14:36:56 ===
