=== 数据记录开始于 2026-01-05 19:54:02 ===
=== 数据记录开始于 2026/1/5 19:54:02 ===
Timestamp: 2026/01/05 19:54:02
Experimenter: 袁洪洁
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 45/metal, 1, 3, 3, 14.888
1, 0/0, 6, 3, 3, 9.627
2, 0/metal, gt, 6, 6, 11.879
3, 30/0, 3, gt, gt, 2.469
4, 0/0, 3, 6, 6, 3.610
5, 0/metal, 1, 3, 3, 0.700
6, 15/0, 3, 1, 1, 0.654
7, 45/0, 3, 6, 3, 2.026
8, 30/0, 3, 1, 1, 40.616
9, 0/metal, gt, 1, 1, 1.771
10, 0/metal, 1, 3, 3, 5.871
11, 0/metal, 6, 1, 6, 0.750
12, 45/metal, 3, gt, gt, 0.888
13, 0/metal, 1, gt, gt, 0.795
14, 30/metal, 6, gt, gt, 0.923
15, 45/metal, gt, 1, 1, 0.828
16, 0/metal, gt, 3, gt, 3.127
17, 30/0, 3, 6, 3, 2.472
18, 30/0, 1, 3, 1, 0.605
19, 15/metal, 1, 6, 6, 2.637
20, 45/0, 3, 1, 1, 0.865
21, 30/0, 6, gt, gt, 0.822
22, 15/0, 3, gt, 3, 0.657
23, 30/0, 1, 6, 6, 0.998
24, 45/metal, 6, gt, gt, 0.613
25, 15/0, gt, 1, 1, 0.454
26, 45/0, gt, 3, 3, 1.575
27, 45/0, 1, 6, 1, 1.126
28, 0/0, gt, 1, gt, 0.663
29, 15/0, 1, 6, 1, 0.665
30, 30/0, gt, 1, 1, 1.293
31, 45/metal, 3, 6, 6, 0.595
32, 45/0, 1, gt, gt, 0.425
33, 30/metal, 3, 1, 1, 0.653
34, 45/0, 1, 3, 3, 0.744
35, 15/metal, 1, gt, gt, 0.660
36, 15/metal, 3, gt, gt, 0.745
37, 15/metal, 6, 3, 3, 0.770
38, 30/metal, 3, gt, gt, 39.176
39, 15/metal, gt, 1, 1, 1.848
40, 15/metal, 6, 1, 6, 7.528
41, 30/metal, 1, 3, 1, 0.636
42, 45/0, 3, gt, gt, 0.944
43, 45/0, 6, 3, 6, 1.421
44, 45/metal, gt, 3, gt, 0.895
45, 30/metal, 1, gt, gt, 0.151
46, 45/metal, 1, 3, 1, 0.612
47, 30/0, gt, 3, 3, 0.452
48, 45/0, 6, gt, gt, 1.857
49, 45/0, 6, 1, 1, 1.397
50, 15/0, 6, 3, 3, 0.615
51, 0/metal, gt, 6, 6, 1.713
52, 15/0, 6, 1, 1, 1.047
53, 15/metal, 3, gt, gt, 1.151
54, 45/metal, 6, 1, 1, 0.579
55, 15/0, gt, 3, 3, 0.694
56, 30/0, 6, gt, gt, 0.554
57, 0/0, 3, 1, 3, 0.811
58, 15/0, 3, 1, 1, 0.938
59, 30/metal, 6, 3, 3, 0.668
60, 15/0, 1, gt, 1, 0.387
61, 30/metal, 1, 6, 6, 0.676
62, 15/metal, 6, gt, gt, 0.887
63, 15/metal, 6, gt, gt, 0.572
64, 15/0, 6, gt, gt, 0.606
65, 0/0, 1, 6, 6, 0.871
66, 0/metal, 6, 3, 3, 2.408
67, 15/metal, 3, 1, 1, 1.648
68, 0/0, 3, gt, gt, 1.661
69, 30/0, gt, 1, 1, 0.820
70, 0/0, gt, 6, 6, 0.650
71, 45/0, 1, gt, gt, 1.704
72, 45/0, gt, 6, 6, 0.574
73, 0/0, 1, gt, gt, 0.459
74, 30/metal, 6, gt, gt, 0.635
75, 30/0, 1, 6, 6, 0.905
76, 30/metal, 3, gt, gt, 0.738
77, 0/metal, 1, 6, 6, 0.672
78, 45/metal, 6, 3, 3, 0.598
79, 15/metal, 6, 3, 3, 0.586
80, 15/metal, 3, 1, 3, 0.826
81, 0/0, 1, 6, 1, 1.135
82, 0/metal, gt, 3, 3, 0.873
83, 15/0, 6, gt, gt, 0.910
84, 30/metal, 1, 6, 1, 0.774
85, 30/metal, 1, gt, gt, 0.458
86, 45/metal, gt, 1, gt, 0.755
87, 45/metal, 1, 6, 1, 0.614
88, 0/metal, 3, 6, 6, 0.860
89, 15/0, 6, 3, 3, 1.389
90, 0/0, 3, 1, 1, 1.503
91, 45/metal, gt, 6, gt, 0.587
92, 30/0, 6, 3, 3, 1.370
93, 0/0, 3, gt, gt, 0.874
94, 30/metal, 3, 6, 3, 0.489
95, 0/0, 6, gt, gt, 0.501
=== 数据记录结束于 2026/1/5 20:11:03 ===
=== 数据记录结束于 2026-01-05 20:11:03 ===
