=== 数据记录开始于 2026-01-05 11:04:56 ===
=== 数据记录开始于 2026/1/5 11:04:56 ===
Timestamp: 2026/01/05 11:04:56
Experimenter: 钟欣玮
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 0/0, 6, 1, 6, 41.420
1, 0/0, 3, 6, 6, 0.642
2, 0/0, 3, 1, 1, 1.155
3, 0/metal, gt, 1, gt, 0.798
4, 45/0, 1, 6, 1, 9.797
5, 30/0, 6, 1, 6, 0.622
6, 15/0, 1, 6, 1, 1.388
7, 30/0, gt, 6, 6, 1.315
8, 15/0, 3, gt, 3, 3.002
9, 45/0, 3, 1, 1, 1.573
10, 0/metal, 6, 1, 6, 0.573
11, 15/metal, 6, 1, 1, 23.803
12, 30/0, 3, 6, 6, 1.798
13, 45/0, 3, 6, 3, 2.278
14, 30/metal, gt, 1, gt, 0.692
15, 45/metal, 6, 1, 6, 0.693
16, 0/metal, 6, gt, gt, 0.703
17, 0/0, 1, 6, 6, 0.821
18, 45/metal, 6, 1, 6, 1.064
19, 0/0, 3, 6, 3, 1.261
20, 0/0, 3, gt, 3, 0.830
21, 0/0, 3, gt, 3, 1.077
22, 30/metal, 6, 3, 6, 2.129
23, 30/0, 6, 3, 6, 0.529
24, 45/0, 1, gt, 1, 41.844
25, 45/0, 3, gt, gt, 0.831
26, 15/0, 3, 6, 3, 0.942
27, 15/metal, 1, gt, gt, 0.674
28, 15/metal, 1, 3, 3, 0.767
29, 45/metal, 3, gt, 3, 1.814
30, 45/metal, gt, 1, gt, 0.849
31, 0/metal, gt, 3, gt, 1.372
32, 30/metal, 1, 6, 1, 17.614
33, 45/metal, gt, 1, gt, 0.827
34, 15/metal, gt, 1, gt, 0.866
35, 15/0, gt, 6, gt, 2.241
36, 30/metal, 6, 1, 6, 0.905
37, 0/metal, 3, 6, 3, 1.202
38, 30/0, 1, 3, 1, 0.736
39, 30/metal, 3, 6, 3, 0.701
40, 0/0, 1, 3, 1, 0.494
41, 30/0, gt, 1, gt, 0.936
42, 0/metal, 6, 1, 6, 1.527
43, 30/metal, 1, 3, 1, 0.570
44, 45/metal, 3, gt, 3, 0.819
45, 30/metal, gt, 6, 6, 16.499
46, 15/metal, gt, 3, gt, 0.855
47, 45/0, 6, gt, 6, 1.701
48, 45/metal, gt, 6, 6, 0.838
49, 30/0, 3, gt, 3, 1.157
50, 45/metal, 6, 3, 3, 0.756
51, 0/metal, 3, gt, gt, 0.671
52, 15/0, 3, 1, 3, 2.818
53, 15/metal, gt, 6, gt, 1.124
54, 15/metal, 6, 1, 6, 2.491
55, 45/0, 3, 6, 3, 1.010
56, 30/0, gt, 3, gt, 1.004
57, 0/0, 6, gt, gt, 0.699
58, 15/metal, 6, 3, 6, 0.814
59, 0/metal, 6, gt, gt, 0.942
60, 30/0, 1, 6, 1, 0.937
61, 0/0, gt, 6, 6, 0.492
62, 0/metal, 1, 3, 1, 0.429
63, 30/metal, gt, 1, gt, 0.530
64, 30/metal, 3, gt, gt, 0.464
65, 15/0, 1, 3, 3, 0.846
66, 30/0, 1, 3, 1, 0.536
67, 30/metal, 3, 1, 1, 0.903
68, 45/0, gt, 3, gt, 0.637
69, 0/metal, 6, 3, 6, 0.735
70, 30/metal, gt, 3, gt, 3.589
71, 45/0, 1, 3, 3, 0.852
72, 15/0, gt, 1, 1, 0.770
73, 45/metal, 3, 6, 6, 0.524
74, 15/0, gt, 1, 1, 0.700
75, 15/0, 6, 3, 3, 0.536
76, 45/metal, 3, 1, 3, 0.458
77, 30/0, 1, gt, 1, 0.853
78, 45/metal, 3, 1, 3, 0.478
79, 15/metal, 3, gt, gt, 0.627
80, 15/metal, 3, 6, 3, 0.685
81, 45/0, gt, 6, 6, 0.157
82, 45/0, gt, 1, gt, 0.823
83, 0/metal, gt, 1, 1, 0.791
84, 15/0, 1, 6, 6, 0.580
85, 0/0, gt, 1, 1, 1.745
86, 15/metal, 1, 3, 1, 0.723
87, 45/0, 6, 1, 1, 0.547
88, 0/0, 1, gt, gt, 0.641
89, 45/metal, gt, 6, 6, 0.754
90, 15/0, 6, gt, gt, 0.603
91, 15/metal, gt, 6, gt, 0.525
92, 15/0, gt, 3, 3, 0.465
93, 30/0, gt, 6, gt, 0.554
94, 30/metal, gt, 6, 6, 0.782
95, 0/metal, 1, 3, 1, 1.030
=== 数据记录结束于 2026/1/5 11:23:24 ===
=== 数据记录结束于 2026-01-05 11:23:24 ===
