=== 数据记录开始于 2026-01-05 16:12:23 ===
=== 数据记录开始于 2026/1/5 16:12:23 ===
Timestamp: 2026/01/05 16:12:23
Experimenter: 钱凤玉
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 45/0, 1, 6, 1, 6.100
1, 30/0, gt, 1, gt, 2.473
2, 45/0, 1, gt, gt, 1.496
3, 45/0, 1, 6, 1, 1.011
4, 0/0, 6, 3, 6, 0.997
5, 0/0, 1, 3, 1, 2.416
6, 30/metal, 1, gt, gt, 0.876
7, 15/metal, 6, gt, gt, 1.706
8, 15/metal, 6, 3, 6, 1.069
9, 45/metal, 6, gt, gt, 1.374
10, 30/metal, 3, gt, gt, 0.716
11, 15/0, 1, 6, 6, 0.782
12, 0/0, 3, 6, 6, 0.816
13, 45/metal, gt, 1, gt, 1.925
14, 15/0, 6, 1, 6, 1.784
15, 0/0, gt, 6, 6, 0.563
16, 45/0, 6, gt, gt, 0.812
17, 30/metal, 6, gt, gt, 0.747
18, 0/metal, 1, 6, 6, 0.659
19, 30/metal, 1, gt, gt, 0.707
20, 30/metal, 1, 3, 3, 0.838
21, 30/0, 6, 3, 3, 0.763
22, 45/metal, 6, 3, 3, 0.998
23, 30/0, 3, 6, 6, 1.005
24, 30/0, 6, 1, 1, 1.714
25, 30/0, 1, 3, 1, 0.618
26, 30/0, 6, gt, gt, 0.652
27, 45/0, 1, gt, gt, 0.490
28, 45/metal, gt, 1, gt, 0.437
29, 15/0, 3, 6, 6, 0.515
30, 45/0, 1, 3, 1, 0.809
31, 30/0, gt, 3, gt, 0.563
32, 45/metal, 6, 1, 6, 1.073
33, 45/0, 1, 3, 3, 0.650
34, 30/0, 6, gt, 6, 1.119
35, 15/0, 6, 3, 6, 1.293
36, 45/metal, gt, 3, 3, 0.506
37, 45/metal, 6, 3, 6, 2.256
38, 45/metal, 3, gt, gt, 3.262
39, 0/0, 6, gt, gt, 0.421
40, 45/0, 3, 6, 6, 0.500
41, 30/metal, 1, 3, 3, 0.512
42, 15/0, 3, 1, 1, 0.442
43, 0/metal, 1, gt, gt, 0.966
44, 30/metal, gt, 3, gt, 1.411
45, 0/metal, 3, gt, gt, 0.886
46, 15/metal, 6, 3, 6, 1.025
47, 30/metal, gt, 6, gt, 1.327
48, 15/metal, 6, 1, 6, 2.167
49, 45/0, 6, 3, 6, 1.669
50, 15/0, 6, gt, gt, 0.895
51, 15/metal, gt, 3, gt, 0.902
52, 0/0, 6, 1, 6, 2.415
53, 15/0, 1, 3, 1, 0.896
54, 0/0, 3, gt, 3, 0.933
55, 0/metal, 6, 3, 6, 0.586
56, 30/metal, 1, 6, 6, 0.788
57, 45/0, gt, 3, gt, 0.496
58, 30/metal, 3, 6, 6, 0.483
59, 15/0, 1, gt, gt, 0.541
60, 30/0, 3, 1, 3, 0.929
61, 30/0, 1, gt, gt, 0.438
62, 15/metal, 1, 6, 6, 0.641
63, 0/0, 1, 3, 1, 0.796
64, 15/0, 3, gt, 3, 1.033
65, 45/metal, 6, 1, 6, 0.679
66, 30/metal, 6, 3, 6, 0.435
67, 45/0, gt, 3, gt, 1.016
68, 0/metal, 6, gt, gt, 1.066
69, 0/0, 3, gt, gt, 1.037
70, 0/0, 1, 6, 6, 0.806
71, 30/metal, 6, 1, 6, 0.490
72, 30/0, 6, 1, 6, 1.207
73, 45/metal, 3, 1, 3, 1.414
74, 0/metal, 6, 3, 6, 0.710
75, 0/0, gt, 1, gt, 0.708
76, 15/metal, 3, 1, 3, 0.839
77, 45/metal, 1, 3, 3, 0.549
78, 15/metal, gt, 3, gt, 1.203
79, 15/metal, 1, gt, gt, 0.717
80, 15/0, gt, 3, 3, 0.949
81, 15/metal, 1, 3, 3, 0.522
82, 45/metal, 6, gt, gt, 1.219
83, 0/metal, gt, 3, gt, 1.064
84, 15/metal, 1, gt, gt, 0.555
85, 0/metal, 1, gt, gt, 0.433
86, 30/0, gt, 3, gt, 5.823
87, 15/0, gt, 1, gt, 0.515
88, 0/metal, 1, 6, 6, 0.642
89, 0/metal, 1, 3, 1, 1.415
90, 0/metal, 3, 1, 3, 0.775
91, 0/0, gt, 1, gt, 0.511
92, 15/metal, gt, 6, gt, 0.714
93, 15/0, gt, 6, gt, 2.095
94, 0/metal, gt, 6, gt, 0.837
95, 45/0, gt, 6, gt, 2.274
=== 数据记录结束于 2026/1/5 16:25:25 ===
=== 数据记录结束于 2026-01-05 16:25:25 ===
