=== 数据记录开始于 2026-01-05 14:00:16 ===
=== 数据记录开始于 2026/1/5 14:00:16 ===
Timestamp: 2026/01/05 14:00:16
Experimenter: 陆垦
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 0/metal, 1, 3, 3, 1.012
1, 30/metal, gt, 1, 1, 0.995
2, 45/metal, 3, gt, 3, 0.492
3, 30/0, 6, gt, 6, 0.673
4, 30/metal, 3, 6, 3, 0.443
5, 0/0, 1, 3, 1, 0.431
6, 15/metal, 1, 3, 3, 0.352
7, 15/0, 3, 6, 3, 0.364
8, 45/0, gt, 3, 3, 0.478
9, 45/0, 6, 3, 6, 0.351
10, 30/0, gt, 6, 6, 0.458
11, 30/metal, 6, 1, 6, 0.432
12, 15/0, 6, 3, 3, 0.338
13, 15/metal, 3, gt, gt, 0.560
14, 0/metal, 3, 6, 6, 0.462
15, 0/metal, 1, 6, 6, 0.403
16, 0/0, 3, 1, 3, 0.510
17, 30/metal, 1, 6, 6, 0.783
18, 15/metal, 1, 6, 6, 0.648
19, 45/metal, 3, 1, 3, 0.423
20, 30/0, 6, 3, 6, 0.592
21, 15/0, gt, 6, gt, 0.437
22, 30/0, gt, 1, gt, 0.389
23, 15/0, 3, gt, gt, 0.313
24, 30/0, 3, 1, 3, 0.379
25, 15/0, gt, 3, gt, 0.405
26, 30/0, 3, gt, 3, 0.483
27, 30/0, 6, 3, 6, 0.336
28, 0/0, 3, gt, gt, 0.350
29, 15/metal, 3, 6, 6, 0.381
30, 0/metal, gt, 3, gt, 0.384
31, 15/0, 6, 1, 6, 0.552
32, 45/0, gt, 6, gt, 1.294
33, 15/0, 1, 6, 1, 0.440
34, 45/0, 1, 3, 1, 0.494
35, 0/0, 3, 6, 3, 0.542
36, 30/0, gt, 3, gt, 0.669
37, 15/metal, gt, 3, gt, 0.469
38, 45/metal, 6, 3, 6, 0.536
39, 0/0, gt, 3, gt, 0.507
40, 45/0, 6, 1, 6, 0.492
41, 0/metal, 1, gt, gt, 0.422
42, 15/metal, 6, gt, gt, 0.758
43, 15/0, gt, 6, gt, 0.639
44, 15/0, gt, 1, gt, 0.631
45, 0/0, gt, 1, gt, 0.568
46, 0/metal, 3, 6, 6, 0.594
47, 45/0, gt, 1, gt, 0.742
48, 0/0, 6, 1, 6, 0.810
49, 45/metal, 3, 6, 6, 0.726
50, 45/metal, 1, gt, 1, 0.482
51, 45/0, 1, 3, 1, 0.510
52, 15/metal, 1, 6, 6, 0.650
53, 15/0, 1, gt, 1, 0.596
54, 30/metal, 6, 3, 3, 0.469
55, 30/metal, gt, 6, gt, 0.526
56, 45/0, gt, 1, gt, 0.540
57, 30/0, 3, 1, 3, 0.411
58, 45/metal, gt, 6, gt, 0.437
59, 30/metal, 1, 3, 3, 0.565
60, 30/metal, 3, gt, gt, 0.407
61, 45/metal, gt, 1, gt, 0.388
62, 45/metal, 6, 1, 6, 0.750
63, 15/metal, gt, 1, gt, 1.027
64, 0/0, gt, 1, gt, 1.267
65, 15/0, 3, 1, 3, 0.959
66, 45/metal, 6, gt, gt, 0.818
67, 30/metal, gt, 6, gt, 0.615
68, 0/0, 6, gt, 6, 0.520
69, 45/metal, gt, 3, 3, 0.723
70, 0/metal, gt, 6, gt, 0.447
71, 30/metal, gt, 1, gt, 0.500
72, 30/metal, 3, gt, gt, 0.450
73, 0/0, 6, gt, 6, 0.396
74, 30/metal, 1, 3, 1, 0.410
75, 15/0, 1, 3, 3, 0.395
76, 0/0, 6, 1, 1, 0.681
77, 0/metal, 1, 6, 6, 0.367
78, 30/0, 6, 1, 6, 0.676
79, 15/metal, 6, gt, gt, 0.402
80, 45/metal, 3, 1, 3, 0.475
81, 15/metal, 3, 1, 3, 0.636
82, 30/0, 1, 6, 6, 0.380
83, 15/metal, gt, 1, gt, 0.612
84, 0/metal, 1, gt, gt, 0.615
85, 45/0, 3, 6, 3, 0.469
86, 30/0, 1, gt, gt, 0.535
87, 45/0, 6, 1, 6, 0.565
88, 15/metal, 3, 6, 6, 0.451
89, 45/0, 3, gt, gt, 0.498
90, 45/metal, 1, 6, 6, 0.387
91, 0/metal, 3, 1, 3, 0.444
92, 0/metal, gt, 3, gt, 0.568
93, 45/0, gt, 6, gt, 0.627
94, 0/0, 6, 3, 6, 0.597
95, 0/metal, 6, gt, gt, 0.505
=== 数据记录结束于 2026/1/5 14:11:38 ===
=== 数据记录结束于 2026-01-05 14:11:38 ===
