=== 数据记录开始于 2025-12-29 15:51:49 ===
=== 数据记录开始于 2025/12/29 15:51:49 ===
Timestamp: 2025/12/29 15:51:49
Experimenter: 张宸玺
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 45/metal, 6, 1, 1, 12.345
1, 15/0, 3, 6, 6, 3.848
2, 0/0, 1, gt, 1, 0.908
3, 45/metal, 3, 6, 3, 6.312
4, 0/metal, 6, 3, 3, 0.680
5, 0/metal, 6, 3, 6, 0.511
6, 15/0, 6, 1, 1, 0.850
7, 15/metal, 6, 1, 6, 0.415
8, 0/metal, 1, 6, 6, 0.578
9, 0/0, 6, 3, 3, 1.687
10, 45/metal, gt, 3, gt, 1.348
11, 45/0, 6, 1, 1, 2.193
12, 15/0, 3, gt, 3, 0.373
13, 0/0, 3, 1, 3, 0.453
14, 30/metal, 3, 1, 3, 0.495
15, 15/0, 1, 6, 1, 0.488
16, 45/metal, gt, 6, 6, 0.377
17, 0/0, 1, gt, 1, 0.351
18, 15/metal, 1, 3, 3, 0.519
19, 30/0, 3, 6, 3, 0.386
20, 15/metal, gt, 3, 3, 1.180
21, 15/0, 6, 3, 6, 1.061
22, 0/0, 3, 6, 3, 0.493
23, 0/metal, gt, 6, 6, 0.697
24, 0/0, 3, gt, 3, 0.662
25, 0/metal, 3, gt, 3, 0.361
26, 45/0, 6, gt, 6, 0.337
27, 0/metal, 1, gt, gt, 0.695
28, 30/0, 3, gt, 3, 0.376
29, 45/metal, 1, gt, 1, 0.368
30, 0/0, 1, 6, 6, 0.913
31, 30/0, gt, 6, gt, 0.301
32, 30/0, 1, gt, 1, 0.320
33, 15/metal, 1, 6, 6, 0.535
34, 30/0, 6, 3, 6, 0.686
35, 15/0, gt, 6, 6, 0.827
36, 15/metal, 3, 6, 6, 0.883
37, 15/metal, gt, 1, 1, 1.854
38, 15/0, 1, gt, 1, 0.555
39, 0/0, gt, 3, 3, 0.315
40, 30/0, 1, 6, 1, 0.438
41, 30/metal, gt, 3, 3, 0.419
42, 15/metal, 6, gt, 6, 0.404
43, 0/metal, 1, 3, 3, 0.418
44, 45/metal, 3, 6, 3, 0.313
45, 45/metal, gt, 1, 1, 0.694
46, 30/0, gt, 1, 1, 0.293
47, 15/metal, gt, 6, 6, 0.464
48, 0/0, 6, gt, 6, 0.334
49, 30/metal, 6, 1, 1, 0.659
50, 0/metal, gt, 3, 3, 0.311
51, 15/0, 3, gt, 3, 0.378
52, 15/0, gt, 6, 6, 0.486
53, 30/0, 1, 3, 1, 0.366
54, 0/metal, gt, 6, 6, 0.388
55, 45/0, 3, 6, 3, 0.318
56, 30/metal, 6, 3, 3, 0.639
57, 45/metal, 3, 1, 1, 0.338
58, 0/0, 6, gt, 6, 0.432
59, 30/metal, 1, 3, 3, 0.333
60, 15/metal, 3, 6, 3, 0.293
61, 0/0, 6, 1, 6, 0.676
62, 30/metal, 3, gt, 3, 0.438
63, 30/0, 1, 3, 3, 0.334
64, 30/metal, 6, 1, 1, 0.350
65, 15/0, gt, 1, 1, 0.612
66, 0/metal, 1, gt, 1, 0.392
67, 45/0, gt, 1, 1, 0.374
68, 30/0, 1, 6, 1, 0.312
69, 30/metal, gt, 1, 1, 0.353
70, 45/0, 6, 1, 1, 0.316
71, 45/metal, 3, 1, 3, 0.348
72, 30/metal, gt, 6, 6, 0.835
73, 45/0, 3, 1, 3, 0.284
74, 15/metal, 3, 1, 3, 0.439
75, 45/0, gt, 6, 6, 0.558
76, 30/0, gt, 3, 3, 0.875
77, 30/metal, 1, gt, 1, 0.331
78, 15/metal, gt, 3, 3, 0.406
79, 30/metal, gt, 6, 6, 0.418
80, 45/0, 3, gt, 3, 0.317
81, 15/0, 1, 3, 1, 0.579
82, 0/metal, 1, 6, 6, 0.781
83, 45/0, 6, 3, 3, 1.203
84, 45/0, 3, gt, 3, 0.699
85, 0/metal, 1, 3, 3, 0.585
86, 45/metal, 3, gt, 3, 0.604
87, 45/0, 1, gt, 1, 0.377
88, 45/0, 3, 1, 1, 0.457
89, 45/metal, 1, 6, 1, 0.351
90, 15/0, 1, 3, 3, 0.737
91, 45/metal, gt, 6, 6, 0.471
92, 0/0, 3, 1, 3, 0.738
93, 30/0, gt, 6, 6, 0.631
94, 15/metal, 1, gt, 1, 0.417
95, 30/metal, 3, 6, 3, 0.403
=== 数据记录结束于 2025/12/29 16:05:28 ===
=== 数据记录结束于 2025-12-29 16:05:28 ===
