=== 数据记录开始于 2025-12-25 18:59:07 ===
=== 数据记录开始于 2025/12/25 18:59:07 ===
Timestamp: 2025/12/25 18:59:07
Experimenter: 洪墅霖
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 15/0, 1, 6, 1, 1.049
1, 0/0, 1, gt, 1, 0.406
2, 0/0, 3, 1, 1, 0.267
3, 30/0, 3, 1, 3, 0.318
4, 45/0, 3, 1, 1, 0.327
5, 0/0, 6, gt, 6, 0.268
6, 45/metal, 1, 6, 6, 0.307
7, 0/0, 1, 6, 6, 0.351
8, 45/metal, 6, 3, 3, 0.403
9, 15/metal, 1, 6, 6, 0.308
10, 30/metal, 1, gt, gt, 0.244
11, 45/0, 6, gt, 6, 0.291
12, 30/metal, 3, 6, 6, 0.293
13, 45/metal, 6, 1, 1, 0.375
14, 30/0, 6, gt, gt, 0.420
15, 0/metal, 1, 3, 3, 0.260
16, 0/0, 6, 3, 3, 0.248
17, 0/0, 1, gt, 1, 0.261
18, 30/0, gt, 1, 1, 0.216
19, 30/0, gt, 1, 1, 0.219
20, 45/metal, gt, 6, 6, 0.521
21, 15/0, gt, 6, 6, 0.256
22, 15/0, 1, 3, 3, 0.094
23, 15/metal, 1, 3, 3, 0.516
24, 30/metal, 6, gt, 6, 0.255
25, 15/metal, 6, gt, 6, 0.255
26, 45/0, 3, gt, 3, 0.280
27, 0/metal, 1, gt, gt, 0.260
28, 30/metal, 1, 3, 1, 1.241
29, 0/0, 1, 3, 1, 0.080
30, 30/metal, gt, 6, 6, 0.029
31, 0/metal, 6, 1, 1, 0.257
32, 45/metal, 1, 3, 1, 0.092
33, 45/0, gt, 1, 1, 0.410
34, 30/metal, 1, 6, 1, 0.293
35, 45/metal, 6, gt, 6, 0.255
36, 15/0, gt, 1, 1, 0.286
37, 0/metal, 1, 3, 3, 0.254
38, 30/metal, 1, gt, 1, 0.119
39, 45/0, gt, 6, 6, 0.334
40, 30/0, 6, 1, 6, 0.271
41, 30/metal, 3, 1, 1, 0.293
42, 15/metal, 3, 1, 1, 0.259
43, 15/metal, 3, 6, 6, 0.206
44, 0/metal, gt, 6, 6, 0.294
45, 15/0, 3, gt, 3, 0.113
46, 45/metal, 1, 3, 1, 0.031
47, 0/0, gt, 6, gt, 0.313
48, 45/metal, gt, 1, 1, 0.207
49, 30/metal, 3, 6, 3, 0.175
50, 0/metal, 6, gt, 6, 0.247
51, 30/0, gt, 3, 3, 0.263
52, 15/0, 1, 3, 1, 0.255
53, 30/0, 1, 6, 1, 0.219
54, 15/0, 6, gt, gt, 0.223
55, 45/0, 6, 3, 6, 0.228
56, 45/0, gt, 3, 3, 0.217
57, 15/metal, gt, 3, 3, 0.302
58, 30/0, 6, 3, 3, 0.284
59, 45/0, 6, 3, 3, 0.272
60, 45/0, 1, 3, 1, 0.318
61, 30/0, gt, 6, 6, 0.033
62, 0/metal, 3, gt, 3, 0.014
63, 15/metal, 6, 1, 1, 0.220
64, 0/0, 3, 6, 3, 0.257
65, 45/metal, gt, 3, 3, 0.236
66, 30/0, gt, 3, 3, 0.463
67, 45/metal, 3, gt, 3, 19.497
68, 30/metal, gt, 3, 3, 0.342
69, 15/metal, 1, gt, 1, 0.102
70, 0/metal, gt, 1, 1, 0.180
71, 45/0, 6, 1, 1, 0.114
72, 15/0, 6, 1, 1, 0.069
73, 45/0, gt, 1, 1, 0.250
74, 15/metal, 6, 3, 3, 0.259
75, 45/metal, 1, gt, gt, 0.297
76, 0/metal, 1, 6, 1, 0.246
77, 0/metal, 3, gt, 3, 0.081
78, 0/0, 6, 1, 1, 0.280
79, 0/0, gt, 3, 3, 0.223
80, 0/metal, 3, 6, 3, 0.118
81, 30/metal, 6, 1, 1, 0.316
82, 15/0, 6, 3, 3, 0.283
83, 15/metal, 1, gt, 1, 0.147
84, 15/0, gt, 1, 1, 0.297
85, 0/0, 3, gt, 3, 0.289
86, 0/metal, 6, 3, 3, 0.333
87, 15/metal, 3, gt, 3, 0.364
88, 45/0, 6, 1, 1, 0.276
89, 30/0, 6, 3, 3, 0.342
90, 30/0, 3, 1, 3, 0.331
91, 15/0, 6, 3, 3, 0.466
92, 45/metal, 3, 6, 3, 0.133
93, 15/metal, 6, gt, 6, 0.285
94, 30/metal, gt, 3, 3, 0.320
95, 15/0, gt, 3, gt, 0.758
=== 数据记录结束于 2025/12/25 19:10:07 ===
=== 数据记录结束于 2025-12-25 19:10:07 ===
