=== 数据记录开始于 2025-12-29 15:20:50 ===
=== 数据记录开始于 2025/12/29 15:20:50 ===
Timestamp: 2025/12/29 15:20:50
Experimenter: 王执
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 0/metal, 1, 3, 3, 2.114
1, 30/metal, gt, 1, 1, 2.594
2, 0/0, 1, gt, gt, 1.245
3, 15/metal, 1, gt, 1, 10.882
4, 15/metal, gt, 3, gt, 0.625
5, 30/metal, 6, 3, 6, 0.504
6, 0/0, 6, 3, 3, 2.737
7, 45/0, 1, 6, 6, 0.526
8, 45/metal, 3, 6, 3, 3.289
9, 15/0, 6, 1, 1, 1.069
10, 30/0, 6, gt, gt, 0.929
11, 0/0, 1, 6, 6, 0.635
12, 45/metal, gt, 3, gt, 0.463
13, 0/metal, gt, 1, gt, 3.166
14, 15/metal, 3, 1, 1, 0.595
15, 0/0, gt, 6, 6, 0.725
16, 0/0, 1, 6, 6, 0.432
17, 15/0, 3, gt, gt, 0.563
18, 0/metal, 1, 6, 6, 0.605
19, 30/0, 3, gt, 3, 2.620
20, 45/metal, 6, 1, 6, 0.441
21, 15/0, 3, gt, 3, 0.314
22, 45/metal, gt, 6, gt, 0.358
23, 45/0, 1, gt, 1, 63.967
24, 45/0, 3, 1, 1, 12.737
25, 45/0, 3, 6, 6, 0.578
26, 0/0, gt, 1, 1, 1.600
27, 45/0, gt, 3, 3, 0.429
28, 15/metal, 6, 1, 6, 0.407
29, 0/metal, 6, 3, 6, 0.366
30, 0/0, 6, gt, gt, 3.262
31, 30/metal, 6, 1, 6, 0.497
32, 0/metal, 3, gt, gt, 0.413
33, 45/0, 6, gt, gt, 0.868
34, 30/0, 6, 3, 3, 0.372
35, 30/0, 1, 6, 6, 0.451
36, 30/metal, 3, 6, 6, 0.637
37, 15/0, 3, 1, 1, 163.475
38, 45/0, 1, gt, gt, 0.842
39, 15/metal, gt, 6, gt, 0.360
40, 0/0, 6, 3, 6, 0.909
41, 30/metal, 3, gt, 3, 1.264
42, 45/metal, 6, 1, 6, 0.477
43, 15/0, 1, 3, 3, 3.550
44, 45/metal, 3, 6, 3, 6.757
45, 30/0, 3, 6, 6, 26.282
46, 15/metal, gt, 3, gt, 0.561
47, 30/0, gt, 1, gt, 0.447
48, 15/0, 3, 6, 6, 0.380
49, 15/0, 1, 6, 6, 0.322
50, 15/0, gt, 1, gt, 0.353
51, 30/metal, 6, gt, gt, 0.345
52, 45/metal, 1, 3, 1, 0.434
53, 45/metal, 1, 3, 1, 0.565
54, 15/0, 6, gt, gt, 0.550
55, 15/metal, 1, gt, gt, 0.741
56, 45/0, 6, gt, gt, 0.412
57, 45/metal, gt, 6, gt, 0.524
58, 0/0, 3, 1, 3, 0.371
59, 30/0, gt, 3, 3, 1.434
60, 30/metal, gt, 1, gt, 0.568
61, 30/metal, 3, 1, 3, 0.636
62, 45/metal, gt, 3, gt, 0.552
63, 30/0, 1, 6, 6, 0.437
64, 15/metal, 6, gt, gt, 0.383
65, 0/metal, gt, 1, gt, 0.385
66, 45/0, 1, 3, 3, 0.439
67, 30/metal, gt, 6, 6, 1.313
68, 0/metal, gt, 3, gt, 0.337
69, 30/metal, 1, 3, 3, 0.432
70, 45/0, 6, 1, 6, 0.594
71, 0/0, 1, 3, 3, 0.373
72, 15/metal, 6, 1, 6, 0.431
73, 0/metal, 6, 3, 6, 0.378
74, 30/0, 3, 1, 3, 0.402
75, 0/metal, gt, 6, gt, 0.374
76, 15/0, gt, 6, 6, 0.338
77, 30/0, 3, 1, 1, 5.094
78, 15/metal, 3, 1, 3, 0.400
79, 30/0, 6, gt, gt, 1.443
80, 0/0, gt, 3, 3, 4.947
81, 0/metal, 6, gt, gt, 0.633
82, 15/metal, 6, 3, 6, 0.832
83, 45/0, 6, 3, 3, 1.260
84, 30/metal, 3, gt, gt, 0.628
85, 45/metal, 1, gt, gt, 0.643
86, 0/metal, 1, 3, 1, 1.531
87, 0/metal, 1, 6, 6, 0.395
88, 15/0, gt, 1, gt, 1.412
89, 15/metal, 3, 6, 6, 0.417
90, 0/0, 3, gt, gt, 0.517
91, 30/0, gt, 1, gt, 0.983
92, 45/0, 3, gt, gt, 1.064
93, 15/0, 3, 6, 6, 0.912
94, 30/metal, 1, 6, 6, 1.682
95, 45/metal, gt, 1, gt, 0.610
=== 数据记录结束于 2025/12/29 15:41:19 ===
=== 数据记录结束于 2025-12-29 15:41:19 ===
