=== 数据记录开始于 2025-12-25 18:44:49 ===
=== 数据记录开始于 2025/12/25 18:44:49 ===
Timestamp: 2025/12/25 18:44:49
Experimenter: 刘子琦
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 30/0, gt, 1, 1, 3.076
1, 45/metal, 6, 1, 1, 3.368
2, 0/metal, 3, gt, gt, 3.916
3, 30/0, gt, 6, gt, 1.562
4, 15/0, gt, 6, 6, 0.568
5, 30/metal, 6, 3, 3, 0.364
6, 15/0, 1, gt, gt, 0.326
7, 0/0, 1, 6, 6, 0.323
8, 15/metal, 3, 6, 6, 0.307
9, 15/metal, gt, 6, gt, 0.362
10, 45/metal, 3, 1, 3, 0.329
11, 30/metal, 1, 3, 3, 1.047
12, 15/metal, 6, 1, 6, 0.435
13, 45/0, 1, 3, 3, 0.458
14, 30/0, gt, 6, 6, 0.554
15, 45/metal, 6, 3, 6, 0.521
16, 0/metal, 3, gt, 3, 1.126
17, 15/0, gt, 1, 1, 0.613
18, 0/0, 6, 3, 3, 4.517
19, 0/metal, gt, 1, gt, 0.522
20, 30/metal, 1, 3, 3, 0.457
21, 0/metal, 1, gt, gt, 0.280
22, 45/metal, 6, gt, gt, 0.415
23, 15/0, 1, 6, 6, 0.502
24, 45/0, 6, 3, 3, 0.282
25, 45/0, 3, 6, 6, 0.307
26, 45/0, gt, 6, 6, 1.324
27, 15/metal, 3, gt, gt, 0.546
28, 0/0, 3, gt, gt, 1.139
29, 30/metal, 6, gt, 6, 0.333
30, 0/0, 1, 3, 3, 0.327
31, 0/0, 6, gt, 6, 0.295
32, 0/metal, 6, gt, 6, 0.557
33, 45/metal, 3, 1, 3, 0.301
34, 45/0, gt, 3, gt, 0.441
35, 15/0, 3, gt, gt, 1.194
36, 30/0, 6, 1, 6, 0.545
37, 0/metal, 1, 3, 3, 0.539
38, 45/0, gt, 1, 1, 0.471
39, 15/metal, 3, 1, 3, 0.317
40, 45/metal, gt, 1, 1, 0.568
41, 30/0, gt, 1, 1, 0.322
42, 30/0, 3, 6, 6, 0.295
43, 45/metal, gt, 1, gt, 2.126
44, 45/0, 6, 1, 1, 0.634
45, 30/0, 3, 1, 3, 0.622
46, 45/0, 3, gt, gt, 0.376
47, 15/metal, gt, 6, 6, 0.445
48, 0/metal, 3, 6, 6, 0.328
49, 30/metal, 6, 1, 6, 0.640
50, 15/0, 6, 1, 6, 0.270
51, 0/metal, 1, 3, 3, 0.164
52, 30/metal, 6, 3, 3, 0.512
53, 45/0, 3, 1, 1, 0.993
54, 15/0, 6, 3, 3, 0.577
55, 45/0, gt, 6, 6, 0.438
56, 45/metal, 3, gt, 3, 1.412
57, 15/metal, gt, 1, gt, 0.291
58, 0/0, 6, gt, 6, 0.381
59, 30/0, 6, 3, 6, 0.511
60, 45/0, 1, 6, 1, 0.380
61, 15/0, 3, 1, 1, 0.901
62, 0/metal, 6, 1, 6, 0.390
63, 0/metal, 6, 3, 3, 0.399
64, 15/metal, 3, gt, 3, 0.853
65, 15/metal, 6, 3, 3, 0.295
66, 15/metal, 6, 1, 6, 0.553
67, 15/0, gt, 6, 6, 1.124
68, 30/0, 6, 1, 6, 0.785
69, 30/metal, 6, 1, 6, 0.501
70, 15/0, 3, gt, 3, 0.336
71, 15/metal, 1, gt, gt, 0.547
72, 30/0, gt, 3, 3, 1.082
73, 15/0, 1, 3, 3, 3.099
74, 30/metal, gt, 3, 3, 1.227
75, 0/0, 6, 1, 6, 0.609
76, 30/0, 3, gt, gt, 0.784
77, 45/0, gt, 1, 1, 0.344
78, 0/metal, gt, 6, 6, 0.733
79, 45/metal, 6, 1, 1, 1.330
80, 0/0, 3, gt, gt, 0.698
81, 0/0, 1, 3, 3, 0.643
82, 45/metal, gt, 3, 3, 0.627
83, 15/metal, 1, 3, 3, 0.411
84, 30/0, 3, 1, 1, 0.309
85, 30/metal, gt, 3, 3, 0.404
86, 30/metal, 6, gt, gt, 0.392
87, 0/0, 1, gt, gt, 0.449
88, 0/0, 1, gt, gt, 0.301
89, 15/0, 6, 3, 3, 0.450
90, 30/metal, 1, gt, gt, 0.923
91, 0/metal, 1, 6, 6, 0.450
92, 45/metal, gt, 6, 6, 0.298
93, 45/metal, 3, 6, 6, 0.238
94, 0/0, 3, 6, 6, 0.386
95, 30/metal, gt, 1, gt, 1.077
=== 数据记录结束于 2025/12/25 18:55:58 ===
=== 数据记录结束于 2025-12-25 18:55:58 ===
