=== 数据记录开始于 2025-12-26 21:00:13 ===
=== 数据记录开始于 2025/12/26 21:00:13 ===
Timestamp: 2025/12/26 21:00:13
Experimenter: 危思越
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 15/metal, 6, gt, 6, 0.553
1, 45/metal, 6, gt, 6, 0.274
2, 0/0, gt, 3, gt, 0.661
3, 30/0, 6, 1, 6, 0.253
4, 15/metal, 6, gt, gt, 0.226
5, 45/0, 3, gt, 3, 0.280
6, 45/0, 3, 6, 6, 0.284
7, 15/0, 1, 3, 3, 0.296
8, 30/metal, 3, 1, 3, 0.290
9, 30/metal, 1, 6, 6, 0.264
10, 45/metal, 3, gt, gt, 0.280
11, 30/0, gt, 6, 6, 0.281
12, 0/metal, 6, 1, 6, 0.331
13, 45/metal, gt, 1, gt, 0.276
14, 30/metal, 3, gt, gt, 0.289
15, 30/metal, 6, 1, 6, 0.317
16, 0/metal, 1, gt, gt, 0.263
17, 0/metal, gt, 3, gt, 0.291
18, 15/0, gt, 6, gt, 0.278
19, 15/0, 6, 3, 6, 0.225
20, 30/metal, 1, 3, 3, 0.271
21, 45/0, 1, gt, gt, 0.284
22, 0/metal, 6, 3, 6, 0.260
23, 30/0, 1, gt, gt, 0.271
24, 0/0, gt, 6, 6, 0.287
25, 30/0, gt, 3, gt, 0.278
26, 30/metal, gt, 3, gt, 0.301
27, 45/0, 6, 1, 6, 0.447
28, 15/metal, 3, 6, 6, 0.270
29, 0/0, 6, 3, 6, 0.346
30, 0/0, 3, 1, 1, 0.254
31, 30/0, 1, gt, gt, 0.137
32, 15/metal, 1, 3, 3, 0.271
33, 0/0, gt, 6, 6, 0.258
34, 45/0, 3, gt, 3, 0.401
35, 45/0, 1, 3, 3, 0.279
36, 45/metal, 1, 3, 3, 0.308
37, 0/0, gt, 1, gt, 0.292
38, 15/0, 1, 6, 6, 0.360
39, 30/0, 3, gt, gt, 0.288
40, 45/metal, 1, 6, 6, 0.336
41, 0/metal, 1, gt, gt, 0.351
42, 0/0, 3, gt, gt, 0.442
43, 0/0, 3, 1, 1, 0.692
44, 0/0, 6, 1, 6, 0.299
45, 30/0, 6, gt, 6, 0.265
46, 45/metal, 6, gt, 6, 0.272
47, 0/metal, 3, 1, 3, 0.317
48, 45/0, 6, gt, gt, 0.270
49, 45/0, 1, 6, 6, 0.304
50, 45/0, 1, gt, gt, 0.280
51, 45/metal, 6, 3, 6, 0.267
52, 45/metal, gt, 1, gt, 0.512
53, 45/metal, 3, 6, 6, 0.554
54, 15/0, 3, 1, 3, 0.346
55, 15/0, gt, 1, gt, 0.412
56, 45/metal, 3, gt, gt, 0.028
57, 0/metal, 6, gt, gt, 0.156
58, 15/metal, 3, gt, gt, 0.317
59, 30/metal, 3, 6, 6, 0.404
60, 45/metal, 1, 6, 6, 0.272
61, 15/0, 3, gt, gt, 0.311
62, 45/0, gt, 6, 6, 0.417
63, 15/0, gt, 6, gt, 0.339
64, 0/0, 6, 1, 6, 0.294
65, 30/0, 3, 6, 3, 0.291
66, 15/metal, 1, gt, gt, 0.293
67, 15/metal, 1, 6, 6, 0.338
68, 30/0, 6, 1, 6, 0.252
69, 30/0, 1, 3, 3, 0.234
70, 15/metal, 3, 1, 3, 0.263
71, 15/metal, gt, 3, 3, 0.288
72, 30/metal, gt, 1, gt, 0.278
73, 0/metal, 6, 3, 6, 0.395
74, 15/metal, 6, 1, 6, 0.282
75, 45/0, 1, 3, 1, 0.279
76, 15/metal, 6, 3, 6, 0.294
77, 0/0, 3, 6, 6, 0.292
78, 45/metal, 3, 1, 3, 0.281
79, 30/metal, 1, gt, gt, 0.410
80, 15/0, 6, 3, 6, 0.457
81, 30/metal, 6, gt, 6, 0.343
82, 45/0, 3, 6, 3, 0.259
83, 0/metal, 3, gt, gt, 0.265
84, 30/0, 3, 1, 3, 0.293
85, 15/0, gt, 1, gt, 0.342
86, 0/metal, 6, 1, 6, 0.319
87, 30/metal, 3, 6, 6, 0.311
88, 0/metal, 1, 3, 3, 0.234
89, 30/0, 3, 6, 6, 0.438
90, 0/metal, gt, 6, gt, 0.286
91, 15/metal, gt, 1, gt, 0.307
92, 30/metal, gt, 6, gt, 0.276
93, 15/0, 1, 6, 6, 0.283
94, 15/0, gt, 3, gt, 0.265
95, 0/0, 1, gt, gt, 0.277
=== 数据记录结束于 2025/12/26 21:10:27 ===
=== 数据记录结束于 2025-12-26 21:10:27 ===
