=== 数据记录开始于 2025-12-25 15:43:29 ===
Timestamp: 2025/12/25 15:43:29
Experimenter: 危思越
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice
0, 15/metal, gt, 1, gt, 0.787
1, 15/0, 3, 6, 6, 0.293
2, 30/0, 1, 3, 3, 18.896
3, 15/metal, 3, gt, 3, 0.356
4, 30/metal, 3, gt, gt, 0.357
5, 45/0, 6, gt, gt, 0.547
6, 30/metal, 6, gt, gt, 0.403
7, 15/0, 1, 6, 6, 0.263
8, 15/metal, 6, gt, gt, 0.289
9, 45/0, gt, 1, gt, 0.297
10, 0/metal, gt, 6, gt, 0.270
11, 45/0, 1, gt, gt, 0.257
12, 15/0, 6, gt, 6, 0.281
13, 30/metal, 3, 6, 6, 0.264
14, 15/metal, 1, 6, 6, 0.263
15, 15/0, 6, 1, 6, 0.290
16, 45/metal, 1, 6, 6, 0.279
17, 15/0, 3, gt, gt, 0.283
18, 0/0, gt, 3, gt, 0.254
19, 45/metal, 6, 3, 6, 0.268
20, 15/0, gt, 1, gt, 0.280
21, 30/metal, 1, 6, 6, 0.309
22, 45/0, 6, 1, 6, 0.297
23, 30/0, 6, 3, 6, 0.290
24, 45/0, 6, 1, 6, 0.348
25, 45/metal, 1, 6, 6, 0.271
26, 0/metal, gt, 3, gt, 0.357
27, 15/metal, gt, 6, gt, 0.335
28, 0/0, 1, 3, 3, 0.343
29, 30/metal, 3, 1, 3, 0.254
30, 15/0, 3, 1, 3, 0.327
31, 30/0, 6, gt, gt, 0.310
32, 45/0, 3, 1, 3, 0.381
33, 0/0, 3, gt, gt, 0.335
34, 45/0, 3, 6, 3, 0.390
35, 0/metal, 1, 6, 6, 0.302
36, 45/0, 3, 6, 3, 0.264
37, 15/0, 1, gt, gt, 0.366
38, 0/metal, 3, 6, 6, 0.366
39, 15/metal, 1, 6, 6, 0.402
40, 0/metal, gt, 1, gt, 0.362
41, 0/0, 6, 1, 6, 0.383
42, 30/metal, 1, gt, gt, 0.315
43, 30/0, 1, 6, 6, 0.351
44, 45/0, gt, 3, gt, 0.518
45, 45/metal, gt, 1, gt, 0.335
46, 30/0, 1, gt, gt, 0.368
47, 0/metal, 1, gt, gt, 0.325
48, 15/0, gt, 6, 6, 0.314
49, 30/metal, 6, 1, 6, 0.305
50, 15/metal, 6, 3, 6, 0.323
51, 30/metal, 3, 1, 3, 0.505
52, 0/0, gt, 1, gt, 0.255
53, 45/0, gt, 3, gt, 0.328
54, 45/0, 3, 1, 3, 0.287
55, 0/0, 6, 3, 3, 0.287
56, 30/metal, 3, 6, 6, 0.313
57, 15/metal, 3, gt, gt, 0.315
58, 30/0, 3, 1, 3, 0.308
59, 15/0, 1, 3, 3, 0.346
60, 15/0, 6, 3, 3, 0.761
61, 30/metal, gt, 1, gt, 0.289
62, 45/0, gt, 6, gt, 0.350
63, 0/metal, 3, 1, 3, 0.312
64, 0/metal, 3, 6, 6, 0.318
65, 0/0, 1, 6, 6, 0.348
66, 15/metal, 1, 3, 3, 0.544
67, 0/metal, gt, 6, gt, 0.380
68, 0/0, 1, 3, 3, 0.393
69, 0/metal, 6, 1, 6, 0.344
70, 45/metal, 1, 3, 3, 0.347
71, 45/metal, gt, 6, gt, 0.325
72, 45/metal, 3, 1, 3, 0.284
73, 0/0, gt, 1, gt, 0.476
74, 30/0, 3, gt, gt, 0.458
75, 30/0, 6, 3, 3, 0.264
76, 30/metal, gt, 3, gt, 0.491
77, 30/metal, gt, 6, gt, 0.290
78, 0/0, 3, 6, 3, 0.414
79, 45/metal, gt, 1, gt, 0.340
80, 30/0, 6, gt, 6, 0.749
81, 15/metal, 3, 1, 1, 0.284
82, 0/metal, 3, gt, 3, 0.296
83, 30/0, 1, 6, 6, 0.281
84, 15/metal, 3, 6, 6, 0.329
85, 45/metal, 6, 3, 6, 0.264
86, 0/0, 6, gt, gt, 0.394
87, 30/0, 1, gt, gt, 0.255
88, 30/0, gt, 3, gt, 0.264
89, 15/metal, 1, gt, gt, 0.291
90, 0/metal, 3, 1, 3, 0.251
91, 45/metal, gt, 3, gt, 0.247
92, 45/metal, gt, 6, gt, 0.232
93, 0/0, 6, gt, gt, 0.276
94, 45/metal, gt, 3, gt, 0.320
95, 15/0, 3, gt, 3, 0.328
=== 数据记录结束于 2025-12-25 15:59:09 ===
