=== 数据记录开始于 2025-12-29 16:10:35 ===
=== 数据记录开始于 2025/12/29 16:10:35 ===
Timestamp: 2025/12/29 16:10:35
Experimenter: 李翔睿
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 45/metal, 3, 1, 1, 5.815
1, 15/metal, 6, 3, 3, 9.582
2, 15/0, 3, 1, 1, 0.857
3, 0/metal, gt, 6, gt, 0.467
4, 30/metal, 6, 3, 3, 2.519
5, 0/0, 3, gt, 3, 0.833
6, 15/metal, 6, 1, 6, 2.108
7, 30/0, 6, gt, gt, 0.465
8, 45/0, 6, 1, 6, 1.138
9, 15/metal, 6, gt, gt, 1.466
10, 0/0, 1, 3, 1, 0.864
11, 0/metal, 1, 6, 1, 3.700
12, 0/metal, gt, 1, gt, 1.050
13, 15/0, 6, 1, 6, 1.185
14, 15/metal, 3, 1, 1, 0.543
15, 45/metal, gt, 6, gt, 2.460
16, 30/metal, gt, 6, gt, 0.784
17, 0/metal, 6, 1, 6, 0.452
18, 45/metal, 1, 3, 3, 1.720
19, 15/0, gt, 1, gt, 0.706
20, 15/0, 6, gt, gt, 2.898
21, 15/0, 1, 3, 3, 0.918
22, 0/metal, 1, 3, 1, 1.266
23, 30/metal, 1, 3, 1, 1.392
24, 0/0, gt, 1, gt, 0.458
25, 45/metal, 3, 6, 3, 0.406
26, 30/0, 3, 6, 6, 1.201
27, 15/metal, 1, 3, 1, 2.582
28, 45/metal, 6, 1, 1, 1.414
29, 15/metal, gt, 3, gt, 0.791
30, 45/0, gt, 1, gt, 0.355
31, 15/0, gt, 3, gt, 2.506
32, 30/metal, gt, 1, gt, 0.366
33, 0/0, 6, 3, 6, 0.706
34, 45/metal, 6, 3, 3, 0.545
35, 30/0, 1, 6, 6, 5.547
36, 15/metal, 1, 6, 6, 1.747
37, 30/0, gt, 1, gt, 44.741
38, 30/0, 1, gt, 1, 0.678
39, 30/metal, 3, 6, 3, 0.627
40, 45/0, 6, 3, 6, 0.926
41, 45/0, 3, gt, 3, 0.434
42, 30/metal, 3, 1, 3, 0.466
43, 45/0, 3, gt, 3, 0.534
44, 30/metal, 6, gt, gt, 0.574
45, 15/0, 6, 3, 6, 0.470
46, 0/0, 6, gt, 6, 0.783
47, 0/metal, 3, gt, gt, 0.915
48, 15/0, gt, 6, gt, 0.470
49, 45/0, 3, 1, 1, 1.743
50, 45/0, 6, 1, 6, 0.502
51, 30/metal, gt, 3, gt, 0.382
52, 0/0, gt, 6, 6, 0.465
53, 0/0, 3, gt, gt, 0.444
54, 0/metal, 1, 3, 1, 1.338
55, 15/metal, 3, 6, 3, 1.306
56, 0/0, 3, 1, 3, 0.683
57, 45/0, 6, gt, gt, 1.371
58, 30/metal, gt, 3, gt, 0.359
59, 30/metal, gt, 1, gt, 0.982
60, 45/metal, gt, 1, gt, 0.409
61, 0/metal, gt, 1, gt, 0.364
62, 0/0, 6, 1, 6, 0.354
63, 15/metal, 1, gt, gt, 0.422
64, 30/0, 6, gt, gt, 0.544
65, 30/0, 3, 1, 1, 0.372
66, 0/0, 3, 6, 3, 0.569
67, 30/metal, 1, 6, 1, 0.441
68, 30/0, 3, 1, 1, 3.171
69, 30/metal, 1, 6, 1, 0.522
70, 0/metal, gt, 6, gt, 0.774
71, 0/metal, 3, gt, gt, 0.371
72, 45/0, 1, gt, gt, 0.541
73, 15/metal, 3, gt, gt, 0.714
74, 45/metal, 1, 6, 1, 0.627
75, 0/0, gt, 1, gt, 0.544
76, 15/metal, gt, 6, gt, 0.388
77, 30/0, 3, 6, 3, 2.063
78, 15/metal, 1, gt, gt, 0.990
79, 45/metal, 3, gt, gt, 0.368
80, 0/metal, 6, 3, 3, 0.859
81, 45/metal, gt, 6, gt, 0.436
82, 30/0, gt, 3, gt, 0.747
83, 15/0, 6, 1, 1, 4.048
84, 15/0, 1, gt, gt, 0.760
85, 45/0, 6, gt, 6, 1.502
86, 45/0, 3, 1, 3, 0.596
87, 45/0, 6, 3, 6, 0.505
88, 15/0, 3, gt, gt, 2.308
89, 15/0, 6, 3, 6, 1.108
90, 45/metal, gt, 3, gt, 0.574
91, 0/0, 1, 6, 1, 0.427
92, 30/0, 3, gt, gt, 1.124
93, 0/metal, 3, 6, 3, 3.753
94, 30/0, 1, 6, 6, 0.612
95, 45/metal, gt, 1, gt, 1.659
=== 数据记录结束于 2025/12/29 16:24:24 ===
=== 数据记录结束于 2025-12-29 16:24:24 ===
