=== 数据记录开始于 2025-12-26 20:24:54 ===
=== 数据记录开始于 2025/12/26 20:24:54 ===
Timestamp: 2025/12/26 20:24:54
Experimenter: 童楚炎
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 30/metal, gt, 3, gt, 0.620
1, 0/0, 1, 3, 3, 0.466
2, 30/0, 6, 3, 6, 0.733
3, 30/0, gt, 6, gt, 0.666
4, 0/metal, 6, 3, 6, 0.306
5, 15/metal, gt, 3, gt, 0.492
6, 30/metal, 1, 6, 6, 0.364
7, 15/metal, 1, gt, gt, 0.355
8, 15/0, 1, 6, 6, 0.837
9, 0/metal, 6, 1, 6, 0.948
10, 45/metal, 1, gt, gt, 0.363
11, 15/0, gt, 1, gt, 0.394
12, 30/metal, gt, 1, gt, 0.617
13, 45/metal, 1, 6, 1, 0.531
14, 45/metal, 6, 3, 6, 0.301
15, 0/metal, 3, gt, gt, 0.399
16, 45/metal, 1, 6, 6, 0.368
17, 45/metal, gt, 1, gt, 0.334
18, 0/metal, 6, gt, gt, 0.294
19, 30/0, 3, 1, 3, 0.273
20, 30/0, gt, 1, gt, 0.267
21, 30/metal, gt, 6, gt, 0.303
22, 0/0, gt, 3, 3, 0.474
23, 45/metal, 3, 1, 3, 0.375
24, 45/0, 1, 6, 6, 0.273
25, 15/metal, gt, 1, gt, 0.402
26, 30/0, 3, gt, gt, 0.306
27, 45/0, 6, 3, 3, 0.582
28, 0/0, 1, 6, 6, 0.494
29, 45/metal, gt, 6, gt, 0.352
30, 0/metal, 1, gt, gt, 0.485
31, 0/0, 6, gt, 6, 0.318
32, 15/metal, 1, 6, 6, 0.546
33, 0/metal, 6, gt, gt, 0.297
34, 30/metal, 1, 3, 3, 0.304
35, 30/0, 3, 1, 3, 1.052
36, 30/metal, 3, gt, gt, 0.314
37, 0/metal, 1, 3, 1, 0.277
38, 0/metal, 3, gt, gt, 0.337
39, 45/0, 3, gt, gt, 0.504
40, 30/metal, 1, 6, 6, 0.460
41, 0/0, 6, 3, 6, 0.555
42, 15/0, 6, 1, 6, 0.477
43, 15/0, gt, 6, 6, 0.350
44, 30/metal, 6, gt, gt, 0.446
45, 15/0, 3, 1, 1, 2.730
46, 15/metal, 6, gt, gt, 0.898
47, 45/metal, gt, 6, gt, 0.410
48, 15/metal, 1, 3, 3, 0.495
49, 0/metal, gt, 1, gt, 0.332
50, 45/0, 3, 6, 6, 0.466
51, 0/0, gt, 3, gt, 0.709
52, 30/metal, 6, 3, 6, 1.743
53, 30/metal, 6, 3, 3, 0.522
54, 0/0, 1, 6, 6, 0.330
55, 45/0, 1, gt, gt, 0.305
56, 30/0, gt, 3, gt, 0.311
57, 45/0, 6, gt, gt, 0.384
58, 30/0, 1, 6, 6, 0.312
59, 15/0, gt, 3, gt, 0.783
60, 30/0, 6, 1, 1, 0.467
61, 15/metal, 3, 6, 6, 0.525
62, 0/metal, 6, 3, 6, 0.400
63, 0/0, 1, gt, gt, 0.326
64, 30/0, 6, 3, 3, 0.328
65, 0/metal, 3, 1, 3, 0.348
66, 30/0, gt, 6, gt, 0.258
67, 0/0, 6, 3, 6, 0.334
68, 45/metal, 3, gt, gt, 0.266
69, 45/0, 1, 3, 3, 0.314
70, 45/0, 1, 6, 6, 0.572
71, 0/metal, 6, 1, 6, 0.338
72, 0/0, 1, gt, gt, 0.266
73, 45/0, gt, 6, gt, 0.558
74, 45/0, 1, gt, gt, 0.286
75, 45/metal, 3, gt, gt, 0.243
76, 30/metal, gt, 1, gt, 0.259
77, 15/metal, 3, 6, 6, 0.338
78, 45/metal, 3, 6, 3, 0.558
79, 45/0, gt, 3, gt, 0.288
80, 15/metal, 1, 3, 3, 0.358
81, 45/0, 3, 1, 3, 0.303
82, 15/0, 6, gt, gt, 0.257
83, 15/metal, 1, 6, 6, 1.279
84, 15/0, 3, gt, gt, 0.293
85, 15/0, 1, 3, 3, 0.236
86, 15/metal, 3, gt, gt, 0.308
87, 0/0, 3, 1, 3, 0.317
88, 15/0, 6, 3, 6, 0.399
89, 15/metal, 6, gt, gt, 0.269
90, 0/0, 6, gt, gt, 1.145
91, 30/metal, 3, 1, 3, 0.288
92, 45/metal, 1, 3, 3, 0.370
93, 15/0, 6, 3, 3, 0.334
94, 30/0, 1, gt, gt, 0.356
95, 15/0, 1, gt, gt, 0.425
=== 数据记录结束于 2025/12/26 20:35:59 ===
=== 数据记录结束于 2025-12-26 20:35:59 ===
