=== 数据记录开始于 2025-12-25 14:21:18 ===
Timestamp: 2025/12/25 14:21:18
Experimenter: 童楚炎
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice
0, 0/metal, 6, gt, gt, 11.640
1, 0/metal, gt, 1, gt, 0.818
2, 45/metal, 3, 1, 3, 6.178
3, 0/0, 6, 3, 6, 0.581
4, 30/0, 1, 6, 6, 0.493
5, 45/0, 6, gt, gt, 0.555
6, 30/metal, 3, 6, 6, 1.301
7, 30/0, 6, 3, 6, 0.872
8, 0/metal, 3, 6, 3, 0.611
9, 30/metal, 1, 6, 1, 0.471
10, 0/metal, 3, gt, gt, 0.710
11, 45/0, gt, 3, gt, 0.557
12, 0/metal, 3, gt, gt, 0.570
13, 30/0, 3, 6, 6, 0.404
14, 15/metal, 3, 1, 3, 0.592
15, 30/metal, 6, gt, gt, 0.521
16, 0/0, gt, 1, gt, 1.177
17, 15/metal, 3, 6, 6, 0.679
18, 0/0, 6, 1, 6, 0.425
19, 0/0, 6, 1, 6, 0.551
20, 15/metal, 3, gt, gt, 0.445
21, 30/metal, 1, gt, gt, 0.510
22, 45/0, 6, 3, 6, 1.231
23, 15/metal, 6, gt, gt, 0.452
24, 15/metal, 1, 6, 6, 0.422
25, 15/metal, gt, 1, gt, 0.453
26, 15/metal, gt, 6, gt, 0.396
27, 45/metal, gt, 1, gt, 0.388
28, 15/0, 3, 1, 3, 0.384
29, 15/metal, gt, 1, gt, 0.397
30, 15/0, gt, 3, gt, 0.560
31, 30/metal, 1, 3, 3, 0.387
32, 0/0, 3, 1, 3, 0.517
33, 15/0, gt, 6, 6, 0.653
34, 45/0, gt, 3, gt, 0.435
35, 15/0, 3, 6, 6, 0.269
36, 15/metal, 3, 1, 3, 0.365
37, 30/0, 1, 3, 1, 0.359
38, 45/metal, 6, 3, 6, 0.263
39, 45/metal, 6, gt, gt, 0.430
40, 30/metal, 6, gt, gt, 0.290
41, 0/0, 3, gt, gt, 0.356
42, 0/metal, 1, gt, gt, 0.326
43, 30/metal, 1, gt, gt, 0.309
44, 15/metal, gt, 3, gt, 0.262
45, 0/metal, 6, gt, gt, 0.451
46, 45/metal, gt, 3, gt, 0.297
47, 15/0, 1, 6, 6, 0.267
48, 30/0, 6, gt, gt, 0.276
49, 0/0, 1, gt, gt, 0.308
50, 15/0, 1, 3, 3, 0.324
51, 30/metal, 1, 3, 3, 0.366
52, 15/0, gt, 1, gt, 0.284
53, 45/0, gt, 1, gt, 0.507
54, 45/0, 1, 6, 6, 0.264
55, 0/metal, 1, 3, 1, 0.332
56, 30/0, gt, 3, gt, 0.291
57, 0/metal, 6, 3, 6, 0.313
58, 0/0, 6, gt, gt, 0.260
59, 45/metal, 6, 1, 6, 0.426
60, 0/metal, 1, 6, 6, 0.334
61, 30/0, 1, gt, gt, 0.357
62, 30/metal, 6, 3, 3, 0.889
63, 45/0, gt, 1, gt, 0.277
64, 0/metal, 1, 3, 3, 0.328
65, 45/metal, 1, 6, 6, 0.474
66, 15/metal, 6, 1, 6, 0.588
67, 0/0, gt, 6, 6, 0.367
68, 0/0, 1, 3, 3, 0.566
69, 45/0, 6, 1, 6, 0.273
70, 45/0, 6, 3, 6, 0.461
71, 15/0, 1, gt, gt, 0.293
72, 15/metal, 3, 6, 6, 0.265
73, 45/0, 1, 3, 3, 0.387
74, 30/0, 6, 1, 6, 0.304
75, 30/0, 3, 1, 3, 0.295
76, 0/0, 3, gt, gt, 0.287
77, 30/0, gt, 1, gt, 0.373
78, 45/metal, 6, 3, 3, 0.401
79, 45/metal, gt, 1, gt, 0.261
80, 45/0, 6, gt, gt, 0.376
81, 30/metal, 3, gt, gt, 0.401
82, 45/metal, 1, 3, 3, 2.838
83, 15/0, gt, 3, gt, 0.454
84, 15/0, 6, 1, 6, 0.391
85, 30/metal, gt, 3, gt, 0.405
86, 45/0, 1, 3, 3, 0.437
87, 30/0, 3, gt, gt, 0.291
88, 15/0, 3, 6, 6, 0.252
89, 30/0, gt, 6, gt, 0.381
90, 45/metal, gt, 6, gt, 0.484
91, 30/metal, 1, 6, 6, 0.353
92, 45/metal, gt, 3, gt, 0.248
93, 15/0, gt, 6, 6, 0.535
94, 0/0, 3, 6, 6, 0.267
95, 0/metal, 6, 1, 6, 0.234
=== 数据记录结束于 2025-12-25 14:35:03 ===
