=== 数据记录开始于 2025-12-26 20:48:13 ===
=== 数据记录开始于 2025/12/26 20:48:13 ===
Timestamp: 2025/12/26 20:48:13
Experimenter: 董清泰
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, 0/metal, 3, 1, 3, 1.022
1, 30/0, 3, 1, 1, 1.351
2, 15/0, gt, 6, 6, 1.107
3, 15/0, gt, 3, gt, 0.372
4, 45/0, 6, 3, 3, 0.359
5, 0/metal, 6, 1, 6, 0.449
6, 0/0, gt, 6, 6, 0.430
7, 0/metal, gt, 3, gt, 1.346
8, 15/metal, 1, gt, gt, 0.498
9, 0/metal, 3, 6, 6, 0.396
10, 30/metal, 1, 3, 3, 0.429
11, 45/metal, gt, 1, gt, 0.425
12, 45/0, 1, gt, gt, 0.660
13, 45/0, 6, gt, gt, 0.591
14, 45/0, gt, 6, 6, 0.780
15, 30/0, 3, 6, 3, 0.357
16, 45/0, 3, 1, 1, 0.454
17, 0/metal, 6, gt, gt, 0.331
18, 15/metal, 3, gt, gt, 0.466
19, 15/0, 6, gt, gt, 0.709
20, 30/metal, gt, 1, gt, 0.310
21, 0/0, 6, 3, 6, 0.381
22, 15/0, 3, 6, 6, 0.349
23, 45/0, 1, 6, 6, 0.370
24, 15/metal, 1, 6, 6, 0.415
25, 0/0, 6, gt, gt, 0.394
26, 30/metal, 3, gt, gt, 0.339
27, 30/metal, gt, 6, 6, 0.415
28, 0/0, 1, 3, 3, 0.286
29, 0/0, 3, 1, 1, 0.712
30, 45/metal, gt, 6, 6, 0.414
31, 30/0, gt, 3, 3, 0.986
32, 0/metal, 6, 3, 6, 1.196
33, 45/metal, 6, 3, 3, 0.832
34, 15/metal, gt, 1, gt, 0.467
35, 15/0, 6, 1, 1, 1.975
36, 15/metal, 1, 3, 3, 2.061
37, 0/metal, 1, gt, gt, 0.640
38, 15/metal, 6, gt, gt, 1.123
39, 30/metal, 1, 6, 6, 0.548
40, 0/metal, 6, gt, gt, 0.468
41, 0/metal, gt, 1, gt, 0.453
42, 15/metal, 6, 3, 6, 1.180
43, 0/0, 6, 1, 1, 0.857
44, 30/0, 3, 6, 6, 0.319
45, 15/0, 1, 3, 3, 0.352
46, 0/metal, 1, 6, 6, 0.293
47, 0/0, gt, 3, 3, 0.481
48, 45/0, gt, 1, 1, 0.330
49, 0/0, 6, 3, 3, 0.282
50, 30/metal, 6, 3, 6, 0.492
51, 45/metal, 1, 6, 6, 0.404
52, 45/0, 1, 6, 6, 0.935
53, 0/metal, 3, 1, 3, 0.918
54, 45/0, 3, 6, 6, 0.667
55, 45/metal, 3, 1, 3, 0.721
56, 15/metal, gt, 6, gt, 0.255
57, 30/0, 3, 1, 1, 0.939
58, 30/0, 6, 1, 1, 0.763
59, 30/0, 6, gt, gt, 0.389
60, 45/0, gt, 3, gt, 0.334
61, 30/metal, 3, gt, gt, 0.463
62, 30/metal, 6, 1, 6, 0.302
63, 0/0, gt, 1, gt, 0.454
64, 15/metal, 3, gt, gt, 0.276
65, 30/metal, 1, gt, gt, 0.347
66, 45/metal, 3, gt, gt, 0.320
67, 45/0, 3, gt, gt, 0.246
68, 45/metal, 1, gt, gt, 0.258
69, 30/metal, 3, 6, 6, 0.683
70, 0/0, 6, 1, 6, 0.464
71, 15/metal, 6, 3, 6, 0.396
72, 15/metal, 6, 1, 6, 0.468
73, 45/metal, 6, gt, gt, 0.757
74, 30/0, 1, gt, 1, 0.246
75, 0/0, 3, gt, gt, 0.866
76, 45/metal, 3, 1, 1, 0.448
77, 45/0, 3, 1, 3, 0.421
78, 30/metal, gt, 6, gt, 0.457
79, 30/0, 6, gt, gt, 0.268
80, 15/0, 1, 3, 3, 0.740
81, 45/metal, 3, gt, 3, 0.397
82, 30/0, gt, 3, 3, 0.714
83, 0/metal, gt, 3, gt, 0.579
84, 0/0, gt, 1, 1, 0.646
85, 15/0, gt, 1, 1, 0.980
86, 45/metal, 1, 6, 6, 0.430
87, 30/metal, 3, 1, 1, 0.458
88, 45/metal, 6, 3, 3, 0.354
89, 15/0, 6, 1, 1, 0.951
90, 15/0, gt, 3, 3, 0.560
91, 15/metal, 1, 3, 3, 0.379
92, 30/0, 1, gt, gt, 0.752
93, 15/0, 3, 6, 6, 0.579
94, 30/0, 6, 1, 1, 0.514
95, 15/0, gt, 1, gt, 0.357
=== 数据记录结束于 2025/12/26 20:59:04 ===
=== 数据记录结束于 2025-12-26 20:59:04 ===
