=== 数据记录开始于 2025-12-25 14:40:01 ===
Timestamp: 2025/12/25 14:40:01
Experimenter: 董清泰
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice
0, 15/metal, 3, gt, gt, 1.364
1, 0/0, 3, 1, 1, 1.573
2, 30/metal, 3, gt, gt, 1.350
3, 45/0, 3, gt, gt, 0.606
4, 15/0, gt, 1, gt, 0.632
5, 0/metal, 3, gt, gt, 0.499
6, 15/metal, 3, gt, gt, 0.469
7, 0/0, gt, 1, gt, 0.357
8, 0/metal, 3, gt, gt, 0.382
9, 45/metal, 1, 6, 6, 0.423
10, 0/0, 3, 1, 3, 0.430
11, 15/metal, 1, 3, 3, 0.324
12, 0/metal, 6, gt, gt, 0.432
13, 15/0, gt, 1, gt, 0.546
14, 45/metal, 6, 1, 6, 0.440
15, 45/metal, gt, 1, gt, 0.572
16, 15/0, 3, gt, gt, 0.371
17, 30/metal, 3, 1, 3, 0.428
18, 15/metal, 1, 3, 3, 0.497
19, 30/0, 1, gt, gt, 0.544
20, 0/0, 3, 6, 6, 0.400
21, 15/metal, 3, 6, 6, 0.541
22, 45/metal, gt, 1, gt, 0.563
23, 0/metal, 3, 6, 6, 0.259
24, 30/metal, gt, 6, gt, 0.576
25, 30/0, 1, 6, 6, 0.338
26, 15/metal, 3, 6, 6, 0.727
27, 30/metal, 1, 3, 3, 0.518
28, 45/metal, 6, gt, gt, 0.975
29, 45/0, 1, gt, gt, 1.107
30, 45/metal, 3, gt, gt, 1.105
31, 30/0, 3, 6, 6, 0.636
32, 30/0, 1, 3, 3, 0.827
33, 45/metal, 3, 6, 6, 0.416
34, 15/0, 6, 1, 6, 0.491
35, 15/0, 6, 3, 6, 0.283
36, 15/0, 1, 6, 6, 0.424
37, 45/metal, 1, 3, 3, 0.440
38, 15/metal, gt, 6, gt, 0.390
39, 30/0, 6, 1, 6, 0.853
40, 30/0, 3, 6, 6, 0.398
41, 45/metal, 3, 6, 6, 0.688
42, 30/metal, gt, 6, gt, 0.284
43, 30/metal, gt, 1, gt, 0.424
44, 45/metal, 3, gt, gt, 0.880
45, 45/0, 1, 6, 6, 0.579
46, 0/metal, 6, 1, 6, 0.508
47, 0/0, gt, 1, gt, 0.490
48, 45/0, 1, 3, 3, 1.140
49, 30/metal, 6, 3, 6, 1.349
50, 0/0, 6, gt, 6, 0.471
51, 15/metal, 6, 1, 6, 0.369
52, 15/0, 1, 3, 3, 0.831
53, 30/0, gt, 6, 6, 0.701
54, 45/0, 3, 6, 6, 0.342
55, 15/metal, gt, 6, gt, 0.621
56, 45/0, 6, gt, gt, 0.797
57, 0/0, 6, 1, 6, 0.628
58, 0/0, 3, gt, gt, 0.584
59, 15/0, 6, 3, 3, 0.270
60, 30/0, 6, gt, gt, 0.400
61, 15/0, gt, 6, gt, 0.704
62, 15/metal, gt, 1, gt, 0.908
63, 0/metal, 3, 1, 3, 1.064
64, 15/0, 3, gt, gt, 0.326
65, 45/0, 6, 1, 6, 0.269
66, 45/metal, 1, 3, 3, 0.255
67, 30/0, 1, 3, 3, 0.322
68, 0/metal, 1, gt, gt, 0.925
69, 30/metal, 1, gt, gt, 3.439
70, 45/0, gt, 6, 6, 0.848
71, 45/0, 3, 6, 6, 0.377
72, 15/0, gt, 6, 6, 0.454
73, 0/metal, gt, 1, gt, 0.309
74, 0/metal, 6, gt, gt, 0.305
75, 0/0, 3, gt, gt, 0.233
76, 15/0, 1, 3, 3, 0.239
77, 30/0, gt, 3, gt, 0.280
78, 0/0, 6, gt, gt, 0.360
79, 30/metal, 6, 3, 6, 0.348
80, 45/0, 3, gt, gt, 0.688
81, 0/0, 3, 6, 6, 0.272
82, 45/0, 1, gt, gt, 0.339
83, 0/metal, 1, 6, 6, 0.413
84, 45/metal, 6, gt, gt, 0.319
85, 30/0, 1, gt, gt, 0.402
86, 30/0, 3, gt, gt, 0.230
87, 45/0, 1, 3, 3, 0.444
88, 0/0, 6, 1, 6, 0.386
89, 15/metal, gt, 1, gt, 0.684
90, 15/metal, 1, 6, 6, 0.430
91, 30/metal, gt, 3, gt, 0.298
92, 30/metal, 6, 1, 6, 0.471
93, 0/metal, 3, 1, 3, 0.367
94, 30/metal, 1, 6, 6, 0.342
95, 0/metal, 3, 6, 6, 0.396
=== 数据记录结束于 2025-12-25 14:52:47 ===
