===== 分材质汇总矩阵 =====
--- 材质: 0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,50,41,47
3,46,-,46,44
6,55,50,-,50
gt,49,52,46,-

--- 材质: metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,26,29,19
3,70,-,39,33
6,67,57,-,29
gt,77,63,67,-

,===== 分FOV汇总矩阵 =====
--- FOV: 0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,15,9,11
3,33,-,17,20
6,39,31,-,27
gt,37,28,21,-

--- FOV: 15 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,20,22,24
3,28,-,23,22
6,26,25,-,18
gt,24,26,30,-

--- FOV: 30 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,22,19,16
3,26,-,23,15
6,29,25,-,18
gt,32,33,30,-

--- FOV: 45 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,19,20,15
3,29,-,22,20
6,28,26,-,16
gt,33,28,32,-

,===== 交叉维度详细矩阵 =====
--- FOV_材质: 0_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,10,5,7
3,14,-,8,11
6,19,16,-,17
gt,17,13,7,-

--- FOV_材质: 0_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,5,4,4
3,19,-,9,9
6,20,15,-,10
gt,20,15,14,-

--- FOV_材质: 15_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,13,12,18
3,11,-,15,15
6,12,9,-,11
gt,6,9,13,-

--- FOV_材质: 15_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,7,10,6
3,17,-,8,7
6,14,16,-,7
gt,18,17,17,-

--- FOV_材质: 30_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,14,11,12
3,10,-,11,10
6,13,13,-,12
gt,12,14,12,-

--- FOV_材质: 30_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,8,8,4
3,16,-,12,5
6,16,12,-,6
gt,20,19,18,-

--- FOV_材质: 45_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,13,13,10
3,11,-,12,8
6,11,12,-,10
gt,14,16,14,-

--- FOV_材质: 45_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,6,7,5
3,18,-,10,12
6,17,14,-,6
gt,19,12,18,-

