===== 分材质汇总矩阵 =====
--- 材质: 0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,3,1,2
3,5,-,2,0
6,7,6,-,6
gt,6,8,2,-

--- 材质: metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,3,2
3,7,-,5,5
6,5,3,-,2
gt,6,3,6,-

,===== 分FOV汇总矩阵 =====
--- FOV: 0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,0,0
3,3,-,0,2
6,4,4,-,3
gt,4,2,1,-

--- FOV: 15 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,2,2
3,3,-,2,1
6,2,2,-,3
gt,2,3,1,-

--- FOV: 30 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,1,2
3,4,-,2,1
6,3,2,-,1
gt,2,3,3,-

--- FOV: 45 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,2,1,0
3,2,-,3,1
6,3,1,-,1
gt,4,3,3,-

,===== 交叉维度详细矩阵 =====
--- FOV_材质: 0_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,0,0
3,1,-,0,0
6,2,2,-,2
gt,2,2,0,-

--- FOV_材质: 0_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,0
3,2,-,0,2
6,2,2,-,1
gt,2,0,1,-

--- FOV_材质: 15_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,1,1
3,2,-,1,0
6,1,1,-,2
gt,1,2,0,-

--- FOV_材质: 15_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,1,1
3,1,-,1,1
6,1,1,-,1
gt,1,1,1,-

--- FOV_材质: 30_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,1
3,2,-,0,0
6,2,2,-,1
gt,1,2,1,-

--- FOV_材质: 30_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,1,1
3,2,-,2,1
6,1,0,-,0
gt,1,1,2,-

--- FOV_材质: 45_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,2,0,0
3,0,-,1,0
6,2,1,-,1
gt,2,2,1,-

--- FOV_材质: 45_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,1,0
3,2,-,2,1
6,1,0,-,0
gt,2,1,2,-

