===== 分材质汇总矩阵 =====
--- 材质: 0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,3,6,8
3,5,-,5,8
6,2,3,-,7
gt,0,0,1,-

--- 材质: metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,4,7
3,7,-,6,7
6,4,2,-,8
gt,1,1,0,-

,===== 分FOV汇总矩阵 =====
--- FOV: 0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,3
3,4,-,3,4
6,4,1,-,4
gt,1,0,0,-

--- FOV: 15 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,2,4
3,3,-,1,4
6,2,3,-,4
gt,0,0,0,-

--- FOV: 30 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,4,4
3,3,-,3,4
6,0,1,-,3
gt,0,0,1,-

--- FOV: 45 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,2,4,4
3,2,-,4,3
6,0,0,-,4
gt,0,1,0,-

,===== 交叉维度详细矩阵 =====
--- FOV_材质: 0_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,2
3,2,-,2,2
6,2,0,-,2
gt,0,0,0,-

--- FOV_材质: 0_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,1
3,2,-,1,2
6,2,1,-,2
gt,1,0,0,-

--- FOV_材质: 15_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,2,2
3,1,-,0,2
6,0,2,-,2
gt,0,0,0,-

--- FOV_材质: 15_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,2
3,2,-,1,2
6,2,1,-,2
gt,0,0,0,-

--- FOV_材质: 30_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,2,2
3,1,-,1,2
6,0,1,-,1
gt,0,0,1,-

--- FOV_材质: 30_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,2,2
3,2,-,2,2
6,0,0,-,2
gt,0,0,0,-

--- FOV_材质: 45_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,2,2
3,1,-,2,2
6,0,0,-,2
gt,0,0,0,-

--- FOV_材质: 45_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,2,2
3,1,-,2,1
6,0,0,-,2
gt,0,1,0,-

