===== 分材质汇总矩阵 =====
--- 材质: 0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,5,6,8
3,3,-,7,7
6,2,1,-,5
gt,0,1,3,-

--- 材质: metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,5,6,5
3,3,-,6,8
6,2,2,-,8
gt,3,0,0,-

,===== 分FOV汇总矩阵 =====
--- FOV: 0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,2,3,3
3,2,-,4,4
6,1,0,-,3
gt,1,0,1,-

--- FOV: 15 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,2,3,4
3,2,-,3,3
6,1,1,-,3
gt,0,1,1,-

--- FOV: 30 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,2,3,3
3,2,-,3,4
6,1,1,-,3
gt,1,0,1,-

--- FOV: 45 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,4,3,3
3,0,-,3,4
6,1,1,-,4
gt,1,0,0,-

,===== 交叉维度详细矩阵 =====
--- FOV_材质: 0_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,2,1,2
3,0,-,2,2
6,1,0,-,1
gt,0,0,1,-

--- FOV_材质: 0_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,2,1
3,2,-,2,2
6,0,0,-,2
gt,1,0,0,-

--- FOV_材质: 15_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,2,2
3,1,-,2,1
6,0,0,-,1
gt,0,1,1,-

--- FOV_材质: 15_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,1,2
3,1,-,1,2
6,1,1,-,2
gt,0,0,0,-

--- FOV_材质: 30_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,1,2
3,2,-,2,2
6,1,0,-,1
gt,0,0,1,-

--- FOV_材质: 30_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,2,2,1
3,0,-,1,2
6,0,1,-,2
gt,1,0,0,-

--- FOV_材质: 45_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,2,2,2
3,0,-,1,2
6,0,1,-,2
gt,0,0,0,-

--- FOV_材质: 45_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,2,1,1
3,0,-,2,2
6,1,0,-,2
gt,1,0,0,-

