===== 分材质汇总矩阵 =====
--- 材质: 0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,0,0
3,7,-,1,0
6,8,7,-,4
gt,8,8,4,-

--- 材质: metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,0
3,8,-,0,0
6,8,8,-,0
gt,8,8,8,-

,===== 分FOV汇总矩阵 =====
--- FOV: 0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,0,0
3,3,-,0,0
6,4,4,-,1
gt,4,4,3,-

--- FOV: 15 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,0
3,4,-,1,0
6,4,3,-,1
gt,4,4,3,-

--- FOV: 30 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,0
3,4,-,0,0
6,4,4,-,1
gt,4,4,3,-

--- FOV: 45 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,0
3,4,-,0,0
6,4,4,-,1
gt,4,4,3,-

,===== 交叉维度详细矩阵 =====
--- FOV_材质: 0_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,1,0,0
3,1,-,0,0
6,2,2,-,1
gt,2,2,1,-

--- FOV_材质: 0_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,0
3,2,-,0,0
6,2,2,-,0
gt,2,2,2,-

--- FOV_材质: 15_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,0
3,2,-,1,0
6,2,1,-,1
gt,2,2,1,-

--- FOV_材质: 15_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,0
3,2,-,0,0
6,2,2,-,0
gt,2,2,2,-

--- FOV_材质: 30_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,0
3,2,-,0,0
6,2,2,-,1
gt,2,2,1,-

--- FOV_材质: 30_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,0
3,2,-,0,0
6,2,2,-,0
gt,2,2,2,-

--- FOV_材质: 45_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,0
3,2,-,0,0
6,2,2,-,1
gt,2,2,1,-

--- FOV_材质: 45_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,0,0,0
3,2,-,0,0
6,2,2,-,0
gt,2,2,2,-

