材质,行胜过列,model_1,model_2,model_3,model_4
roughness_0,model_1,-,8,2,2
roughness_0,model_2,22,-,6,1
roughness_0,model_3,28,24,-,10
roughness_0,model_4,28,29,20,-

roughness_0.1,model_1,-,5,2,2
roughness_0.1,model_2,25,-,5,4
roughness_0.1,model_3,28,25,-,12
roughness_0.1,model_4,28,26,18,-

roughness_0.4,model_1,-,5,3,9
roughness_0.4,model_2,25,-,11,12
roughness_0.4,model_3,27,19,-,18
roughness_0.4,model_4,21,18,12,-

roughness_1,model_1,-,7,8,8
roughness_1,model_2,23,-,10,8
roughness_1,model_3,22,20,-,17
roughness_1,model_4,22,22,13,-

metal,model_1,-,1,3,3
metal,model_2,29,-,9,8
metal,model_3,27,21,-,8
metal,model_4,27,22,22,-

