--- FOV_材质: 0_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,5,2,1
3,11,-,5,3
6,14,11,-,10
gt,15,13,6,-

--- FOV_材质: 0_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,4,1,0
3,12,-,4,2
6,15,12,-,2
gt,16,14,14,-

--- FOV_材质: 15_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,3,3,2
3,13,-,5,3
6,13,11,-,9
gt,14,13,7,-

--- FOV_材质: 15_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,3,0,0
3,13,-,3,3
6,16,13,-,2
gt,16,13,14,-

--- FOV_材质: 30_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,6,3,4
3,10,-,5,3
6,13,11,-,5
gt,12,13,11,-

--- FOV_材质: 30_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,2,3,0
3,14,-,6,2
6,13,10,-,3
gt,16,14,13,-

--- FOV_材质: 45_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,4,2,3
3,12,-,6,4
6,14,10,-,6
gt,13,12,10,-

--- FOV_材质: 45_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,2,5,1
3,14,-,6,3
6,11,10,-,4
gt,15,13,12,-
