--- FOV_材质: 0_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,10,5,7
3,14,-,8,11
6,19,16,-,17
gt,17,13,7,-

--- FOV_材质: 0_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,5,4,4
3,19,-,9,9
6,20,15,-,10
gt,20,15,14,-

--- FOV_材质: 15_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,13,12,18
3,11,-,15,15
6,12,9,-,11
gt,6,9,13,-

--- FOV_材质: 15_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,7,10,6
3,17,-,8,7
6,14,16,-,7
gt,18,17,17,-

--- FOV_材质: 30_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,14,11,12
3,10,-,11,10
6,13,13,-,12
gt,12,14,12,-

--- FOV_材质: 30_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,8,8,4
3,16,-,12,5
6,16,12,-,6
gt,20,19,18,-

--- FOV_材质: 45_0 ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,13,13,10
3,11,-,12,8
6,11,12,-,10
gt,14,16,14,-

--- FOV_材质: 45_metal ---
胜者(行) \ 败者(列),1,3,6,gt
1,-,6,7,5
3,18,-,10,12
6,17,14,-,6
gt,19,12,18,-
