=== 数据记录开始于 2025-12-31 14:00:52 ===
(-38.71, 174.97)
(-34.48, 167.25)
(-32.89, 193.16)
(7.68, -35.38)
(33.21, -93.63)
(35.93, -100.74)
(43.82, -144.10)
(-4.19, -98.75)
(-41.97, -60.83)
(-176.76, -65.96)
(-187.92, -63.80)
(49.27, -83.62)
(74.41, -109.84)
(16.29, 177.28)
(1.96, 175.03)
(3.65, 174.31)
(-3.27, 186.02)
(-7.47, 194.92)
(-12.22, 200.39)
(-3.46, 177.92)
(1.70, 184.74)
(1.00, 206.52)
(3.68, 204.02)
(4.56, 199.17)
(-1.32, 199.34)
(1.46, 196.60)
(-5.50, 194.37)
(-7.06, 194.42)
(-2.92, 197.97)
(-2.55, 198.78)
(0.68, 195.01)
(1.83, 196.43)
(7.42, 193.43)
(7.05, 190.22)
(6.97, 189.35)
(7.12, 186.56)
(6.37, 184.90)
(3.74, 181.56)
(3.94, 180.83)
(5.72, 181.89)
(5.09, 182.41)
(5.66, 184.17)
(7.20, 186.79)
(6.74, 188.09)
(6.82, 188.83)
(7.66, 190.37)
(6.25, 191.72)
(-2.23, 197.88)
(-2.49, 198.76)
(-2.85, 198.06)
(-5.83, 198.89)
(-6.29, 199.06)
(-4.71, 197.30)
(-4.25, 197.49)
(10.00, 191.25)
(6.15, 187.75)
(-2.67, 188.91)
(-7.26, 190.70)
(-6.05, 190.23)
(14.19, 193.66)
(2.24, 196.32)
(-1.30, 201.52)
(-2.67, 191.20)
(-0.59, 190.28)
(-0.38, 191.66)
(-314.19, 189.09)
(-330.10, 178.52)
(1317.00, -8269.66)
(-7.51, 155.57)
(4.22, 159.40)
(5.76, 156.98)
(259.58, 134.50)
(261.92, 125.24)
(265.80, 120.32)
(1338.48, -8329.23)
(181.52, 109.53)
(-129.28, 55.59)
(-134.62, 121.35)
(-132.52, 142.37)
(69.95, 140.82)
(93.03, 126.26)
(94.16, 126.06)
(95.14, 124.14)
(-291.14, 134.36)
(-326.99, 138.68)
(1303.84, -8358.93)
(-36.21, 123.14)
(-35.86, 132.32)
(373.45, 112.71)
(377.01, 96.91)
(381.72, 98.49)
(471.63, 95.73)
(483.78, 92.04)
(487.25, 86.46)
(1350.36, -8427.48)
(533.44, 27.65)
(484.55, 50.54)
(472.70, 77.63)
(461.59, 94.59)
(456.93, 80.69)
(171.80, 113.17)
(165.73, 115.12)
(160.52, 109.70)
(1402.00, -8649.45)
(164.08, -118.16)
(141.62, -169.81)
(1329.33, -8360.67)
(1305.95, -8170.35)
(321.28, 75.04)
(308.85, 60.78)
(303.66, 76.07)
(297.19, 90.17)
(286.04, 112.78)
(277.60, 96.24)
(1374.75, -8013.42)
(250.45, 91.61)
(155.79, 106.90)
(173.84, 97.80)
(113.60, 100.48)
(1396.25, -8218.71)
(1400.25, -8136.07)
(113.89, 189.85)
(77.20, 180.74)
(104.58, 117.96)
(139.97, 116.55)
(170.45, 144.04)
(105.80, 145.47)
(1434.43, -8399.46)
(1443.03, -8479.26)
(378.29, 66.38)
(452.44, 143.41)
(467.50, 146.81)
(1484.45, -8577.81)
(1484.75, -8555.59)
(52.90, 121.19)
(53.14, 137.07)
(52.61, 124.14)
(88.45, 129.58)
(96.28, 142.94)
(81.63, 156.47)
(90.18, 129.53)
(1502.22, -8626.87)
(1492.11, -8500.87)
