=== 数据记录开始于 2025-12-31 13:37:33 ===
(3.97, 21.02)
(13.94, 31.15)
(21.79, -32.26)
(64.93, -106.24)
(-17.21, 5.91)
(-38.99, 30.11)
(-21.62, 101.71)
(-10.53, 106.44)
(-6.68, 106.76)
(-3.68, 104.63)
(4.20, 97.66)
(3.38, 100.70)
(-2.31, 103.83)
(-4.77, 104.74)
(-5.46, 108.01)
(-19.23, 113.33)
(-28.68, 117.68)
(-28.27, 119.45)
(-27.53, 120.10)
(-27.57, 119.26)
(-26.89, 118.69)
(-25.29, 117.43)
(-23.00, 115.43)
(-19.75, 112.30)
(-16.25, 112.87)
(-13.14, 115.28)
(-12.62, 116.14)
(-11.78, 118.01)
(-12.91, 121.10)
(-13.94, 124.72)
(-12.60, 127.21)
(-25.19, 128.97)
(-25.80, 128.71)
(-22.09, 125.82)
(-18.41, 122.13)
(-17.96, 118.09)
(-17.93, 113.37)
(-12.76, 125.69)
(-10.87, 109.79)
(-10.43, 102.32)
(-10.10, 102.95)
(-7.81, 104.46)
(-14.76, 111.81)
(-22.33, 121.50)
(-23.77, 123.32)
(-21.22, 123.30)
(-14.30, 119.20)
(-11.87, 119.14)
(-17.20, 120.34)
(-15.89, 116.23)
(-12.04, 110.63)
(-10.20, 119.96)
(-15.72, 109.86)
(-16.93, 104.78)
(-15.31, 102.50)
(-12.80, 100.48)
(-7.56, 99.66)
(-5.69, 99.16)
(-3.27, 98.21)
(-2.00, 95.83)
(2.30, 92.98)
(-9.09, 96.81)
(-29.27, 99.11)
(-43.45, 94.66)
(-44.64, 90.40)
(-34.76, 99.59)
(-19.37, 106.73)
(-14.40, 112.18)
(-14.31, 115.45)
(-14.27, 118.12)
(-8.94, 118.60)
(-3.27, 116.58)
(-2.76, 114.47)
(-16.45, 113.32)
(-22.72, 112.59)
(-15.11, 112.95)
(-7.32, 112.21)
(-4.22, 110.75)
(-4.11, 110.90)
(-3.68, 111.00)
(-3.10, 110.12)
(-2.65, 109.43)
(-1.08, 109.92)
(-0.29, 109.25)
(1.38, 107.76)
(26.92, 91.24)
(35.89, 88.01)
(40.05, 86.65)
(11.47, 103.02)
(1.23, 108.62)
(-0.74, 110.53)
(-0.86, 111.48)
(0.60, 111.28)
(1.53, 111.53)
(-0.49, 112.19)
(-0.63, 111.14)
(-0.26, 109.36)
(-0.08, 104.88)
(0.44, 101.51)
(3.23, 100.10)
(5.01, 97.40)
(8.51, 97.72)
(11.35, 98.92)
(13.94, 97.28)
(26.50, 95.12)
(32.17, 95.24)
(34.22, 95.23)
(33.97, 97.21)
(36.03, 100.66)
(17.74, 102.34)
(9.12, 102.98)
(7.82, 102.77)
(6.67, 104.99)
(8.11, 102.92)
(6.18, 103.53)
(5.90, 99.30)
(8.90, 83.79)
(13.67, 76.51)
(12.93, 81.05)
(11.84, 81.40)
(11.91, 82.24)
(10.97, 82.19)
(11.03, 81.91)
(10.83, 82.28)
(9.88, 83.35)
(11.01, 84.81)
(14.88, 77.52)
(13.17, 66.52)
(12.14, 63.30)
(16.00, 73.96)
(-4.22, 79.10)
(-10.26, 80.39)
(-14.23, 80.08)
(-13.93, 82.99)
(-3.09, 96.56)
(1.64, 103.31)
(4.67, 103.83)
(0.13, 100.77)
(-11.10, 94.96)
(-18.53, 91.19)
(-19.41, 90.61)
(-18.85, 89.76)
(-17.36, 89.09)
(-15.26, 89.17)
(-15.13, 91.66)
(-13.96, 93.75)
(-13.33, 94.21)
(-14.57, 94.16)
(-13.19, 89.82)
(-11.68, 88.19)
(-10.75, 87.48)
(-10.12, 90.71)
(-9.33, 92.06)
(-2.61, 91.62)
(-0.62, 88.48)
(-2.64, 86.64)
(-4.46, 87.28)
(-6.10, 87.38)
(-9.36, 86.78)
(-9.21, 84.04)
(-8.24, 82.27)
(-4.68, 79.49)
(-2.52, 77.30)
(-2.73, 75.92)
(-1.58, 77.19)
(-0.73, 83.41)
(1.27, 86.13)
(5.52, 85.72)
(6.41, 86.44)
(6.09, 87.87)
(5.01, 87.81)
(4.06, 88.59)
(2.06, 91.49)
(3.43, 94.77)
(3.64, 98.06)
(4.15, 99.72)
(-0.32, 102.90)
(-5.47, 104.68)
(-4.95, 106.63)
(-3.79, 105.17)
(-2.93, 104.32)
(-3.45, 103.75)
(-0.66, 102.44)
(2.88, 102.33)
(2.00, 102.05)
(2.06, 103.00)
(2.57, 104.72)
(1.94, 105.71)
(2.40, 104.44)
(-0.09, 103.96)
(-5.07, 103.16)
(-2.59, 101.61)
(1.45, 104.04)
(-9.18, 115.13)
(-15.28, 121.29)
(-17.63, 123.56)
(-16.69, 124.06)
(13.59, 124.81)
(17.77, 124.93)
(13.31, 122.30)
(7.36, 118.20)
(5.64, 114.97)
(3.78, 115.49)
(-3.04, 110.31)
(-17.21, 107.95)
(-12.52, 108.25)
(-2.60, 109.71)
(2.90, 110.00)
(2.63, 109.08)
(1.08, 109.18)
(-1.18, 108.45)
(-0.27, 108.45)
(0.30, 108.67)
(3.20, 110.28)
(6.74, 111.23)
(9.30, 108.68)
(6.60, 105.47)
(4.03, 104.01)
(0.86, 102.12)
(-8.01, 101.06)
(-16.22, 96.08)
(-17.58, 91.68)
(-23.93, 85.91)
(-24.43, 79.94)
(-23.39, 76.84)
(-21.92, 72.56)
(-22.26, 71.54)
(-22.20, 76.20)
(63.92, 83.15)
(73.22, 85.51)
(-16.60, 90.78)
(-24.39, 90.15)
(-26.80, 89.55)
(-24.01, 96.58)
(-34.01, 94.92)
(-39.25, 92.25)
(-7.62, 97.37)
(5.53, 99.49)
(6.90, 95.56)
