场景,材质,行胜过列,1,3,4,6
001,粗糙度_0,1,-,3,0,0
001,粗糙度_0,3,2,-,0,0
001,粗糙度_0,4,5,5,-,0
001,粗糙度_0,6,5,5,5,-

001,粗糙度_0.1,1,-,2,1,0
001,粗糙度_0.1,3,3,-,0,0
001,粗糙度_0.1,4,4,5,-,2
001,粗糙度_0.1,6,5,5,3,-

001,粗糙度_0.4,1,-,0,0,4
001,粗糙度_0.4,3,5,-,1,2
001,粗糙度_0.4,4,5,4,-,4
001,粗糙度_0.4,6,1,3,1,-

001,粗糙度_1,1,-,2,1,1
001,粗糙度_1,3,3,-,0,2
001,粗糙度_1,4,4,5,-,4
001,粗糙度_1,6,4,3,1,-

001,metal,1,-,1,0,1
001,metal,3,4,-,1,2
001,metal,4,5,4,-,1
001,metal,6,4,3,4,-

002,粗糙度_0,1,-,3,0,0
002,粗糙度_0,3,2,-,0,0
002,粗糙度_0,4,5,5,-,1
002,粗糙度_0,6,5,5,4,-

002,粗糙度_0.1,1,-,1,1,0
002,粗糙度_0.1,3,4,-,2,0
002,粗糙度_0.1,4,4,3,-,0
002,粗糙度_0.1,6,5,5,5,-

002,粗糙度_0.4,1,-,0,0,0
002,粗糙度_0.4,3,5,-,3,2
002,粗糙度_0.4,4,5,2,-,3
002,粗糙度_0.4,6,5,3,2,-

002,粗糙度_1,1,-,2,1,1
002,粗糙度_1,3,3,-,3,2
002,粗糙度_1,4,4,2,-,4
002,粗糙度_1,6,4,3,1,-

002,metal,1,-,0,1,0
002,metal,3,5,-,0,0
002,metal,4,4,5,-,1
002,metal,6,5,5,4,-

003,粗糙度_0,1,-,0,1,0
003,粗糙度_0,3,5,-,2,1
003,粗糙度_0,4,4,3,-,2
003,粗糙度_0,6,5,4,3,-

003,粗糙度_0.1,1,-,1,0,0
003,粗糙度_0.1,3,4,-,2,1
003,粗糙度_0.1,4,5,3,-,3
003,粗糙度_0.1,6,5,4,2,-

003,粗糙度_0.4,1,-,1,0,0
003,粗糙度_0.4,3,4,-,2,1
003,粗糙度_0.4,4,5,3,-,3
003,粗糙度_0.4,6,5,4,2,-

003,粗糙度_1,1,-,0,1,0
003,粗糙度_1,3,5,-,0,1
003,粗糙度_1,4,4,5,-,2
003,粗糙度_1,6,5,4,3,-

003,metal,1,-,0,2,0
003,metal,3,5,-,3,1
003,metal,4,3,2,-,1
003,metal,6,5,4,4,-

005,粗糙度_0,1,-,0,0,1
005,粗糙度_0,3,5,-,3,0
005,粗糙度_0,4,5,2,-,3
005,粗糙度_0,6,4,5,2,-

005,粗糙度_0.1,1,-,0,0,0
005,粗糙度_0.1,3,5,-,0,2
005,粗糙度_0.1,4,5,5,-,2
005,粗糙度_0.1,6,5,3,3,-

005,粗糙度_0.4,1,-,1,0,0
005,粗糙度_0.4,3,4,-,1,1
005,粗糙度_0.4,4,5,4,-,3
005,粗糙度_0.4,6,5,4,2,-

005,粗糙度_1,1,-,2,2,1
005,粗糙度_1,3,3,-,2,1
005,粗糙度_1,4,3,3,-,2
005,粗糙度_1,6,4,4,3,-

005,metal,1,-,0,0,0
005,metal,3,5,-,1,1
005,metal,4,5,4,-,2
005,metal,6,5,4,3,-

006,粗糙度_0,1,-,1,1,0
006,粗糙度_0,3,4,-,1,0
006,粗糙度_0,4,4,4,-,2
006,粗糙度_0,6,5,5,3,-

006,粗糙度_0.1,1,-,1,0,1
006,粗糙度_0.1,3,4,-,1,0
006,粗糙度_0.1,4,5,4,-,1
006,粗糙度_0.1,6,4,5,4,-

006,粗糙度_0.4,1,-,1,1,2
006,粗糙度_0.4,3,4,-,3,3
006,粗糙度_0.4,4,4,2,-,3
006,粗糙度_0.4,6,3,2,2,-

006,粗糙度_1,1,-,0,1,2
006,粗糙度_1,3,5,-,2,1
006,粗糙度_1,4,4,3,-,1
006,粗糙度_1,6,3,4,4,-

006,metal,1,-,0,0,1
006,metal,3,5,-,0,1
006,metal,4,5,5,-,1
006,metal,6,4,4,4,-

008,粗糙度_0,1,-,1,0,1
008,粗糙度_0,3,4,-,0,0
008,粗糙度_0,4,5,5,-,2
008,粗糙度_0,6,4,5,3,-

008,粗糙度_0.1,1,-,0,0,1
008,粗糙度_0.1,3,5,-,0,1
008,粗糙度_0.1,4,5,5,-,4
008,粗糙度_0.1,6,4,4,1,-

008,粗糙度_0.4,1,-,2,2,3
008,粗糙度_0.4,3,3,-,1,3
008,粗糙度_0.4,4,3,4,-,2
008,粗糙度_0.4,6,2,2,3,-

008,粗糙度_1,1,-,1,2,3
008,粗糙度_1,3,4,-,3,1
008,粗糙度_1,4,3,2,-,4
008,粗糙度_1,6,2,4,1,-

008,metal,1,-,0,0,1
008,metal,3,5,-,4,3
008,metal,4,5,1,-,2
008,metal,6,4,2,3,-

