材质,图片ID,展示次数,胜出次数,胜率%,真实感票数
粗糙度_0,1,90,12,13.33,10
粗糙度_0,3,90,29,32.22,26
粗糙度_0,4,90,62,68.89,52
粗糙度_0,6,90,77,85.56,72
粗糙度_0.1,1,90,9,10.0,6
粗糙度_0.1,3,90,34,37.78,29
粗糙度_0.1,4,90,65,72.22,59
粗糙度_0.1,6,90,72,80.0,62
粗糙度_0.4,1,90,17,18.89,13
粗糙度_0.4,3,90,48,53.33,37
粗糙度_0.4,4,90,64,71.11,51
粗糙度_0.4,6,90,51,56.67,43
粗糙度_1,1,90,23,25.56,16
粗糙度_1,3,90,41,45.56,29
粗糙度_1,4,90,59,65.56,44
粗糙度_1,6,90,57,63.33,39
metal,1,90,7,7.78,3
metal,3,90,46,51.11,43
metal,4,90,56,62.22,51
metal,6,90,71,78.89,66
