场景,材质,图片ID,展示次数,胜出次数,胜率%,真实感票数
001,粗糙度_0,1,15,3,20.0,3
001,粗糙度_0,3,15,2,13.33,2
001,粗糙度_0,4,15,10,66.67,6
001,粗糙度_0,6,15,15,100.0,15
001,粗糙度_0.1,1,15,3,20.0,1
001,粗糙度_0.1,3,15,3,20.0,2
001,粗糙度_0.1,4,15,11,73.33,11
001,粗糙度_0.1,6,15,13,86.67,12
001,粗糙度_0.4,1,15,4,26.67,3
001,粗糙度_0.4,3,15,8,53.33,6
001,粗糙度_0.4,4,15,13,86.67,9
001,粗糙度_0.4,6,15,5,33.33,2
001,粗糙度_1,1,15,4,26.67,2
001,粗糙度_1,3,15,5,33.33,5
001,粗糙度_1,4,15,13,86.67,10
001,粗糙度_1,6,15,8,53.33,4
001,metal,1,15,2,13.33,1
001,metal,3,15,7,46.67,6
001,metal,4,15,10,66.67,10
001,metal,6,15,11,73.33,11
002,粗糙度_0,1,15,3,20.0,1
002,粗糙度_0,3,15,2,13.33,2
002,粗糙度_0,4,15,11,73.33,8
002,粗糙度_0,6,15,14,93.33,12
002,粗糙度_0.1,1,15,2,13.33,1
002,粗糙度_0.1,3,15,6,40.0,4
002,粗糙度_0.1,4,15,7,46.67,4
002,粗糙度_0.1,6,15,15,100.0,12
002,粗糙度_0.4,1,15,0,0.0,0
002,粗糙度_0.4,3,15,10,66.67,8
002,粗糙度_0.4,4,15,10,66.67,5
002,粗糙度_0.4,6,15,10,66.67,9
002,粗糙度_1,1,15,4,26.67,3
002,粗糙度_1,3,15,8,53.33,3
002,粗糙度_1,4,15,10,66.67,7
002,粗糙度_1,6,15,8,53.33,4
002,metal,1,15,1,6.67,0
002,metal,3,15,5,33.33,5
002,metal,4,15,10,66.67,9
002,metal,6,15,14,93.33,12
003,粗糙度_0,1,15,1,6.67,1
003,粗糙度_0,3,15,8,53.33,8
003,粗糙度_0,4,15,9,60.0,9
003,粗糙度_0,6,15,12,80.0,11
003,粗糙度_0.1,1,15,1,6.67,1
003,粗糙度_0.1,3,15,7,46.67,7
003,粗糙度_0.1,4,15,11,73.33,11
003,粗糙度_0.1,6,15,11,73.33,9
003,粗糙度_0.4,1,15,1,6.67,1
003,粗糙度_0.4,3,15,7,46.67,7
003,粗糙度_0.4,4,15,11,73.33,11
003,粗糙度_0.4,6,15,11,73.33,11
003,粗糙度_1,1,15,1,6.67,1
003,粗糙度_1,3,15,6,40.0,4
003,粗糙度_1,4,15,11,73.33,9
003,粗糙度_1,6,15,12,80.0,11
003,metal,1,15,2,13.33,1
003,metal,3,15,9,60.0,9
003,metal,4,15,6,40.0,5
003,metal,6,15,13,86.67,12
005,粗糙度_0,1,15,1,6.67,1
005,粗糙度_0,3,15,8,53.33,6
005,粗糙度_0,4,15,10,66.67,10
005,粗糙度_0,6,15,11,73.33,11
005,粗糙度_0.1,1,15,0,0.0,0
005,粗糙度_0.1,3,15,7,46.67,7
005,粗糙度_0.1,4,15,12,80.0,12
005,粗糙度_0.1,6,15,11,73.33,11
005,粗糙度_0.4,1,15,1,6.67,1
005,粗糙度_0.4,3,15,6,40.0,4
005,粗糙度_0.4,4,15,12,80.0,11
005,粗糙度_0.4,6,15,11,73.33,9
005,粗糙度_1,1,15,5,33.33,3
005,粗糙度_1,3,15,6,40.0,6
005,粗糙度_1,4,15,8,53.33,7
005,粗糙度_1,6,15,11,73.33,11
005,metal,1,15,0,0.0,0
005,metal,3,15,7,46.67,7
005,metal,4,15,11,73.33,10
005,metal,6,15,12,80.0,12
006,粗糙度_0,1,15,2,13.33,2
006,粗糙度_0,3,15,5,33.33,4
006,粗糙度_0,4,15,10,66.67,10
006,粗糙度_0,6,15,13,86.67,12
006,粗糙度_0.1,1,15,2,13.33,2
006,粗糙度_0.1,3,15,5,33.33,4
006,粗糙度_0.1,4,15,10,66.67,9
006,粗糙度_0.1,6,15,13,86.67,13
006,粗糙度_0.4,1,15,4,26.67,3
006,粗糙度_0.4,3,15,10,66.67,9
006,粗糙度_0.4,4,15,9,60.0,9
006,粗糙度_0.4,6,15,7,46.67,6
006,粗糙度_1,1,15,3,20.0,3
006,粗糙度_1,3,15,8,53.33,5
006,粗糙度_1,4,15,8,53.33,5
006,粗糙度_1,6,15,11,73.33,7
006,metal,1,15,1,6.67,1
006,metal,3,15,6,40.0,5
006,metal,4,15,11,73.33,9
006,metal,6,15,12,80.0,10
008,粗糙度_0,1,15,2,13.33,2
008,粗糙度_0,3,15,4,26.67,4
008,粗糙度_0,4,15,12,80.0,9
008,粗糙度_0,6,15,12,80.0,11
008,粗糙度_0.1,1,15,1,6.67,1
008,粗糙度_0.1,3,15,6,40.0,5
008,粗糙度_0.1,4,15,14,93.33,12
008,粗糙度_0.1,6,15,9,60.0,5
008,粗糙度_0.4,1,15,7,46.67,5
008,粗糙度_0.4,3,15,7,46.67,3
008,粗糙度_0.4,4,15,9,60.0,6
008,粗糙度_0.4,6,15,7,46.67,6
008,粗糙度_1,1,15,6,40.0,4
008,粗糙度_1,3,15,8,53.33,6
008,粗糙度_1,4,15,9,60.0,6
008,粗糙度_1,6,15,7,46.67,2
008,metal,1,15,1,6.67,0
008,metal,3,15,12,80.0,11
008,metal,4,15,8,53.33,8
008,metal,6,15,9,60.0,9
