场景,材质,图片ID,展示次数,胜出次数,胜率%,真实感票数
001,粗糙度_0,1,3,1,33.33,1
001,粗糙度_0,3,3,0,0.0,0
001,粗糙度_0,4,3,2,66.67,0
001,粗糙度_0,6,3,3,100.0,3
001,粗糙度_0.1,1,3,0,0.0,0
001,粗糙度_0.1,3,3,1,33.33,1
001,粗糙度_0.1,4,3,2,66.67,2
001,粗糙度_0.1,6,3,3,100.0,3
001,粗糙度_0.4,1,3,1,33.33,1
001,粗糙度_0.4,3,3,1,33.33,0
001,粗糙度_0.4,4,3,3,100.0,1
001,粗糙度_0.4,6,3,1,33.33,0
001,粗糙度_1,1,3,1,33.33,1
001,粗糙度_1,3,3,0,0.0,0
001,粗糙度_1,4,3,3,100.0,2
001,粗糙度_1,6,3,2,66.67,2
001,metal,1,3,2,66.67,1
001,metal,3,3,0,0.0,0
001,metal,4,3,2,66.67,2
001,metal,6,3,2,66.67,2
002,粗糙度_0,1,3,1,33.33,1
002,粗糙度_0,3,3,0,0.0,0
002,粗糙度_0,4,3,2,66.67,2
002,粗糙度_0,6,3,3,100.0,3
002,粗糙度_0.1,1,3,1,33.33,1
002,粗糙度_0.1,3,3,1,33.33,0
002,粗糙度_0.1,4,3,1,33.33,1
002,粗糙度_0.1,6,3,3,100.0,2
002,粗糙度_0.4,1,3,0,0.0,0
002,粗糙度_0.4,3,3,2,66.67,1
002,粗糙度_0.4,4,3,2,66.67,1
002,粗糙度_0.4,6,3,2,66.67,2
002,粗糙度_1,1,3,3,100.0,2
002,粗糙度_1,3,3,1,33.33,0
002,粗糙度_1,4,3,1,33.33,1
002,粗糙度_1,6,3,1,33.33,1
002,metal,1,3,0,0.0,0
002,metal,3,3,1,33.33,1
002,metal,4,3,3,100.0,3
002,metal,6,3,2,66.67,1
003,粗糙度_0,1,3,0,0.0,0
003,粗糙度_0,3,3,1,33.33,1
003,粗糙度_0,4,3,2,66.67,2
003,粗糙度_0,6,3,3,100.0,2
003,粗糙度_0.1,1,3,0,0.0,0
003,粗糙度_0.1,3,3,2,66.67,2
003,粗糙度_0.1,4,3,3,100.0,3
003,粗糙度_0.1,6,3,1,33.33,0
003,粗糙度_0.4,1,3,0,0.0,0
003,粗糙度_0.4,3,3,2,66.67,2
003,粗糙度_0.4,4,3,1,33.33,1
003,粗糙度_0.4,6,3,3,100.0,3
003,粗糙度_1,1,3,0,0.0,0
003,粗糙度_1,3,3,1,33.33,1
003,粗糙度_1,4,3,2,66.67,2
003,粗糙度_1,6,3,3,100.0,2
003,metal,1,3,0,0.0,0
003,metal,3,3,1,33.33,1
003,metal,4,3,2,66.67,2
003,metal,6,3,3,100.0,3
005,粗糙度_0,1,3,0,0.0,0
005,粗糙度_0,3,3,2,66.67,1
005,粗糙度_0,4,3,2,66.67,2
005,粗糙度_0,6,3,2,66.67,2
005,粗糙度_0.1,1,3,0,0.0,0
005,粗糙度_0.1,3,3,2,66.67,2
005,粗糙度_0.1,4,3,3,100.0,3
005,粗糙度_0.1,6,3,1,33.33,1
005,粗糙度_0.4,1,3,0,0.0,0
005,粗糙度_0.4,3,3,3,100.0,2
005,粗糙度_0.4,4,3,1,33.33,1
005,粗糙度_0.4,6,3,2,66.67,1
005,粗糙度_1,1,3,3,100.0,2
005,粗糙度_1,3,3,0,0.0,0
005,粗糙度_1,4,3,1,33.33,0
005,粗糙度_1,6,3,2,66.67,2
005,metal,1,3,0,0.0,0
005,metal,3,3,1,33.33,1
005,metal,4,3,2,66.67,2
005,metal,6,3,3,100.0,3
006,粗糙度_0,1,3,0,0.0,0
006,粗糙度_0,3,3,2,66.67,1
006,粗糙度_0,4,3,2,66.67,2
006,粗糙度_0,6,3,2,66.67,2
006,粗糙度_0.1,1,3,0,0.0,0
006,粗糙度_0.1,3,3,1,33.33,0
006,粗糙度_0.1,4,3,2,66.67,2
006,粗糙度_0.1,6,3,3,100.0,3
006,粗糙度_0.4,1,3,1,33.33,1
006,粗糙度_0.4,3,3,3,100.0,3
006,粗糙度_0.4,4,3,2,66.67,2
006,粗糙度_0.4,6,3,0,0.0,0
006,粗糙度_1,1,3,0,0.0,0
006,粗糙度_1,3,3,1,33.33,1
006,粗糙度_1,4,3,2,66.67,0
006,粗糙度_1,6,3,3,100.0,1
006,metal,1,3,0,0.0,0
006,metal,3,3,1,33.33,1
006,metal,4,3,2,66.67,1
006,metal,6,3,3,100.0,3
008,粗糙度_0,1,3,0,0.0,0
008,粗糙度_0,3,3,1,33.33,1
008,粗糙度_0,4,3,2,66.67,1
008,粗糙度_0,6,3,3,100.0,3
008,粗糙度_0.1,1,3,0,0.0,0
008,粗糙度_0.1,3,3,1,33.33,1
008,粗糙度_0.1,4,3,3,100.0,3
008,粗糙度_0.1,6,3,2,66.67,1
008,粗糙度_0.4,1,3,1,33.33,1
008,粗糙度_0.4,3,3,1,33.33,1
008,粗糙度_0.4,4,3,1,33.33,1
008,粗糙度_0.4,6,3,3,100.0,2
008,粗糙度_1,1,3,2,66.67,1
008,粗糙度_1,3,3,0,0.0,0
008,粗糙度_1,4,3,2,66.67,0
008,粗糙度_1,6,3,2,66.67,1
008,metal,1,3,0,0.0,0
008,metal,3,3,2,66.67,2
008,metal,4,3,1,33.33,1
008,metal,6,3,3,100.0,3
