场景,材质,行胜过列,1,3,4,6
001,粗糙度_0,1,-,1,0,0
001,粗糙度_0,3,0,-,0,0
001,粗糙度_0,4,1,1,-,0
001,粗糙度_0,6,1,1,1,-

001,粗糙度_0.1,1,-,1,0,0
001,粗糙度_0.1,3,0,-,0,0
001,粗糙度_0.1,4,1,1,-,1
001,粗糙度_0.1,6,1,1,0,-

001,粗糙度_0.4,1,-,0,0,1
001,粗糙度_0.4,3,1,-,0,1
001,粗糙度_0.4,4,1,1,-,1
001,粗糙度_0.4,6,0,0,0,-

001,粗糙度_1,1,-,1,0,0
001,粗糙度_1,3,0,-,0,1
001,粗糙度_1,4,1,1,-,1
001,粗糙度_1,6,1,0,0,-

001,metal,1,-,0,0,0
001,metal,3,1,-,0,1
001,metal,4,1,1,-,0
001,metal,6,1,0,1,-

002,粗糙度_0,1,-,0,0,0
002,粗糙度_0,3,1,-,0,0
002,粗糙度_0,4,1,1,-,0
002,粗糙度_0,6,1,1,1,-

002,粗糙度_0.1,1,-,0,0,0
002,粗糙度_0.1,3,1,-,1,0
002,粗糙度_0.1,4,1,0,-,0
002,粗糙度_0.1,6,1,1,1,-

002,粗糙度_0.4,1,-,0,0,0
002,粗糙度_0.4,3,1,-,1,0
002,粗糙度_0.4,4,1,0,-,0
002,粗糙度_0.4,6,1,1,1,-

002,粗糙度_1,1,-,0,0,0
002,粗糙度_1,3,1,-,1,0
002,粗糙度_1,4,1,0,-,1
002,粗糙度_1,6,1,1,0,-

002,metal,1,-,0,0,0
002,metal,3,1,-,0,0
002,metal,4,1,1,-,0
002,metal,6,1,1,1,-

003,粗糙度_0,1,-,0,0,0
003,粗糙度_0,3,1,-,1,1
003,粗糙度_0,4,1,0,-,1
003,粗糙度_0,6,1,0,0,-

003,粗糙度_0.1,1,-,0,0,0
003,粗糙度_0.1,3,1,-,1,0
003,粗糙度_0.1,4,1,0,-,0
003,粗糙度_0.1,6,1,1,1,-

003,粗糙度_0.4,1,-,0,0,0
003,粗糙度_0.4,3,1,-,1,0
003,粗糙度_0.4,4,1,0,-,1
003,粗糙度_0.4,6,1,1,0,-

003,粗糙度_1,1,-,0,0,0
003,粗糙度_1,3,1,-,0,0
003,粗糙度_1,4,1,1,-,0
003,粗糙度_1,6,1,1,1,-

003,metal,1,-,0,1,0
003,metal,3,1,-,1,1
003,metal,4,0,0,-,0
003,metal,6,1,0,1,-

005,粗糙度_0,1,-,0,0,0
005,粗糙度_0,3,1,-,1,0
005,粗糙度_0,4,1,0,-,1
005,粗糙度_0,6,1,1,0,-

005,粗糙度_0.1,1,-,0,0,0
005,粗糙度_0.1,3,1,-,0,1
005,粗糙度_0.1,4,1,1,-,1
005,粗糙度_0.1,6,1,0,0,-

005,粗糙度_0.4,1,-,0,0,0
005,粗糙度_0.4,3,1,-,0,0
005,粗糙度_0.4,4,1,1,-,1
005,粗糙度_0.4,6,1,1,0,-

005,粗糙度_1,1,-,0,0,0
005,粗糙度_1,3,1,-,1,1
005,粗糙度_1,4,1,0,-,1
005,粗糙度_1,6,1,0,0,-

005,metal,1,-,0,0,0
005,metal,3,1,-,1,0
005,metal,4,1,0,-,1
005,metal,6,1,1,0,-

006,粗糙度_0,1,-,1,0,0
006,粗糙度_0,3,0,-,0,0
006,粗糙度_0,4,1,1,-,1
006,粗糙度_0,6,1,1,0,-

006,粗糙度_0.1,1,-,0,0,0
006,粗糙度_0.1,3,1,-,0,0
006,粗糙度_0.1,4,1,1,-,1
006,粗糙度_0.1,6,1,1,0,-

006,粗糙度_0.4,1,-,0,0,0
006,粗糙度_0.4,3,1,-,0,1
006,粗糙度_0.4,4,1,1,-,1
006,粗糙度_0.4,6,1,0,0,-

006,粗糙度_1,1,-,0,0,0
006,粗糙度_1,3,1,-,1,1
006,粗糙度_1,4,1,0,-,1
006,粗糙度_1,6,1,0,0,-

006,metal,1,-,0,0,0
006,metal,3,1,-,0,1
006,metal,4,1,1,-,1
006,metal,6,1,0,0,-

008,粗糙度_0,1,-,0,0,0
008,粗糙度_0,3,1,-,0,0
008,粗糙度_0,4,1,1,-,0
008,粗糙度_0,6,1,1,1,-

008,粗糙度_0.1,1,-,0,0,1
008,粗糙度_0.1,3,1,-,0,1
008,粗糙度_0.1,4,1,1,-,1
008,粗糙度_0.1,6,0,0,0,-

008,粗糙度_0.4,1,-,1,1,1
008,粗糙度_0.4,3,0,-,0,1
008,粗糙度_0.4,4,0,1,-,1
008,粗糙度_0.4,6,0,0,0,-

008,粗糙度_1,1,-,0,0,1
008,粗糙度_1,3,1,-,0,0
008,粗糙度_1,4,1,1,-,1
008,粗糙度_1,6,0,1,0,-

008,metal,1,-,0,0,0
008,metal,3,1,-,1,1
008,metal,4,1,0,-,0
008,metal,6,1,0,1,-

