=== 数据记录开始于 2026-01-05 15:46:30 ===
=== 数据记录开始于 2026/1/5 15:46:30 ===
Timestamp: 2026/01/05 15:46:30
Experimenter: 安梦园
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, scene_001, gt, fov, fov, 15.489
1, scene_002, gt, all_1, gt, 0.747
2, scene_001, all_1, gt, gt, 0.711
3, scene_001, all_4, gt, gt, 1.554
4, scene_002, all_4, fov, fov, 0.493
5, scene_001, all_1, all_4, all_4, 0.462
6, scene_002, all_1, fov, fov, 0.963
7, scene_002, all_4, all_1, all_4, 0.595
8, scene_001, gt, all_4, all_4, 1.069
9, scene_002, all_4, gt, gt, 0.881
10, scene_002, gt, all_4, gt, 0.740
11, scene_002, all_1, all_4, all_4, 0.854
12, scene_001, fov, all_4, all_4, 0.796
13, scene_002, all_4, gt, gt, 0.259
14, scene_001, all_4, all_1, all_4, 0.885
15, scene_001, all_1, fov, fov, 2.531
16, scene_002, fov, all_4, all_4, 0.948
17, scene_001, fov, all_1, fov, 0.568
18, scene_002, all_1, gt, gt, 1.242
19, scene_001, all_4, all_1, all_1, 1.372
20, scene_001, fov, gt, gt, 1.441
21, scene_002, all_1, gt, gt, 0.731
22, scene_002, fov, gt, gt, 0.577
23, scene_001, gt, fov, gt, 0.472
24, scene_002, fov, gt, gt, 1.038
25, scene_001, all_1, all_4, all_4, 0.614
26, scene_002, gt, fov, gt, 0.719
27, scene_001, all_4, fov, fov, 0.015
28, scene_002, all_1, all_4, all_4, 0.265
29, scene_002, gt, all_1, gt, 0.599
30, scene_001, fov, gt, gt, 0.536
31, scene_001, gt, all_1, gt, 1.662
32, scene_002, fov, gt, gt, 0.555
33, scene_002, all_4, gt, gt, 0.971
34, scene_002, fov, all_4, fov, 0.325
35, scene_001, all_4, fov, fov, 0.901
36, scene_001, fov, all_4, all_4, 1.425
37, scene_002, all_1, all_4, all_4, 0.786
38, scene_002, fov, all_1, fov, 0.637
39, scene_001, gt, all_1, gt, 0.814
40, scene_001, all_4, gt, gt, 0.616
41, scene_002, fov, all_1, fov, 0.981
42, scene_001, all_1, fov, fov, 0.627
43, scene_001, gt, all_4, gt, 0.885
44, scene_001, fov, all_1, fov, 2.688
45, scene_002, all_1, fov, fov, 2.367
46, scene_002, all_4, fov, fov, 0.804
47, scene_001, all_1, gt, gt, 0.780
=== 数据记录结束于 2026/1/5 15:53:10 ===
=== 数据记录结束于 2026-01-05 15:53:10 ===
