=== 数据记录开始于 2026-01-05 12:43:59 ===
=== 数据记录开始于 2026/1/5 12:43:59 ===
Timestamp: 2026/01/05 12:43:59
Experimenter: 李新月
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, scene_001, all_4, fov, fov, 2.265
1, scene_001, gt, fov, gt, 1.398
2, scene_001, all_1, fov, all_1, 1.707
3, scene_002, all_1, fov, fov, 1.899
4, scene_002, gt, all_4, gt, 1.429
5, scene_002, all_4, all_1, all_4, 1.781
6, scene_001, all_4, all_1, all_4, 1.410
7, scene_001, gt, all_4, all_4, 1.253
8, scene_001, gt, all_1, all_1, 2.166
9, scene_002, fov, gt, fov, 1.588
10, scene_001, gt, all_4, gt, 1.480
11, scene_002, all_1, all_4, all_1, 1.279
12, scene_001, all_4, all_1, all_1, 1.057
13, scene_002, gt, fov, gt, 1.389
14, scene_002, fov, all_4, all_4, 1.290
15, scene_002, all_4, all_1, all_4, 1.372
16, scene_001, fov, all_1, fov, 1.458
17, scene_001, all_1, fov, all_1, 1.799
18, scene_001, all_4, gt, gt, 1.480
19, scene_001, all_1, gt, gt, 5.015
20, scene_001, all_4, all_1, all_1, 1.850
21, scene_002, gt, all_1, all_1, 1.820
22, scene_002, fov, all_1, all_1, 2.307
23, scene_002, gt, all_1, gt, 1.640
24, scene_001, all_4, fov, all_4, 1.167
25, scene_001, fov, gt, gt, 1.274
26, scene_002, fov, all_1, fov, 1.961
27, scene_002, all_4, fov, all_4, 3.260
28, scene_001, fov, all_1, fov, 0.941
29, scene_002, all_4, all_1, all_1, 1.412
30, scene_002, gt, all_1, gt, 0.638
31, scene_001, gt, fov, gt, 0.615
32, scene_002, all_4, fov, fov, 0.864
33, scene_001, all_1, all_4, all_1, 0.984
34, scene_001, fov, all_4, fov, 1.971
35, scene_001, gt, all_1, gt, 2.198
36, scene_002, fov, all_1, all_1, 2.248
37, scene_001, gt, all_4, gt, 1.274
38, scene_002, all_4, gt, gt, 1.350
39, scene_001, fov, all_4, fov, 1.927
40, scene_002, all_4, gt, gt, 1.692
41, scene_002, fov, gt, gt, 0.674
42, scene_002, gt, all_4, gt, 1.087
43, scene_002, fov, gt, gt, 0.888
44, scene_002, all_1, gt, gt, 1.263
45, scene_001, gt, all_1, gt, 1.712
46, scene_002, all_4, fov, all_4, 0.815
47, scene_001, fov, gt, gt, 1.484
=== 数据记录结束于 2026/1/5 12:51:34 ===
=== 数据记录结束于 2026-01-05 12:51:34 ===
