=== 数据记录开始于 2026-01-05 12:11:58 ===
=== 数据记录开始于 2026/1/5 12:11:58 ===
Timestamp: 2026/01/05 12:11:58
Experimenter: 李晓玥
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, scene_001, gt, all_1, gt, 0.833
1, scene_001, fov, gt, gt, 0.359
2, scene_002, gt, all_1, gt, 0.506
3, scene_002, all_1, fov, fov, 2.284
4, scene_002, all_1, fov, all_1, 0.381
5, scene_001, all_1, fov, all_1, 0.360
6, scene_002, fov, all_4, fov, 0.335
7, scene_002, all_4, fov, fov, 1.950
8, scene_002, fov, all_4, fov, 0.441
9, scene_002, fov, gt, fov, 0.585
10, scene_001, gt, all_4, gt, 0.410
11, scene_001, all_4, gt, gt, 0.376
12, scene_002, fov, all_1, fov, 1.606
13, scene_002, gt, fov, gt, 0.239
14, scene_002, fov, all_4, all_4, 0.287
15, scene_002, all_4, gt, gt, 0.236
16, scene_001, fov, gt, gt, 0.270
17, scene_002, all_1, gt, all_1, 0.430
18, scene_002, gt, fov, gt, 0.382
19, scene_001, fov, all_4, fov, 0.360
20, scene_002, gt, all_4, gt, 0.040
21, scene_001, gt, all_1, gt, 0.106
22, scene_001, fov, all_1, all_1, 0.240
23, scene_001, all_1, gt, gt, 0.236
24, scene_002, all_1, all_4, all_1, 0.250
25, scene_001, all_4, fov, all_4, 0.422
26, scene_002, all_4, all_1, all_4, 0.355
27, scene_001, all_1, fov, all_1, 0.363
28, scene_002, fov, all_1, fov, 0.324
29, scene_001, all_4, fov, all_4, 0.408
30, scene_002, gt, all_4, gt, 0.547
31, scene_001, all_1, all_4, all_1, 0.351
32, scene_001, gt, fov, gt, 0.241
33, scene_001, all_4, fov, all_4, 0.288
34, scene_001, all_4, all_1, all_1, 1.070
35, scene_001, fov, all_1, all_1, 0.245
36, scene_001, all_1, gt, gt, 0.360
37, scene_001, all_1, all_4, all_1, 0.551
38, scene_002, gt, fov, gt, 0.170
39, scene_002, all_1, all_4, all_1, 0.243
40, scene_002, all_4, gt, gt, 0.312
41, scene_002, all_4, all_1, all_4, 0.343
42, scene_002, gt, all_1, gt, 0.291
43, scene_001, all_1, all_4, all_1, 0.293
44, scene_001, all_4, gt, gt, 0.559
45, scene_001, gt, all_4, gt, 0.400
46, scene_001, fov, gt, gt, 0.321
47, scene_002, all_1, gt, all_1, 0.351
=== 数据记录结束于 2026/1/5 12:17:49 ===
=== 数据记录结束于 2026-01-05 12:17:49 ===
