=== 数据记录开始于 2025-12-31 14:10:18 ===
=== 数据记录开始于 2025/12/31 14:10:18 ===
Timestamp: 2025/12/31 14:10:18
Experimenter: 连炜乐
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, scene_002, all_1, fov, all_1, 14.477
1, scene_001, all_4, all_1, all_1, 8.633
2, scene_001, all_4, fov, fov, 1.035
3, scene_002, fov, all_4, all_4, 1.075
4, scene_001, all_1, fov, all_1, 5.474
5, scene_002, gt, all_4, gt, 3.084
6, scene_002, all_4, fov, all_4, 2.415
7, scene_001, all_1, fov, all_1, 4.851
8, scene_001, fov, all_4, all_4, 1.531
9, scene_001, all_4, gt, gt, 4.318
10, scene_002, all_1, fov, all_1, 1.379
11, scene_001, gt, fov, fov, 3.044
12, scene_002, gt, fov, gt, 10.024
13, scene_001, fov, gt, gt, 0.950
14, scene_002, gt, fov, gt, 3.030
15, scene_002, gt, all_1, gt, 0.596
16, scene_001, all_4, gt, all_4, 3.928
17, scene_002, all_4, gt, gt, 14.188
18, scene_001, all_1, fov, fov, 0.688
19, scene_001, gt, all_1, gt, 1.530
20, scene_001, fov, gt, gt, 0.874
21, scene_002, fov, all_1, fov, 0.737
22, scene_001, all_1, gt, gt, 0.650
23, scene_002, all_4, all_1, all_4, 0.617
24, scene_002, all_4, all_1, all_4, 0.660
25, scene_001, all_4, all_1, all_4, 0.987
26, scene_001, all_4, all_1, all_4, 0.719
27, scene_002, gt, all_1, gt, 0.565
28, scene_002, gt, all_4, gt, 1.068
29, scene_001, gt, all_1, gt, 0.799
30, scene_002, all_1, all_4, all_4, 0.502
31, scene_002, fov, gt, gt, 1.312
32, scene_002, fov, all_1, fov, 0.894
33, scene_001, all_4, fov, all_4, 2.671
34, scene_001, all_1, all_4, all_1, 1.599
35, scene_001, all_1, fov, fov, 0.917
36, scene_001, gt, all_4, gt, 1.405
37, scene_002, all_4, gt, gt, 5.092
38, scene_001, gt, fov, gt, 0.954
39, scene_002, gt, fov, gt, 0.692
40, scene_001, gt, all_4, gt, 0.953
41, scene_001, all_1, gt, gt, 0.539
42, scene_002, all_4, all_1, all_4, 0.512
43, scene_002, all_4, fov, all_4, 0.361
44, scene_002, all_1, gt, gt, 0.362
45, scene_002, all_4, fov, fov, 1.290
46, scene_002, all_1, gt, gt, 0.521
47, scene_001, all_4, fov, fov, 0.738
=== 数据记录结束于 2025/12/31 14:17:56 ===
=== 数据记录结束于 2025-12-31 14:17:56 ===
