=== 数据记录开始于 2026-01-05 11:23:54 ===
=== 数据记录开始于 2026/1/5 11:23:54 ===
Timestamp: 2026/01/05 11:23:54
Experimenter: 钟欣玮
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, scene_001, all_1, fov, fov, 7.745
1, scene_001, fov, gt, gt, 1.438
2, scene_002, all_4, fov, all_4, 2.791
3, scene_001, all_1, all_4, all_4, 0.738
4, scene_001, all_1, gt, gt, 0.672
5, scene_001, all_4, gt, gt, 1.749
6, scene_001, all_1, gt, gt, 1.196
7, scene_002, fov, all_1, fov, 1.450
8, scene_001, all_4, gt, gt, 1.304
9, scene_002, fov, all_4, fov, 0.564
10, scene_002, all_4, gt, all_4, 0.888
11, scene_001, fov, gt, gt, 0.549
12, scene_002, all_1, gt, all_1, 1.632
13, scene_002, all_1, all_4, all_4, 1.465
14, scene_001, all_4, gt, gt, 1.590
15, scene_002, fov, all_1, all_1, 1.371
16, scene_002, gt, fov, gt, 0.508
17, scene_001, all_4, gt, gt, 0.884
18, scene_002, fov, all_4, fov, 1.176
19, scene_002, gt, all_1, gt, 0.594
20, scene_001, gt, fov, fov, 0.875
21, scene_002, all_4, gt, gt, 0.590
22, scene_001, all_1, fov, fov, 0.677
23, scene_002, all_4, fov, fov, 0.571
24, scene_001, fov, all_1, fov, 0.624
25, scene_001, gt, all_1, all_1, 0.576
26, scene_001, gt, all_1, gt, 0.504
27, scene_002, gt, fov, gt, 0.652
28, scene_002, fov, gt, gt, 1.090
29, scene_002, all_1, fov, fov, 0.829
30, scene_001, fov, all_1, all_1, 0.576
31, scene_002, gt, all_4, gt, 1.315
32, scene_002, all_1, gt, gt, 0.649
33, scene_001, all_4, fov, fov, 0.553
34, scene_001, all_1, all_4, all_4, 0.572
35, scene_001, all_4, fov, all_4, 0.572
36, scene_002, all_4, all_1, all_4, 1.091
37, scene_001, gt, fov, fov, 0.565
38, scene_001, fov, all_4, all_4, 0.684
39, scene_001, fov, all_4, fov, 2.294
40, scene_002, all_1, all_4, all_4, 0.810
41, scene_002, gt, all_4, all_4, 3.128
42, scene_002, all_4, all_1, all_1, 0.812
43, scene_001, all_4, all_1, all_1, 0.767
44, scene_002, all_1, gt, gt, 0.520
45, scene_002, gt, fov, fov, 1.160
46, scene_001, all_1, all_4, all_4, 1.282
47, scene_002, all_1, fov, all_1, 0.748
=== 数据记录结束于 2026/1/5 11:30:38 ===
=== 数据记录结束于 2026-01-05 11:30:38 ===
