=== 数据记录开始于 2026-01-05 14:12:10 ===
=== 数据记录开始于 2026/1/5 14:12:10 ===
Timestamp: 2026/01/05 14:12:10
Experimenter: 陆垦
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, scene_001, all_1, gt, gt, 0.911
1, scene_001, gt, all_4, gt, 0.562
2, scene_002, fov, all_4, fov, 0.545
3, scene_001, gt, fov, gt, 0.495
4, scene_002, all_1, fov, fov, 0.423
5, scene_001, all_4, fov, all_4, 0.595
6, scene_001, all_4, fov, all_4, 0.432
7, scene_002, all_1, all_4, all_4, 0.348
8, scene_001, all_4, gt, gt, 0.619
9, scene_002, gt, all_1, gt, 0.683
10, scene_001, all_4, fov, all_4, 0.771
11, scene_001, all_1, all_4, all_1, 0.583
12, scene_002, all_4, gt, gt, 0.652
13, scene_002, gt, all_4, gt, 0.539
14, scene_001, all_1, fov, all_1, 0.403
15, scene_002, fov, all_4, fov, 0.422
16, scene_002, gt, all_1, gt, 0.410
17, scene_002, fov, all_1, fov, 0.589
18, scene_002, gt, all_4, gt, 0.535
19, scene_002, all_1, fov, fov, 0.410
20, scene_001, gt, all_1, gt, 0.392
21, scene_002, fov, all_1, fov, 0.319
22, scene_001, fov, gt, gt, 0.438
23, scene_001, gt, all_4, gt, 0.593
24, scene_002, all_1, all_4, all_4, 0.492
25, scene_001, all_1, all_4, all_1, 0.492
26, scene_002, fov, gt, gt, 0.489
27, scene_001, fov, all_1, fov, 0.759
28, scene_002, all_1, all_4, all_4, 0.419
29, scene_002, gt, all_1, gt, 0.363
30, scene_002, all_4, gt, gt, 0.362
31, scene_001, fov, gt, gt, 0.442
32, scene_001, all_1, fov, fov, 0.356
33, scene_002, all_1, gt, gt, 0.421
34, scene_002, all_1, all_4, all_4, 0.448
35, scene_001, all_4, all_1, all_4, 0.409
36, scene_001, fov, all_1, fov, 1.047
37, scene_002, gt, fov, gt, 0.627
38, scene_002, fov, gt, gt, 0.478
39, scene_001, all_4, fov, all_4, 0.513
40, scene_001, gt, all_1, gt, 0.471
41, scene_002, fov, all_4, fov, 0.476
42, scene_001, fov, gt, gt, 0.351
43, scene_002, fov, gt, gt, 0.569
44, scene_002, all_4, fov, all_4, 0.544
45, scene_001, all_4, all_1, all_4, 0.603
46, scene_001, gt, all_4, gt, 0.474
47, scene_001, all_1, gt, gt, 0.377
=== 数据记录结束于 2026/1/5 14:18:02 ===
=== 数据记录结束于 2026-01-05 14:18:02 ===
