=== 数据记录开始于 2025-12-31 13:37:28 ===
=== 数据记录开始于 2025/12/31 13:37:28 ===
Timestamp: 2025/12/31 13:37:28
Experimenter: 黄予晗
PairIndex, GroupPath, Image_Left, Image_Right, UserChoice, Duration
0, scene_001, gt, all_1, gt, 0.242
1, scene_001, gt, fov, gt, 0.280
2, scene_002, all_1, gt, gt, 0.232
3, scene_001, all_1, fov, all_1, 0.927
4, scene_002, all_4, fov, fov, 0.267
5, scene_001, all_4, gt, gt, 0.296
6, scene_002, gt, fov, gt, 0.230
7, scene_002, fov, all_1, fov, 0.296
8, scene_002, all_4, fov, all_4, 0.236
9, scene_001, gt, fov, fov, 0.220
10, scene_002, gt, fov, gt, 0.241
11, scene_001, all_4, fov, fov, 0.230
12, scene_001, all_4, fov, all_4, 0.371
13, scene_002, all_4, all_1, all_1, 0.243
14, scene_001, gt, all_4, gt, 0.299
15, scene_001, all_4, fov, all_4, 0.182
16, scene_002, fov, all_1, fov, 0.334
17, scene_002, gt, all_1, gt, 0.196
18, scene_001, gt, all_4, all_4, 0.520
19, scene_001, all_1, all_4, all_4, 1.135
20, scene_001, all_1, fov, all_1, 0.318
21, scene_002, fov, gt, gt, 0.260
22, scene_002, gt, all_1, gt, 0.279
23, scene_001, fov, all_4, all_4, 0.245
24, scene_002, all_1, all_4, all_4, 0.219
25, scene_002, fov, all_4, fov, 0.216
26, scene_001, fov, all_1, all_1, 0.149
27, scene_001, gt, fov, gt, 0.245
28, scene_001, fov, gt, gt, 0.335
29, scene_002, all_4, gt, gt, 0.239
30, scene_002, all_4, gt, gt, 0.239
31, scene_002, fov, all_1, fov, 0.716
32, scene_001, all_1, all_4, all_4, 0.508
33, scene_002, all_1, all_4, all_4, 0.262
34, scene_001, all_1, gt, gt, 0.274
35, scene_001, all_1, all_4, all_1, 0.229
36, scene_001, gt, all_1, all_1, 0.237
37, scene_001, all_4, gt, gt, 0.824
38, scene_002, fov, all_1, all_1, 0.257
39, scene_002, all_4, gt, gt, 0.236
40, scene_002, gt, all_1, gt, 0.285
41, scene_002, fov, gt, gt, 0.145
42, scene_002, fov, all_4, fov, 0.349
43, scene_001, gt, all_1, gt, 0.177
44, scene_002, all_4, all_1, all_4, 0.281
45, scene_001, all_4, all_1, all_1, 0.224
46, scene_002, all_4, gt, gt, 0.237
47, scene_001, fov, all_1, all_1, 0.623
=== 数据记录结束于 2025/12/31 13:42:40 ===
=== 数据记录结束于 2025-12-31 13:42:40 ===
