===== 分材质汇总矩阵 =====
--- 材质: default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,110,105,104
all_1,19,-,45,47
all_4,23,85,-,61
fov,24,82,70,-

,===== 分FOV汇总矩阵 =====
--- FOV: scene_001 ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,55,52,53
all_1,10,-,30,31
all_4,12,35,-,36
fov,11,33,30,-

--- FOV: scene_002 ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,55,53,51
all_1,9,-,15,16
all_4,11,50,-,25
fov,13,49,40,-

,===== 交叉维度详细矩阵 =====
--- FOV_材质: scene_001_default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,55,52,53
all_1,10,-,30,31
all_4,12,35,-,36
fov,11,33,30,-

--- FOV_材质: scene_002_default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,55,53,51
all_1,9,-,15,16
all_4,11,50,-,25
fov,13,49,40,-

