===== 分材质汇总矩阵 =====
--- 材质: default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,3,2,4
all_1,5,-,6,6
all_4,6,2,-,4
fov,4,2,4,-

,===== 分FOV汇总矩阵 =====
--- FOV: scene_001 ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,1,2,2
all_1,3,-,3,2
all_4,2,1,-,2
fov,2,2,2,-

--- FOV: scene_002 ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,2,0,2
all_1,2,-,3,4
all_4,4,1,-,2
fov,2,0,2,-

,===== 交叉维度详细矩阵 =====
--- FOV_材质: scene_001_default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,1,2,2
all_1,3,-,3,2
all_4,2,1,-,2
fov,2,2,2,-

--- FOV_材质: scene_002_default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,2,0,2
all_1,2,-,3,4
all_4,4,1,-,2
fov,2,0,2,-

