===== 分材质汇总矩阵 =====
--- 材质: default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,8,8,6
all_1,0,-,5,2
all_4,0,3,-,4
fov,2,6,4,-

,===== 分FOV汇总矩阵 =====
--- FOV: scene_001 ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,4,4,4
all_1,0,-,4,2
all_4,0,0,-,2
fov,0,2,2,-

--- FOV: scene_002 ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,4,4,2
all_1,0,-,1,0
all_4,0,3,-,2
fov,2,4,2,-

,===== 交叉维度详细矩阵 =====
--- FOV_材质: scene_001_default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,4,4,4
all_1,0,-,4,2
all_4,0,0,-,2
fov,0,2,2,-

--- FOV_材质: scene_002_default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,4,4,2
all_1,0,-,1,0
all_4,0,3,-,2
fov,2,4,2,-

