===== 分材质汇总矩阵 =====
--- 材质: default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,6,2,1
all_1,2,-,2,2
all_4,6,6,-,2
fov,7,6,6,-

,===== 分FOV汇总矩阵 =====
--- FOV: scene_001 ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,3,1,1
all_1,1,-,0,2
all_4,3,4,-,2
fov,3,2,2,-

--- FOV: scene_002 ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,3,1,0
all_1,1,-,2,0
all_4,3,2,-,0
fov,4,4,4,-

,===== 交叉维度详细矩阵 =====
--- FOV_材质: scene_001_default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,3,1,1
all_1,1,-,0,2
all_4,3,4,-,2
fov,3,2,2,-

--- FOV_材质: scene_002_default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,3,1,0
all_1,1,-,2,0
all_4,3,2,-,0
fov,4,4,4,-

