[1. FOV与材质交叉维度]
FOV,材质,图片ID,展示次数,胜出次数,胜率%
scene_001,default,gt,1,1,100.00%
scene_001,default,all_1,2,1,50.00%
scene_001,default,all_4,3,1,33.33%
scene_001,default,fov,2,1,50.00%
scene_002,default,gt,0,0,0.00%
scene_002,default,all_1,2,0,0.00%
scene_002,default,all_4,2,2,100.00%
scene_002,default,fov,2,1,50.00%
,[2. 仅按材质汇总]
default,gt,1,1,100.00%
default,all_1,4,1,25.00%
default,all_4,5,3,60.00%
default,fov,4,2,50.00%
,[3. 仅按FOV汇总]
scene_001,gt,1,1,100.00%
scene_001,all_1,2,1,50.00%
scene_001,all_4,3,1,33.33%
scene_001,fov,2,1,50.00%
scene_002,gt,0,0,0.00%
scene_002,all_1,2,0,0.00%
scene_002,all_4,2,2,100.00%
scene_002,fov,2,1,50.00%
