===== 分材质汇总矩阵 =====
--- 材质: default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,3,6,7
all_1,5,-,3,5
all_4,2,5,-,1
fov,1,3,7,-

,===== 分FOV汇总矩阵 =====
--- FOV: scene_001 ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,1,4,4
all_1,3,-,0,4
all_4,0,4,-,1
fov,0,0,3,-

--- FOV: scene_002 ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,2,2,3
all_1,2,-,3,1
all_4,2,1,-,0
fov,1,3,4,-

,===== 交叉维度详细矩阵 =====
--- FOV_材质: scene_001_default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,1,4,4
all_1,3,-,0,4
all_4,0,4,-,1
fov,0,0,3,-

--- FOV_材质: scene_002_default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,2,2,3
all_1,2,-,3,1
all_4,2,1,-,0
fov,1,3,4,-

