===== 分材质汇总矩阵 =====
--- 材质: default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,6,6,5
all_1,2,-,2,3
all_4,2,6,-,3
fov,3,5,5,-

,===== 分FOV汇总矩阵 =====
--- FOV: scene_001 ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,3,4,2
all_1,1,-,1,1
all_4,0,3,-,2
fov,2,3,2,-

--- FOV: scene_002 ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,3,2,3
all_1,1,-,1,2
all_4,2,3,-,1
fov,1,2,3,-

,===== 交叉维度详细矩阵 =====
--- FOV_材质: scene_001_default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,3,4,2
all_1,1,-,1,1
all_4,0,3,-,2
fov,2,3,2,-

--- FOV_材质: scene_002_default ---
胜者(行) \ 败者(列),gt,all_1,all_4,fov
gt,-,3,2,3
all_1,1,-,1,2
all_4,2,3,-,1
fov,1,2,3,-

